locality string,country,state,county,latitude,longitude,"correction 
                 status",precision,error polygon,multiple results,uncertainty,uncertainty (circular polygon)
Wise Island,Canada,British Columbia,Southern Gulf Islands,48.901389,-123.445,no,High(86),unavailable,"48.901389,-123.445,WISE ISLAND|Unavailable|5421|High(86)",5421,"POLYGON ((-123.451450551818 48.9499496851219, -123.45785186911 48.9493940825624, -123.464155094689 48.9484727869807, -123.470312127845 48.9471928323575, -123.476275992658 48.9455639867601, -123.482001199425 48.9435986797688, -123.487444093947 48.9413119068714, -123.49256319225 48.9387211141697, -123.497319498133 48.9358460643125, -123.501676801066 48.9327086847138, -123.50560195213 48.9293328992542, -123.509065115901 48.9257444447896, -123.512039996367 48.9219706739062, -123.514504035187 48.9180403454661, -123.516438580865 48.9139834045748, -123.5178290276 48.9098307536824, -123.518664922873 48.9056140165888, -123.518940043042 48.901365297175, -123.518652436516 48.8971169347137, -123.517804434277 48.8929012576317, -123.516402627827 48.8887503376023, -123.514457814847 48.8846957458343, -123.511984913102 48.880768313401, -123.509002843385 48.8769978974147, -123.505534382476 48.8734131548009, -123.501605987342 48.8700413253632, -123.497247591978 48.8669080257561, -123.492492378495 48.8640370558916, -123.487376524234 48.8614502192154, -123.481938926828 48.8591671581741, -123.476220909301 48.8572052060865, -123.470265907413 48.8555792565029, -123.46411914157 48.8543016510096, -123.457827275726 48.8533820862962, -123.451438065443 48.8528275436578, -123.445 48.8526422263943, -123.438561934557 48.8528275436578, -123.432172724274 48.8533820862962, -123.42588085843 48.8543016510096, -123.419734092587 48.8555792565029, -123.413779090699 48.8572052060865, -123.408061073173 48.8591671581741, -123.402623475766 48.8614502192154, -123.397507621505 48.8640370558917, -123.392752408022 48.8669080257561, -123.388394012658 48.8700413253632, -123.384465617524 48.8734131548009, -123.380997156615 48.8769978974147, -123.378015086898 48.880768313401, -123.375542185153 48.8846957458343, -123.373597372173 48.8887503376023, -123.372195565723 48.8929012576317, -123.371347563484 48.8971169347137, -123.371059956958 48.901365297175, -123.371335077128 48.9056140165888, -123.3721709724 48.9098307536824, -123.373561419135 48.9139834045748, -123.375495964813 48.9180403454661, -123.377960003634 48.9219706739062, -123.380934884099 48.9257444447896, -123.38439804787 48.9293328992542, -123.388323198934 48.9327086847138, -123.392680501867 48.9358460643125, -123.39743680775 48.9387211141697, -123.402555906053 48.9413119068714, -123.407998800575 48.9435986797688, -123.413724007343 48.9455639867601, -123.419687872155 48.9471928323575, -123.425844905311 48.9484727869807, -123.43214813089 48.9493940825624, -123.438549448182 48.9499496851219, -123.445 48.9501353593407, -123.451450551818 48.9499496851219))"
Parker Island; salt marsh,Canada,British Columbia,Southern Gulf Islands,48.886111,-123.412222,no,Low(43),unavailable,"48.886111,-123.412222,PARKER ISLAND|Unavailable|5421|Low(43),48.669722,-123.373611,KER ISLAND|Unavailable|5421|Low(27)",5421,"POLYGON ((-123.418670583192 48.9346718145419, -123.425069946955 48.9341162107712, -123.431371249094 48.9331949132065, -123.437526403645 48.9319149558132, -123.443488449083 48.9302861066651, -123.449211909639 48.9283207953518, -123.45465314447 48.926034017373, -123.459770682284 48.9234432188464, -123.464525538789 48.9205681624407, -123.468881514495 48.9174307755946, -123.472805470573 48.9140549822187, -123.476267580662 48.9104665192047, -123.479241556717 48.9066927391812, -123.481704847212 48.9027624010592, -123.48363880626 48.89870545, -123.485028832427 48.8945527885168, -123.485864476284 48.8903360404794, -123.486139515987 48.8860873098459, -123.485852000437 48.8818389359722, -123.485004259805 48.8776232473741, -123.483602883486 48.8734723158192, -123.481658665777 48.8694177126149, -123.479186519818 48.8654902689359, -123.476205360562 48.861719841998, -123.472737957795 48.8581350888305, -123.468810760378 48.8547632493405, -123.46445369316 48.8516299402829, -123.459699928136 48.848758961667, -123.454585631632 48.8461721170298, -123.449149689458 48.8438890489029, -123.443433412092 48.8419270906816, -123.437480222119 48.8403011359837, -123.431335326239 48.8390235264518, -123.42504537352 48.8381039616354, -123.418658107327 48.8375494143992, -123.412222 48.8373640965459, -123.405785892673 48.8375494143992, -123.39939862648 48.8381039616354, -123.393108673761 48.8390235264518, -123.386963777881 48.8403011359837, -123.381010587908 48.8419270906816, -123.375294310542 48.8438890489028, -123.369858368368 48.8461721170298, -123.364744071864 48.848758961667, -123.35999030684 48.8516299402829, -123.355633239622 48.8547632493405, -123.351706042205 48.8581350888305, -123.348238639438 48.861719841998, -123.345257480182 48.8654902689359, -123.342785334223 48.8694177126149, -123.340841116514 48.8734723158192, -123.339439740195 48.8776232473741, -123.338591999563 48.8818389359722, -123.338304484013 48.8860873098459, -123.338579523716 48.8903360404794, -123.339415167573 48.8945527885168, -123.34080519374 48.89870545, -123.342739152788 48.9027624010592, -123.345202443283 48.9066927391812, -123.348176419338 48.9104665192047, -123.351638529427 48.9140549822187, -123.355562485505 48.9174307755946, -123.359918461211 48.9205681624407, -123.364673317716 48.9234432188464, -123.36979085553 48.926034017373, -123.375232090361 48.9283207953518, -123.380955550917 48.9302861066651, -123.386917596355 48.9319149558132, -123.393072750906 48.9331949132065, -123.399374053045 48.9341162107712, -123.405773416808 48.9346718145419, -123.412222 48.9348574891578, -123.418670583192 48.9346718145419))"
Prevost Island,Canada,British Columbia,Southern Gulf Islands,48.833333,-123.383333,no,High(89),unavailable,"48.833333,-123.383333,PREVOST ISLAND|Unavailable|5421|High(89)",5421,"POLYGON ((-123.38977479534 48.8818942616971, -123.396167423306 48.8813386537405, -123.402462093398 48.880417349322, -123.40861077049 48.8791373823545, -123.414566542697 48.8775085209345, -123.420283982285 48.8755431946832, -123.425719494472 48.8732563991426, -123.430831651696 48.870665580485, -123.435581510718 48.867790501448, -123.439932910117 48.8646530895557, -123.443852745856 48.8612772688228, -123.447311222825 48.8576887762649, -123.450282080449 48.8539149646569, -123.452742790699 48.8499845930787, -123.454674727029 48.8459276068854, -123.456063303058 48.8417749088076, -123.456898080018 48.8375581229574, -123.457172842263 48.8333093535584, -123.456885640392 48.8290609402542, -123.456038801776 48.8248452118687, -123.454638908546 48.8206942404951, -123.452696743339 48.8166395977808, -123.450227203335 48.8127121152513, -123.447249183364 48.8089416504794, -123.443785429084 48.8053568608538, -123.439862361415 48.8019849866377, -123.435509873673 48.7988516449339, -123.430761102962 48.7959806360867, -123.42565217764 48.7933937639493, -123.420221942744 48.7911106713463, -123.414511665491 48.7891486919378, -123.408564723039 48.7875227195734, -123.402426274835 48.7862450960914, -123.396142921231 48.7853255211272, -123.389762355695 48.7847709678017, -123.383333 48.784585647911, -123.376903644305 48.7847709678017, -123.370523078769 48.7853255211272, -123.364239725165 48.7862450960914, -123.358101276961 48.7875227195734, -123.352154334509 48.7891486919378, -123.346444057256 48.7911106713463, -123.34101382236 48.7933937639493, -123.335904897037 48.7959806360867, -123.331156126327 48.7988516449339, -123.326803638585 48.8019849866377, -123.322880570916 48.8053568608538, -123.319416816636 48.8089416504794, -123.316438796665 48.8127121152513, -123.313969256661 48.8166395977808, -123.312027091454 48.8206942404951, -123.310627198224 48.8248452118687, -123.309780359608 48.8290609402542, -123.309493157737 48.8333093535584, -123.309767919982 48.8375581229574, -123.310602696942 48.8417749088076, -123.311991272971 48.8459276068854, -123.313923209301 48.8499845930787, -123.316383919551 48.8539149646569, -123.319354777175 48.8576887762649, -123.322813254144 48.8612772688228, -123.326733089883 48.8646530895557, -123.331084489282 48.867790501448, -123.335834348304 48.870665580485, -123.340946505528 48.8732563991426, -123.346382017715 48.8755431946832, -123.352099457303 48.8775085209345, -123.35805522951 48.8791373823545, -123.364203906602 48.880417349322, -123.370498576693 48.8813386537405, -123.37689120466 48.8818942616971, -123.383333 48.8820799376854, -123.38977479534 48.8818942616971))"
North Pender Island; Port Washington; George Hill,Canada,British Columbia,Southern Gulf Islands,48.783333,-123.283333,no,Low(49),unavailable,"48.783333,-123.283333,NORTH PENDER ISLAND|Unavailable|5421|Low(49),48.813056,-123.32,PORT WASHINGTON|Unavailable|301|Low(45),48.783333,-123.283333,PENDER ISLAND|Unavailable|5421|Low(43),54.570556,-130.366944,GEORGE HILL|Unavailable|301|Low(41),48.816945,-123.311111,GEORGE HILL|Unavailable|301|Low(41),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",5421,"POLYGON ((-123.289768383013 48.8318946854186, -123.296154647086 48.8313390707192, -123.302443052777 48.8304177625776, -123.308585610762 48.8291377865328, -123.314535456789 48.8275089134781, -123.320247208504 48.8255435730648, -123.325677314637 48.8232567608752, -123.330784388933 48.8206659231335, -123.33552952694 48.8177908226429, -123.339876603198 48.8146533870087, -123.343792546537 48.8112775403443, -123.347247591367 48.8076890197833, -123.350215503068 48.803915178239, -123.352673775804 48.7999847749522, -123.354603801304 48.7959277554611, -123.355991007407 48.791775022703, -123.356824965415 48.7875582010194, -123.357099465537 48.7833093948856, -123.356812559977 48.7790609442179, -123.355966573464 48.7748451781322, -123.354568081265 48.7706941690302, -123.352627855002 48.7666394888811, -123.350160776778 48.7627119695428, -123.347185722416 48.7589414689265, -123.343725414778 48.7553566447609, -123.339806248393 48.7519847376463, -123.335458086782 48.7488513650155, -123.330714034096 48.7459803275295, -123.325610182818 48.7433934293411, -123.320185339472 48.7411103135522, -123.314480730408 48.7391483140734, -123.308539689868 48.7375223249741, -123.302407332658 48.7362446882778, -123.296130213112 48.735325103702, -123.289755977558 48.7347705446084, -123.283333 48.7345852227878, -123.276910022442 48.7347705446084, -123.270535786888 48.735325103702, -123.264258667342 48.7362446882778, -123.258126310132 48.7375223249741, -123.252185269592 48.7391483140734, -123.246480660528 48.7411103135522, -123.241055817181 48.7433934293411, -123.235951965904 48.7459803275295, -123.231207913218 48.7488513650155, -123.226859751607 48.7519847376463, -123.222940585222 48.7553566447609, -123.219480277584 48.7589414689265, -123.216505223222 48.7627119695428, -123.214038144998 48.7666394888811, -123.212097918735 48.7706941690302, -123.210699426536 48.7748451781322, -123.209853440023 48.7790609442179, -123.209566534463 48.7833093948856, -123.209841034585 48.7875582010194, -123.210674992593 48.791775022703, -123.212062198696 48.7959277554611, -123.213992224196 48.7999847749522, -123.216450496932 48.803915178239, -123.219418408633 48.8076890197833, -123.222873453463 48.8112775403443, -123.226789396802 48.8146533870087, -123.23113647306 48.8177908226429, -123.235881611067 48.8206659231335, -123.240988685363 48.8232567608752, -123.246418791496 48.8255435730648, -123.252130543211 48.8275089134781, -123.258080389238 48.8291377865328, -123.264222947223 48.8304177625776, -123.270511352914 48.8313390707192, -123.276897616987 48.8318946854186, -123.283333 48.8320803627083, -123.289768383013 48.8318946854186))"
North Pender Island; Port Washington,Canada,British Columbia,Southern Gulf Islands,48.783333,-123.283333,no,Low(49),unavailable,"48.783333,-123.283333,NORTH PENDER ISLAND|Unavailable|5421|Low(49),48.813056,-123.32,PORT WASHINGTON|Unavailable|301|Low(45),48.783333,-123.283333,PENDER ISLAND|Unavailable|5421|Low(43),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",5421,"POLYGON ((-123.289768383013 48.8318946854186, -123.296154647086 48.8313390707192, -123.302443052777 48.8304177625776, -123.308585610762 48.8291377865328, -123.314535456789 48.8275089134781, -123.320247208504 48.8255435730648, -123.325677314637 48.8232567608752, -123.330784388933 48.8206659231335, -123.33552952694 48.8177908226429, -123.339876603198 48.8146533870087, -123.343792546537 48.8112775403443, -123.347247591367 48.8076890197833, -123.350215503068 48.803915178239, -123.352673775804 48.7999847749522, -123.354603801304 48.7959277554611, -123.355991007407 48.791775022703, -123.356824965415 48.7875582010194, -123.357099465537 48.7833093948856, -123.356812559977 48.7790609442179, -123.355966573464 48.7748451781322, -123.354568081265 48.7706941690302, -123.352627855002 48.7666394888811, -123.350160776778 48.7627119695428, -123.347185722416 48.7589414689265, -123.343725414778 48.7553566447609, -123.339806248393 48.7519847376463, -123.335458086782 48.7488513650155, -123.330714034096 48.7459803275295, -123.325610182818 48.7433934293411, -123.320185339472 48.7411103135522, -123.314480730408 48.7391483140734, -123.308539689868 48.7375223249741, -123.302407332658 48.7362446882778, -123.296130213112 48.735325103702, -123.289755977558 48.7347705446084, -123.283333 48.7345852227878, -123.276910022442 48.7347705446084, -123.270535786888 48.735325103702, -123.264258667342 48.7362446882778, -123.258126310132 48.7375223249741, -123.252185269592 48.7391483140734, -123.246480660528 48.7411103135522, -123.241055817181 48.7433934293411, -123.235951965904 48.7459803275295, -123.231207913218 48.7488513650155, -123.226859751607 48.7519847376463, -123.222940585222 48.7553566447609, -123.219480277584 48.7589414689265, -123.216505223222 48.7627119695428, -123.214038144998 48.7666394888811, -123.212097918735 48.7706941690302, -123.210699426536 48.7748451781322, -123.209853440023 48.7790609442179, -123.209566534463 48.7833093948856, -123.209841034585 48.7875582010194, -123.210674992593 48.791775022703, -123.212062198696 48.7959277554611, -123.213992224196 48.7999847749522, -123.216450496932 48.803915178239, -123.219418408633 48.8076890197833, -123.222873453463 48.8112775403443, -123.226789396802 48.8146533870087, -123.23113647306 48.8177908226429, -123.235881611067 48.8206659231335, -123.240988685363 48.8232567608752, -123.246418791496 48.8255435730648, -123.252130543211 48.8275089134781, -123.258080389238 48.8291377865328, -123.264222947223 48.8304177625776, -123.270511352914 48.8313390707192, -123.276897616987 48.8318946854186, -123.283333 48.8320803627083, -123.289768383013 48.8318946854186))"
North Pender Island; Magic Lake; fen below lake,Canada,British Columbia,Southern Gulf Islands,48.783333,-123.283333,no,Low(49),unavailable,"48.783333,-123.283333,NORTH PENDER ISLAND|Unavailable|5421|Low(49),48.783333,-123.283333,PENDER ISLAND|Unavailable|5421|Low(43),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",5421,"POLYGON ((-123.289768383013 48.8318946854186, -123.296154647086 48.8313390707192, -123.302443052777 48.8304177625776, -123.308585610762 48.8291377865328, -123.314535456789 48.8275089134781, -123.320247208504 48.8255435730648, -123.325677314637 48.8232567608752, -123.330784388933 48.8206659231335, -123.33552952694 48.8177908226429, -123.339876603198 48.8146533870087, -123.343792546537 48.8112775403443, -123.347247591367 48.8076890197833, -123.350215503068 48.803915178239, -123.352673775804 48.7999847749522, -123.354603801304 48.7959277554611, -123.355991007407 48.791775022703, -123.356824965415 48.7875582010194, -123.357099465537 48.7833093948856, -123.356812559977 48.7790609442179, -123.355966573464 48.7748451781322, -123.354568081265 48.7706941690302, -123.352627855002 48.7666394888811, -123.350160776778 48.7627119695428, -123.347185722416 48.7589414689265, -123.343725414778 48.7553566447609, -123.339806248393 48.7519847376463, -123.335458086782 48.7488513650155, -123.330714034096 48.7459803275295, -123.325610182818 48.7433934293411, -123.320185339472 48.7411103135522, -123.314480730408 48.7391483140734, -123.308539689868 48.7375223249741, -123.302407332658 48.7362446882778, -123.296130213112 48.735325103702, -123.289755977558 48.7347705446084, -123.283333 48.7345852227878, -123.276910022442 48.7347705446084, -123.270535786888 48.735325103702, -123.264258667342 48.7362446882778, -123.258126310132 48.7375223249741, -123.252185269592 48.7391483140734, -123.246480660528 48.7411103135522, -123.241055817181 48.7433934293411, -123.235951965904 48.7459803275295, -123.231207913218 48.7488513650155, -123.226859751607 48.7519847376463, -123.222940585222 48.7553566447609, -123.219480277584 48.7589414689265, -123.216505223222 48.7627119695428, -123.214038144998 48.7666394888811, -123.212097918735 48.7706941690302, -123.210699426536 48.7748451781322, -123.209853440023 48.7790609442179, -123.209566534463 48.7833093948856, -123.209841034585 48.7875582010194, -123.210674992593 48.791775022703, -123.212062198696 48.7959277554611, -123.213992224196 48.7999847749522, -123.216450496932 48.803915178239, -123.219418408633 48.8076890197833, -123.222873453463 48.8112775403443, -123.226789396802 48.8146533870087, -123.23113647306 48.8177908226429, -123.235881611067 48.8206659231335, -123.240988685363 48.8232567608752, -123.246418791496 48.8255435730648, -123.252130543211 48.8275089134781, -123.258080389238 48.8291377865328, -123.264222947223 48.8304177625776, -123.270511352914 48.8313390707192, -123.276897616987 48.8318946854186, -123.283333 48.8320803627083, -123.289768383013 48.8318946854186))"
North Pender Island; Otter Bay,Canada,British Columbia,Southern Gulf Islands,48.783333,-123.283333,no,Low(49),unavailable,"48.783333,-123.283333,NORTH PENDER ISLAND|Unavailable|5421|Low(49),48.783333,-123.283333,PENDER ISLAND|Unavailable|5421|Low(43),48.796944,-123.314722,OTTER BAY|Unavailable|647|Low(39),48.8,-123.31667,OTTER BAY|Unavailable|301|Low(39),50.180833,-119.441667,OTTER BAY|Unavailable|647|Low(39),59.616667,-134.5,OTTER|Unavailable|1189|Low(35),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",5421,"POLYGON ((-123.289768383013 48.8318946854186, -123.296154647086 48.8313390707192, -123.302443052777 48.8304177625776, -123.308585610762 48.8291377865328, -123.314535456789 48.8275089134781, -123.320247208504 48.8255435730648, -123.325677314637 48.8232567608752, -123.330784388933 48.8206659231335, -123.33552952694 48.8177908226429, -123.339876603198 48.8146533870087, -123.343792546537 48.8112775403443, -123.347247591367 48.8076890197833, -123.350215503068 48.803915178239, -123.352673775804 48.7999847749522, -123.354603801304 48.7959277554611, -123.355991007407 48.791775022703, -123.356824965415 48.7875582010194, -123.357099465537 48.7833093948856, -123.356812559977 48.7790609442179, -123.355966573464 48.7748451781322, -123.354568081265 48.7706941690302, -123.352627855002 48.7666394888811, -123.350160776778 48.7627119695428, -123.347185722416 48.7589414689265, -123.343725414778 48.7553566447609, -123.339806248393 48.7519847376463, -123.335458086782 48.7488513650155, -123.330714034096 48.7459803275295, -123.325610182818 48.7433934293411, -123.320185339472 48.7411103135522, -123.314480730408 48.7391483140734, -123.308539689868 48.7375223249741, -123.302407332658 48.7362446882778, -123.296130213112 48.735325103702, -123.289755977558 48.7347705446084, -123.283333 48.7345852227878, -123.276910022442 48.7347705446084, -123.270535786888 48.735325103702, -123.264258667342 48.7362446882778, -123.258126310132 48.7375223249741, -123.252185269592 48.7391483140734, -123.246480660528 48.7411103135522, -123.241055817181 48.7433934293411, -123.235951965904 48.7459803275295, -123.231207913218 48.7488513650155, -123.226859751607 48.7519847376463, -123.222940585222 48.7553566447609, -123.219480277584 48.7589414689265, -123.216505223222 48.7627119695428, -123.214038144998 48.7666394888811, -123.212097918735 48.7706941690302, -123.210699426536 48.7748451781322, -123.209853440023 48.7790609442179, -123.209566534463 48.7833093948856, -123.209841034585 48.7875582010194, -123.210674992593 48.791775022703, -123.212062198696 48.7959277554611, -123.213992224196 48.7999847749522, -123.216450496932 48.803915178239, -123.219418408633 48.8076890197833, -123.222873453463 48.8112775403443, -123.226789396802 48.8146533870087, -123.23113647306 48.8177908226429, -123.235881611067 48.8206659231335, -123.240988685363 48.8232567608752, -123.246418791496 48.8255435730648, -123.252130543211 48.8275089134781, -123.258080389238 48.8291377865328, -123.264222947223 48.8304177625776, -123.270511352914 48.8313390707192, -123.276897616987 48.8318946854186, -123.283333 48.8320803627083, -123.289768383013 48.8318946854186))"
Galiano Island,Canada,British Columbia,Southern Gulf Islands,48.916667,-123.416667,no,High(89),unavailable,"48.916667,-123.416667,GALIANO ISLAND|Unavailable|5421|High(89),50.883333,-127.75,GALIANO|Unavailable|5421|Low(37)",5421,"POLYGON ((-123.423119522109 48.9652275557114, -123.429522794583 48.9646719543629, -123.435827945228 48.9637506607637, -123.441986858578 48.96247070891, -123.447952544304 48.9608418668624, -123.45367949876 48.9588765641923, -123.459124054377 48.9565897963752, -123.464244714487 48.9539990094972, -123.469002470973 48.9511239661872, -123.473361102255 48.9479865938346, -123.477287449315 48.94461081629, -123.480751667659 48.9410223703734, -123.483727453298 48.9372486086289, -123.486192241074 48.9333182898695, -123.488127373877 48.9292613591449, -123.489518241535 48.9251087188422, -123.490354388435 48.9208919926913, -123.490629589137 48.9166432844964, -123.490341891556 48.9123949334468, -123.489493627488 48.9081792678802, -123.488091390544 48.9040283593757, -123.486145981787 48.8999737790436, -123.483672323617 48.8960463578558, -123.480689342668 48.8922759528209, -123.477219822724 48.8886912207605, -123.47329022886 48.8853194013752, -123.468930504226 48.8821861112186, -123.46417384106 48.8793151501058, -123.459056427725 48.8767283213907, -123.453617173688 48.8744452674351, -123.447897414531 48.8724833214813, -123.441940599198 48.8708573770123, -123.435791961814 48.8695797755576, -123.429498180475 48.8686602137619, -123.423107025212 48.8681056729069, -123.416667 48.8679203562332, -123.410226974788 48.8681056729069, -123.403835819525 48.8686602137619, -123.397542038186 48.8695797755576, -123.391393400802 48.8708573770123, -123.385436585469 48.8724833214813, -123.379716826312 48.8744452674351, -123.374277572275 48.8767283213907, -123.36916015894 48.8793151501058, -123.364403495774 48.8821861112186, -123.36004377114 48.8853194013752, -123.356114177277 48.8886912207605, -123.352644657332 48.8922759528209, -123.349661676383 48.8960463578558, -123.347188018213 48.8999737790436, -123.345242609456 48.9040283593757, -123.343840372512 48.9081792678802, -123.342992108444 48.9123949334468, -123.342704410863 48.9166432844964, -123.342979611565 48.9208919926913, -123.343815758465 48.9251087188422, -123.345206626123 48.9292613591449, -123.347141758926 48.9333182898695, -123.349606546702 48.9372486086289, -123.352582332341 48.9410223703734, -123.356046550685 48.94461081629, -123.359972897745 48.9479865938346, -123.364331529027 48.9511239661872, -123.369089285513 48.9539990094972, -123.374209945623 48.9565897963752, -123.37965450124 48.9588765641923, -123.385381455696 48.9608418668624, -123.391347141422 48.96247070891, -123.397506054772 48.9637506607637, -123.403811205417 48.9646719543629, -123.410214477891 48.9652275557114, -123.416667 48.9654132295332, -123.423119522109 48.9652275557114))"
Saturna Island; from Church lawn,Canada,British Columbia,Southern Gulf Islands,48.798827,-123.130774,no,Medium(64),unavailable,"48.798827,-123.130774,(g3)Saturna Island|Unavailable|6869|Medium(64),48.783333,-123.15,SATURNA ISLAND|Unavailable|5421|Low(44),48.8,-123.2,SATURNA|Unavailable|301|Low(37)",6869,"POLYGON ((-123.138932956988 48.8603596738151, -123.14702959151 48.8596554719547, -123.155002062371 48.858487780173, -123.162789487036 48.8568655169798, -123.170332411305 48.8548010717527, -123.17757326751 48.852310209134, -123.184456817551 48.8494119474342, -123.190930577273 48.8461284120193, -123.196945218823 48.842484664853, -123.202454947827 48.838508511556, -123.207417852486 48.8342302875177, -123.211796221894 48.8296826247579, -123.215556831193 48.8249002013816, -123.21867119145 48.8199194756019, -123.221115762445 48.8147784064155, -123.222872126871 48.8095161631156, -123.223927124785 48.8041728258987, -123.224272947451 48.7987890798852, -123.223907190058 48.7934059049079, -123.222832863121 48.7880642634496, -123.221058362674 48.782804789106, -123.218597399711 48.7776674779411, -123.2154688896 48.7726913850631, -123.211696802498 48.7679143287014, -123.207309976085 48.7633726039954, -123.202341892184 48.7591007086263, -123.196830419073 48.7551310823208, -123.190817521549 48.7514938621492, -123.184348940996 48.7482166554125, -123.177473847907 48.7453243317804, -123.170244469477 48.7428388361929, -123.162715695061 48.7407790238855, -123.154944662393 48.7391605187307, -123.146990327607 48.7379955959191, -123.13891302218 48.7372930898262, -123.130774 48.7370583305672, -123.122634977821 48.7372930898262, -123.114557672393 48.7379955959191, -123.106603337607 48.7391605187307, -123.098832304939 48.7407790238855, -123.091303530523 48.7428388361929, -123.084074152093 48.7453243317804, -123.077199059004 48.7482166554125, -123.070730478451 48.7514938621492, -123.064717580927 48.7551310823208, -123.059206107816 48.7591007086263, -123.054238023915 48.7633726039954, -123.049851197502 48.7679143287014, -123.0460791104 48.7726913850631, -123.042950600289 48.7776674779411, -123.040489637326 48.782804789106, -123.038715136879 48.7880642634496, -123.037640809942 48.7934059049079, -123.037275052549 48.7987890798852, -123.037620875215 48.8041728258987, -123.038675873129 48.8095161631156, -123.040432237555 48.8147784064155, -123.04287680855 48.8199194756019, -123.045991168807 48.8249002013816, -123.049751778106 48.8296826247579, -123.054130147514 48.8342302875177, -123.059093052173 48.838508511556, -123.064602781177 48.842484664853, -123.070617422727 48.8461284120193, -123.077091182449 48.8494119474342, -123.08397473249 48.852310209134, -123.091215588695 48.8548010717527, -123.098758512964 48.8568655169798, -123.106545937629 48.858487780173, -123.11451840849 48.8596554719547, -123.122615043012 48.8603596738151, -123.130774 48.8605950069551, -123.138932956988 48.8603596738151))"
North Pender Island,Canada,British Columbia,Southern Gulf Islands,48.783333,-123.283333,no,High(94),unavailable,"48.783333,-123.283333,NORTH PENDER ISLAND|Unavailable|5421|High(94),48.783333,-123.283333,PENDER ISLAND|Unavailable|5421|Low(43),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",5421,"POLYGON ((-123.289768383013 48.8318946854186, -123.296154647086 48.8313390707192, -123.302443052777 48.8304177625776, -123.308585610762 48.8291377865328, -123.314535456789 48.8275089134781, -123.320247208504 48.8255435730648, -123.325677314637 48.8232567608752, -123.330784388933 48.8206659231335, -123.33552952694 48.8177908226429, -123.339876603198 48.8146533870087, -123.343792546537 48.8112775403443, -123.347247591367 48.8076890197833, -123.350215503068 48.803915178239, -123.352673775804 48.7999847749522, -123.354603801304 48.7959277554611, -123.355991007407 48.791775022703, -123.356824965415 48.7875582010194, -123.357099465537 48.7833093948856, -123.356812559977 48.7790609442179, -123.355966573464 48.7748451781322, -123.354568081265 48.7706941690302, -123.352627855002 48.7666394888811, -123.350160776778 48.7627119695428, -123.347185722416 48.7589414689265, -123.343725414778 48.7553566447609, -123.339806248393 48.7519847376463, -123.335458086782 48.7488513650155, -123.330714034096 48.7459803275295, -123.325610182818 48.7433934293411, -123.320185339472 48.7411103135522, -123.314480730408 48.7391483140734, -123.308539689868 48.7375223249741, -123.302407332658 48.7362446882778, -123.296130213112 48.735325103702, -123.289755977558 48.7347705446084, -123.283333 48.7345852227878, -123.276910022442 48.7347705446084, -123.270535786888 48.735325103702, -123.264258667342 48.7362446882778, -123.258126310132 48.7375223249741, -123.252185269592 48.7391483140734, -123.246480660528 48.7411103135522, -123.241055817181 48.7433934293411, -123.235951965904 48.7459803275295, -123.231207913218 48.7488513650155, -123.226859751607 48.7519847376463, -123.222940585222 48.7553566447609, -123.219480277584 48.7589414689265, -123.216505223222 48.7627119695428, -123.214038144998 48.7666394888811, -123.212097918735 48.7706941690302, -123.210699426536 48.7748451781322, -123.209853440023 48.7790609442179, -123.209566534463 48.7833093948856, -123.209841034585 48.7875582010194, -123.210674992593 48.791775022703, -123.212062198696 48.7959277554611, -123.213992224196 48.7999847749522, -123.216450496932 48.803915178239, -123.219418408633 48.8076890197833, -123.222873453463 48.8112775403443, -123.226789396802 48.8146533870087, -123.23113647306 48.8177908226429, -123.235881611067 48.8206659231335, -123.240988685363 48.8232567608752, -123.246418791496 48.8255435730648, -123.252130543211 48.8275089134781, -123.258080389238 48.8291377865328, -123.264222947223 48.8304177625776, -123.270511352914 48.8313390707192, -123.276897616987 48.8318946854186, -123.283333 48.8320803627083, -123.289768383013 48.8318946854186))"
