"locality string","country","state","county","latitude","longitude","correction 
                 status","precision","error polygon","multiple results","uncertainty"
"Wise Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Parker Island; salt marsh","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Prevost Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"North Pender Island; Port Washington; George Hill","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"North Pender Island; Port Washington","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"North Pender Island; Magic Lake; fen below lake","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"North Pender Island; Otter Bay","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saturna Island; from Church lawn","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"North Pender Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Metchosin; Matheson Lake","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA
"Saturna Island; Wood Duck pond","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saturna Island; [Beaver?] ponds","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
