"occurrenceID","scientificName"
"HJC-1990","Acmispon denticulatus"
"HJC-2045","Actaea rubra"
"HJC-1966","Agoseris heterophylla"
"HJC-2036","Agrostis pallens"
"HJC-1954","Alopecurus geniculatus"
"HJC-1938","Alopecurus pratensis"
"HJC-2035","Amaranthus retroflexus"
"HJC-2025","Ambrosia chamissonis"
"HJC-1970","Anthemis arvensis"
"HJC-1946","Anthriscus caucalis"
"HJC-1944","Arabis hirsuta"
"HJC-2026","Argentina pacifica"
"HJC-1945","Arrhenatherum elatius"
"HJC-2023","Asparagus officinalis"
"HJC-1995","Barbarea orthoceras"
"HJC-2007","Blechnum spicant"
"HJC-1964","Brodia coronaria"
"HJC-1934","Bromus pacificus"
"HJC-1988","Bromus sitchensis sitchensis"
"HJC-1935","Bromus vulgaris"
"HJC-1942","Callitriche heterophylla"
"HJC-2034","Carex acuta"
"HJC-1971","Carex aurea"
"HJC-1976","Carex cusickii"
"HJC-2033","Carex hendersonii"
"HJC-1981","Carex oederi"
"HJC-1975","Carex rostrata"
"HJC-1980","Centaurea nigra"
"HJC-1989","Cerastium fontanum"
"HJC-2632","Ceratophyllum echinatum"
"HJC-2018","Collinsia heterophylla"
"HJC-2021","Collinsia linearis"
"HJC-1957","Daphne laureola"
"HJC-2015","Daucus pusillus"
"HJC-1949","Deschampsia elongata"
"HJC-2005","Distichlis spicata"
"HJC-1992","Elymus mollis"
"HJC-2016","Erysimum cheiranthoides"
"HJC-2031","Euphorbia peplus"
"HJC-2003","Euphrasia officinalis"
"HJC-1967","Festuca rubra litoralis"
"HJC-1997","Festuca subuliflora"
"HJC-2012","Galium triflorum"
"HJC-2042","Geranium bicknellii"
"HJC-1950","Geranium carolinianum"
"HJC-2029","Hypericum anagalloides"
"HJC-1958","Hypochaeris radicata"
"HJC-2630","Isoetes echinospora"
"HJC-1948","Juncus bufonius"
"HJC-2024","Juncus occidentalis"
"HJC-1973","Leontodon nudicaulis"
"HJC-1987","Leontodon saxatilis saxatilis"
"HJC-1953","Lepidium virginicum"
"HJC-1972","Lotus corniculatus"
"HJC-1931","Lupinus arboreus"
"HJC-1965","Lupinus bicolor"
"HJC-1951","Lychnis coronaria"
"HJC-2040","Lysimachia arvensis"
"HJC-2017","Madia exigua"
"HJC-2014","Madia sativa"
"HJC-2043","Matthiola incana"
"HJC-1978","Medicago lupulina"
"HJC-2011","Melica harfordii"
"HJC-2038","Monotropa hypopitys"
"HJC-1952","Montia sibirica"
"HJC-1985","Orobanche californicum"
"HJC-1955","Physocarpus capitatus"
"HJC-1982","Pinus contorta"
"HJC-1974","Plantago maritima"
"HJC-2008","Platanthera unalascensis"
"HJC-1940","Poa howellii"
"HJC-2044","Polygonum aviculare"
"HJC-1963","Polygonum spergulariiforme"
"HJC-1994","Polypogon monspeliensis"
"HJC-1983","Populus balsamifera"
"HJC-1969","Potentilla gracilis"
"HJC-1991","Puccinellia nutkaensis"
"HJC-2004","Pyrola aphylla"
"HJC-1959","Pyrola asarifolia"
"HJC-1930","Sagina decumbens occidentalis"
"HJC-1937","Sagina maxima crassicaulis"
"HJC-1960","Sanguisorba minor"
"HJC-1939","Saxifraga cespitosa"
"HJC-2009","Senecio vulgaris"
"HJC-2000","Sherardia arvensis"
"HJC-2013","Silene antirrhina"
"HJC-1979","Sisyrinchium angustifolium"
"HJC-2028","Sisyrinchium palmifolium palmifolium"
"HJC-2041","Sonchus asper"
"HJC-1993","Sonchus oleraceus"
"HJC-2006","Spergularia marina"
"HJC-1956","Stellaria calycantha"
"HJC-2032","Symphyotrichum bracteolatum"
"HJC-2037","Symphytum officinale"
"HJC-1947","Taxus brevifolia"
"HJC-2030","Thlaspi arvense"
"HJC-1977","Tragopogon porrifolius"
"HJC-1962","Trifolium campestre"
"HJC-1933","Trifolium subterraneum"
"HJC-2019","Triglochin concinna"
"HJC-1941","Trisetum canescens"
"HJC-2002","Trisetum cernuum"
"HJC-1968","Triteleia hyacinthina"
"HJC-2633","Utricularia minor"
"HJC-1961","Veronica serpyllifolia"
"HJC-2027","Vicia cracca"
