ScientificName	Country	StateProvince
Acmispon denticulatus	Canada	British Columbia
Actaea rubra	Canada	British Columbia
Agoseris heterophylla	Canada	British Columbia
Agrostis pallens	Canada	British Columbia
Alopecurus geniculatus	Canada	British Columbia
Alopecurus pratensis	Canada	British Columbia
Amaranthus retroflexus	Canada	British Columbia
Ambrosia chamissonis	Canada	British Columbia
Anthemis arvensis	Canada	British Columbia
Anthriscus caucalis	Canada	British Columbia
Arabis hirsuta	Canada	British Columbia
Argentina pacifica	Canada	British Columbia
Arrhenatherum elatius	Canada	British Columbia
Asparagus officinalis	Canada	British Columbia
Barbarea orthoceras	Canada	British Columbia
Blechnum spicant	Canada	British Columbia
Brodia coronaria	Canada	British Columbia
Bromus pacificus	Canada	British Columbia
Bromus sitchensis sitchensis	Canada	British Columbia
Bromus vulgaris	Canada	British Columbia
Callitriche heterophylla	Canada	British Columbia
Carex acuta	Canada	British Columbia
Carex aurea	Canada	British Columbia
Carex cusickii	Canada	British Columbia
Carex hendersonii	Canada	British Columbia
Carex oederi	Canada	British Columbia
Carex rostrata	Canada	British Columbia
Centaurea nigra	Canada	British Columbia
Cerastium fontanum	Canada	British Columbia
Ceratophyllum echinatum	Canada	British Columbia
Collinsia heterophylla	Canada	British Columbia
Collinsia linearis	Canada	British Columbia
Daphne laureola	Canada	British Columbia
Daucus pusillus	Canada	British Columbia
Deschampsia elongata	Canada	British Columbia
Distichlis spicata	Canada	British Columbia
Elymus mollis	Canada	British Columbia
Erysimum cheiranthoides	Canada	British Columbia
Euphorbia peplus	Canada	British Columbia
Euphrasia officinalis	Canada	British Columbia
Festuca rubra litoralis	Canada	British Columbia
Festuca subuliflora	Canada	British Columbia
Galium triflorum	Canada	British Columbia
Geranium bicknellii	Canada	British Columbia
Geranium carolinianum	Canada	British Columbia
Hypericum anagalloides	Canada	British Columbia
Hypochaeris radicata	Canada	British Columbia
Isoetes echinospora	Canada	British Columbia
Juncus bufonius	Canada	British Columbia
Juncus occidentalis	Canada	British Columbia
Leontodon nudicaulis	Canada	British Columbia
Leontodon saxatilis saxatilis	Canada	British Columbia
Lepidium virginicum	Canada	British Columbia
Lotus corniculatus	Canada	British Columbia
Lupinus arboreus	Canada	British Columbia
Lupinus bicolor	Canada	British Columbia
Lychnis coronaria	Canada	British Columbia
Lysimachia arvensis	Canada	British Columbia
Madia exigua	Canada	British Columbia
Madia sativa	Canada	British Columbia
Matthiola incana	Canada	British Columbia
Medicago lupulina	Canada	British Columbia
Melica harfordii	Canada	British Columbia
Monotropa hypopitys	Canada	British Columbia
Montia sibirica	Canada	British Columbia
Orobanche californicum	Canada	British Columbia
Physocarpus capitatus	Canada	British Columbia
Pinus contorta	Canada	British Columbia
Plantago maritima	Canada	British Columbia
Platanthera unalascensis	Canada	British Columbia
Poa howellii	Canada	British Columbia
Polygonum aviculare	Canada	British Columbia
Polygonum spergulariiforme	Canada	British Columbia
Polypogon monspeliensis	Canada	British Columbia
Populus balsamifera	Canada	British Columbia
Potentilla gracilis	Canada	British Columbia
Puccinellia nutkaensis	Canada	British Columbia
Pyrola aphylla	Canada	British Columbia
Pyrola asarifolia	Canada	British Columbia
Sagina decumbens occidentalis	Canada	British Columbia
Sagina maxima crassicaulis	Canada	British Columbia
Sanguisorba minor	Canada	British Columbia
Saxifraga cespitosa	Canada	British Columbia
Senecio vulgaris	Canada	British Columbia
Sherardia arvensis	Canada	British Columbia
Silene antirrhina	Canada	British Columbia
Sisyrinchium angustifolium	Canada	British Columbia
Sisyrinchium palmifolium palmifolium	Canada	British Columbia
Sonchus asper	Canada	British Columbia
Sonchus oleraceus	Canada	British Columbia
Spergularia marina	Canada	British Columbia
Stellaria calycantha	Canada	British Columbia
Symphyotrichum bracteolatum	Canada	British Columbia
Symphytum officinale	Canada	British Columbia
Taxus brevifolia	Canada	British Columbia
Thlaspi arvense	Canada	British Columbia
Tragopogon porrifolius	Canada	British Columbia
Trifolium campestre	Canada	British Columbia
Trifolium subterraneum	Canada	British Columbia
Triglochin concinna	Canada	British Columbia
Trisetum canescens	Canada	British Columbia
Trisetum cernuum	Canada	British Columbia
Triteleia hyacinthina	Canada	British Columbia
Utricularia minor	Canada	British Columbia
Veronica serpyllifolia	Canada	British Columbia
Vicia cracca	Canada	British Columbia
