recordNumber,verbatimScientificName,locality,country,stateProvince,island,identificationQualifier,county,habitat,locationRemarks,verbatimElevation,verbatimLatitude,verbatimLongitude,verbatimCoordinates,vCoordUncM,organismQuantity,organismQuantityType,occurrenceRemarks,occurrenceStatus,lifeStage,verbatimTaxonRank,recordedBy,identificationBy,datasetName,basisOfRecord,eventDate,year,month,day,islandGroup,fieldNotes,occurrenceID,scientificName,key,matchType,taxonomicStatus,taxonRank,kingdom,phylum,class,order,family,genus,species,scientificNameauthorship,specificEpithet,intraspecificEpithet,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,verbatimCoordinateSystem,georeferenceSources,georeferenceProtocol,associatedTaxa,associatedOccurrences,dynamicProperties
1930,Sagina occidentalis,Wise Island,Canada,British Columbia,Wise Island,NA,Southern Gulf Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,NA,subspecies,Harvey Janszen,NA,Harvey Janszen Collection,PreservedSpecimen,1981-05-21,1981,5,21,Southern Gulf Islands,"HJ-7 page: 1 num: 1, Imaged notes: X,  Original notes housed at UBC herbarium",HJC-1930,Sagina decumbens subsp. occidentalis (S.Watson) G.E.Crow,3808643,EXACT,ACCEPTED,SUBSPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Sagina,Sagina decumbens,(S.Watson) G.E.Crow,decumbens,occidentalis,48.901389,-123.445,935,NA,GEOLocate,GEOLocate batch process,NA,NA,provincial status: S5 (2019); global status: G5T5 (2019)
1931,Lupinus arboreus,Parker Island salt marsh,Canada,British Columbia,Parker Island,NA,Southern Gulf Islands,salt marsh,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,NA,species,Harvey Janszen,NA,Harvey Janszen Collection,PreservedSpecimen,1981-05-21,1981,5,21,Southern Gulf Islands,"HJ-7 page: 1 num: 2, Imaged notes: X,  Original notes housed at UBC herbarium",HJC-1931,Lupinus arboreus Sims,2963807,EXACT,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,Lupinus arboreus,Sims,arboreus,NA,48.886111,-123.412222,1903,NA,GEOLocate,GEOLocate batch process,NA,NA,provincial status: SNA (2019); global status: G3G4 (2006)
1932,Lotus corniculatus,Prevost Island,Canada,British Columbia,Prevost Island,NA,Southern Gulf Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,NA,species,Harvey Janszen,NA,Harvey Janszen Collection,PreservedSpecimen,1981-05-28,1981,5,28,Southern Gulf Islands,"HJ-7 page: 7 num: 1, Imaged notes: X,  Original notes housed at UBC herbarium",HJC-1932,Lotus corniculatus L.,5357013,EXACT,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus,Lotus corniculatus,L.,corniculatus,NA,48.831299,-123.37887,2900,NA,GEOLocate,GEOLocate batch process,Lotus corniculatus; Trifolium subterraneum; Bromus pacificus; Bromus vulgaris; Barbarea orthoceras; Sagina maxima crassicaulis; Alopecurus pratensis; Saxifraga cespitosa; Poa howellii; Trisetum canescens; Callitriche heterophylla; Festuca subuliflora; Arabis hirsuta; Arrhenatherum elatius; Anthriscus caucalis,HJC-1932; HJC-1933; HJC-1934; HJC-1935; HJC-1936; HJC-1937; HJC-1938; HJC-1939; HJC-1940; HJC-1941; HJC-1942; HJC-1943; HJC-1944; HJC-1945; HJC-1946,provincial status: SNA (2019); global status: GNR
1933,Trifolium subterraneum,Prevost Island,Canada,British Columbia,Prevost Island,NA,Southern Gulf Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,NA,species,Harvey Janszen,NA,Harvey Janszen Collection,PreservedSpecimen,1981-05-28,1981,5,28,Southern Gulf Islands,"HJ-7 page: 7 num: 2, Imaged notes: X,  Original notes housed at UBC herbarium",HJC-1933,Trifolium subterraneum L.,5359330,EXACT,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium subterraneum,L.,subterraneum,NA,48.831299,-123.37887,2900,NA,GEOLocate,GEOLocate batch process,Lotus corniculatus; Trifolium subterraneum; Bromus pacificus; Bromus vulgaris; Barbarea orthoceras; Sagina maxima crassicaulis; Alopecurus pratensis; Saxifraga cespitosa; Poa howellii; Trisetum canescens; Callitriche heterophylla; Festuca subuliflora; Arabis hirsuta; Arrhenatherum elatius; Anthriscus caucalis,HJC-1932; HJC-1933; HJC-1934; HJC-1935; HJC-1936; HJC-1937; HJC-1938; HJC-1939; HJC-1940; HJC-1941; HJC-1942; HJC-1943; HJC-1944; HJC-1945; HJC-1946,provincial status: SNA (2019); global status: GNR
1934,Bromus pacificus,Prevost Island,Canada,British Columbia,Prevost Island,NA,Southern Gulf Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,NA,species,Harvey Janszen,NA,Harvey Janszen Collection,PreservedSpecimen,1981-05-28,1981,5,28,Southern Gulf Islands,"HJ-7 page: 7 num: 3, Imaged notes: X,  Original notes housed at UBC herbarium",HJC-1934,Bromus pacificus Shear,2703653,EXACT,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus pacificus,Shear,pacificus,NA,48.831299,-123.37887,2900,NA,GEOLocate,GEOLocate batch process,Lotus corniculatus; Trifolium subterraneum; Bromus pacificus; Bromus vulgaris; Barbarea orthoceras; Sagina maxima crassicaulis; Alopecurus pratensis; Saxifraga cespitosa; Poa howellii; Trisetum canescens; Callitriche heterophylla; Festuca subuliflora; Arabis hirsuta; Arrhenatherum elatius; Anthriscus caucalis,HJC-1932; HJC-1933; HJC-1934; HJC-1935; HJC-1936; HJC-1937; HJC-1938; HJC-1939; HJC-1940; HJC-1941; HJC-1942; HJC-1943; HJC-1944; HJC-1945; HJC-1946,provincial status: S5 (2019); global status: G5 (2016)
1935,Bromus vulgaris,Prevost Island,Canada,British Columbia,Prevost Island,NA,Southern Gulf Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,NA,species,Harvey Janszen,NA,Harvey Janszen Collection,PreservedSpecimen,1981-05-28,1981,5,28,Southern Gulf Islands,"HJ-7 page: 7 num: 4, Imaged notes: X,  Original notes housed at UBC herbarium",HJC-1935,Bromus vulgaris (Hook.) Shear,2703655,EXACT,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus vulgaris,(Hook.) Shear,vulgaris,NA,48.831299,-123.37887,2900,NA,GEOLocate,GEOLocate batch process,Lotus corniculatus; Trifolium subterraneum; Bromus pacificus; Bromus vulgaris; Barbarea orthoceras; Sagina maxima crassicaulis; Alopecurus pratensis; Saxifraga cespitosa; Poa howellii; Trisetum canescens; Callitriche heterophylla; Festuca subuliflora; Arabis hirsuta; Arrhenatherum elatius; Anthriscus caucalis,HJC-1932; HJC-1933; HJC-1934; HJC-1935; HJC-1936; HJC-1937; HJC-1938; HJC-1939; HJC-1940; HJC-1941; HJC-1942; HJC-1943; HJC-1944; HJC-1945; HJC-1946,provincial status: S5 (2019); global status: G5 (2016)
1936,Barbarea orthoceras,Prevost Island,Canada,British Columbia,Prevost Island,NA,Southern Gulf Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,NA,species,Harvey Janszen,NA,Harvey Janszen Collection,PreservedSpecimen,1981-05-28,1981,5,28,Southern Gulf Islands,"HJ-7 page: 7 num: 5, Imaged notes: X,  Original notes housed at UBC herbarium",HJC-1936,Barbarea orthoceras Ledeb.,5374604,EXACT,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Barbarea,Barbarea orthoceras,Ledeb.,orthoceras,NA,48.831299,-123.37887,2900,NA,GEOLocate,GEOLocate batch process,Lotus corniculatus; Trifolium subterraneum; Bromus pacificus; Bromus vulgaris; Barbarea orthoceras; Sagina maxima crassicaulis; Alopecurus pratensis; Saxifraga cespitosa; Poa howellii; Trisetum canescens; Callitriche heterophylla; Festuca subuliflora; Arabis hirsuta; Arrhenatherum elatius; Anthriscus caucalis,HJC-1932; HJC-1933; HJC-1934; HJC-1935; HJC-1936; HJC-1937; HJC-1938; HJC-1939; HJC-1940; HJC-1941; HJC-1942; HJC-1943; HJC-1944; HJC-1945; HJC-1946,provincial status: S5 (2019); global status: G5 (2015)
1937,Sagina crassicaulis,Prevost Island,Canada,British Columbia,Prevost Island,NA,Southern Gulf Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,NA,subspecies,Harvey Janszen,NA,Harvey Janszen Collection,PreservedSpecimen,1981-05-28,1981,5,28,Southern Gulf Islands,"HJ-7 page: 7 num: 6, Imaged notes: X,  Original notes housed at UBC herbarium",HJC-1937,Sagina maxima subsp. crassicaulis (S.Watson) G.E.Crow,6363740,EXACT,ACCEPTED,SUBSPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Sagina,Sagina maxima,(S.Watson) G.E.Crow,maxima,crassicaulis,48.831299,-123.37887,2900,NA,GEOLocate,GEOLocate batch process,Lotus corniculatus; Trifolium subterraneum; Bromus pacificus; Bromus vulgaris; Barbarea orthoceras; Sagina maxima crassicaulis; Alopecurus pratensis; Saxifraga cespitosa; Poa howellii; Trisetum canescens; Callitriche heterophylla; Festuca subuliflora; Arabis hirsuta; Arrhenatherum elatius; Anthriscus caucalis,HJC-1932; HJC-1933; HJC-1934; HJC-1935; HJC-1936; HJC-1937; HJC-1938; HJC-1939; HJC-1940; HJC-1941; HJC-1942; HJC-1943; HJC-1944; HJC-1945; HJC-1946,provincial status: S5 (2000); global status: G5T5 (2016)
1938,Alopecurus pratensis,Prevost Island,Canada,British Columbia,Prevost Island,NA,Southern Gulf Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,NA,species,Harvey Janszen,NA,Harvey Janszen Collection,PreservedSpecimen,1981-05-28,1981,5,28,Southern Gulf Islands,"HJ-7 page: 7 num: 7, Imaged notes: X,  Original notes housed at UBC herbarium",HJC-1938,Alopecurus pratensis L.,5290081,EXACT,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Alopecurus,Alopecurus pratensis,L.,pratensis,NA,48.831299,-123.37887,2900,NA,GEOLocate,GEOLocate batch process,Lotus corniculatus; Trifolium subterraneum; Bromus pacificus; Bromus vulgaris; Barbarea orthoceras; Sagina maxima crassicaulis; Alopecurus pratensis; Saxifraga cespitosa; Poa howellii; Trisetum canescens; Callitriche heterophylla; Festuca subuliflora; Arabis hirsuta; Arrhenatherum elatius; Anthriscus caucalis,HJC-1932; HJC-1933; HJC-1934; HJC-1935; HJC-1936; HJC-1937; HJC-1938; HJC-1939; HJC-1940; HJC-1941; HJC-1942; HJC-1943; HJC-1944; HJC-1945; HJC-1946,provincial status: SNA (2019); global status: GNR
1939,Saxifraga caespitosa,Prevost Island,Canada,British Columbia,Prevost Island,NA,Southern Gulf Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,NA,species,Harvey Janszen,NA,Harvey Janszen Collection,PreservedSpecimen,1981-05-28,1981,5,28,Southern Gulf Islands,"HJ-7 page: 8 num: 1, Imaged notes: X,  Original notes housed at UBC herbarium",HJC-1939,Saxifraga cespitosa L.,3032796,EXACT,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga cespitosa,L.,cespitosa,NA,48.831299,-123.37887,2900,NA,GEOLocate,GEOLocate batch process,Lotus corniculatus; Trifolium subterraneum; Bromus pacificus; Bromus vulgaris; Barbarea orthoceras; Sagina maxima crassicaulis; Alopecurus pratensis; Saxifraga cespitosa; Poa howellii; Trisetum canescens; Callitriche heterophylla; Festuca subuliflora; Arabis hirsuta; Arrhenatherum elatius; Anthriscus caucalis,HJC-1932; HJC-1933; HJC-1934; HJC-1935; HJC-1936; HJC-1937; HJC-1938; HJC-1939; HJC-1940; HJC-1941; HJC-1942; HJC-1943; HJC-1944; HJC-1945; HJC-1946,provincial status: S5 (2019); global status: G5 (2016)
