occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"HJC-1930","Sagina decumbens occidentalis","Sagina decumbens subsp. occidentalis (S.Watson) G.E.Crow","3808643","EXACT","98","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Sagina","Sagina decumbens","Sagina decumbens occidentalis","(S.Watson) G.E.Crow"
"HJC-1931","Lupinus arboreus","Lupinus arboreus Sims","2963807","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus","Lupinus arboreus","Lupinus arboreus","Sims"
"HJC-1932","Lotus corniculatus","Lotus corniculatus L.","5357013","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lotus","Lotus corniculatus","Lotus corniculatus","L."
"HJC-1933","Trifolium subterraneum","Trifolium subterraneum L.","5359330","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium subterraneum","Trifolium subterraneum","L."
"HJC-1934","Bromus pacificus","Bromus pacificus Shear","2703653","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus pacificus","Bromus pacificus","Shear"
"HJC-1935","Bromus vulgaris","Bromus vulgaris (Hook.) Shear","2703655","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus vulgaris","Bromus vulgaris","(Hook.) Shear"
"HJC-1936","Barbarea orthoceras","Barbarea orthoceras Ledeb.","5374604","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Barbarea","Barbarea orthoceras","Barbarea orthoceras","Ledeb."
"HJC-1937","Sagina maxima crassicaulis","Sagina maxima subsp. crassicaulis (S.Watson) G.E.Crow","6363740","EXACT","97","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Sagina","Sagina maxima","Sagina maxima crassicaulis","(S.Watson) G.E.Crow"
"HJC-1938","Alopecurus pratensis","Alopecurus pratensis L.","5290081","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Alopecurus","Alopecurus pratensis","Alopecurus pratensis","L."
"HJC-1939","Saxifraga cespitosa","Saxifraga cespitosa L.","3032796","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga cespitosa","Saxifraga cespitosa","L."
"HJC-1940","Poa howellii","Poa howellii Vasey & Scribn.","2704309","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Poa","Poa howellii","Poa howellii","Vasey & Scribn."
"HJC-1941","Trisetum canescens","Trisetum canescens Buckley","2704375","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Trisetum","Trisetum canescens","Trisetum canescens","Buckley"
"HJC-1942","Callitriche heterophylla","Callitriche heterophylla Pursh","5372482","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Callitriche","Callitriche heterophylla","Callitriche heterophylla","Pursh"
"HJC-1943","Festuca subuliflora","Festuca subuliflora Scribn.","2704973","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Festuca","Festuca subuliflora","Festuca subuliflora","Scribn."
"HJC-1944","Arabis hirsuta","Arabis hirsuta (L.) Scop.","9202524","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabis","Arabis hirsuta","Arabis hirsuta","(L.) Scop."
"HJC-1945","Arrhenatherum elatius","Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl","2704505","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Arrhenatherum","Arrhenatherum elatius","Arrhenatherum elatius","(L.) P.Beauv. ex J.Presl & C.Presl"
"HJC-1946","Anthriscus caucalis","Anthriscus caucalis M.Bieb.","5371743","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Anthriscus","Anthriscus caucalis","Anthriscus caucalis","M.Bieb."
