"pageNum","numPage","recordNum","vName","vSciName","conf","sciName","date","locality","country","stateProvince","island","curationMetadata","idQualifier","county","habitat","locationRemarks","vElevM","vLat","vLon","vUTM","vCoordUncM","numPlantsCode","orgQuantity","orgQtype","occRemarks","phenology","recordedBy","idBy","dataEntryRemarks"
1,1,"1930","Sagina occidentalis","Sagina occidentalis","h","Sagina decumbens occidentalis",19810521,"Wise Island","Canada","British Columbia","Wise Island","red dot crossed out next to taxon name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,"1931","Lupinus arboreus","Lupinus arboreus","h","Lupinus arboreus",19810521,"Parker Island; salt marsh","Canada","British Columbia","Parker Island","red dot crossed out next to taxon name",NA,NA,"salt marsh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,"1932","Lotus corniculatus","Lotus corniculatus","h","Lotus corniculatus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","red dot crossed out next to taxon name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2,"1933","Trifolium subterraneum","Trifolium subterraneum","h","Trifolium subterraneum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","red dot crossed out next to taxon name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,3,"1934","Bromus pacificus","Bromus pacificus","h","Bromus pacificus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","red dot crossed out next to taxon name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,4,"1935","Bromus vulgaris","Bromus vulgaris","h","Bromus vulgaris",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","red dot crossed out next to taxon name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,5,"1936","Barbarea orthoceras","Barbarea orthoceras","h","Barbarea orthoceras",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","red dot crossed out next to taxon name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,6,"1937","Sagina crassicaulis","Sagina crassicaulis","h","Sagina maxima crassicaulis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","red dot crossed out next to taxon name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,"1938","Alopecurus pratensis","Alopecurus pratensis","h","Alopecurus pratensis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","red dot crossed out next to taxon name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,"1939","Saxifraga caespitosa","Saxifraga caespitosa","h","Saxifraga cespitosa",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","red dot crossed out next to taxon name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
