mounting number,specimen?,match description?,entry_notes,collection number,LabelQty ,Genus,Qualifier,Species,Species Author,Subspecies,Subspecies Author,Variety,Variety Author,Forma,Forma Author,Cultivar,Country,ProvinceState,Location,VLatDegree,VLatMinute,VLatSecond,VLongDegree,VLongMinute,VLongSecond,UTM,Grid Reference,VDatum,VCoordinateUncertainty,Habitat,Altitude,Date Collected,Primary Collector,Other Collectors,Collector Number,Determined By,Determination Date,Field Notes,Original Herbarium,Research Annotation,Citations,Genbank,BOLD Number,Georeference Notes,Extra Notes
,,,,,,First letter capitalized,"Enter uncertainty about the identification (aff., cf., ?, etc.). This applies to the lowest taxonomic level.","In lower case. Can enter ""sp."" if Indeterminate.",Will be automatically populated by herbarium staff based on currently accepted names. Can leave blank unless you have special notes.,"In lower case. Name only, do not enter ""ssp."" or ""subsp."" before name.",Will be automatically populated by herbarium staff based on currently accepted names. Can leave blank unless you have special notes.,"In lower case. Name only, do not enter ""var."" before name.",Will be automatically populated by herbarium staff based on currently accepted names. Can leave blank unless you have special notes.,"In lower case. Name only, do not enter ""f."" before name.",Will be automatically populated by herbarium staff based on currently accepted names. Can leave blank unless you have special notes.,In single quotations. First letter is uppercase.,Do not abbreviate names,Do not abbreviate names,"Try to go from larger to smaller, such as: 
County, Regional District, City, Town, Street, Corner, etc. 
Expand abbreviations (e.g. Rd. to Road, Mtn. to Mountain, N to north, etc.). Unless the first word is a proper noun, begin field with a lower case letter. Please separate with commas. Do not end with a period.","For all latitude and longitude coordinates, please enter the numbers only with no symbols or hemispheres, & standardize # of digits",,,,,,"Please follow the format 
""zone easting northing"" 
(i.e. 11U 500988 5683607)","Please be as specific 
as possible (TRSec, etc.)","Enter the datum here 
(i.e. NAD27, NAD83, WGS84)","Enter the coordinate uncertainty here (in m or ft), with a space between the number and the unit.","Be as specific as possible, and please include 
associated species in this section (use full names for genera, not abbreviations). First letter is always uppercase. Can use semi-colons to separate sentences if needed. Do not end with a period.","Please follow the value 
by a space and 'm' or 'ft' 
(as applicable & with no punctuation). The following may be included: ca. and approx.. Change ~ to approx. and approximately to approx. ",Please format exactly as shown with no commas (YYYY MMM DD). Always enter DD as two digits.,"Only one collector should be listed (Primary collector); Include both first and last name,  middle initial optional.","This is where the other collectors go. Separate names by a comma only. Include both first and last names, middle initial optional.",Collection #: A unique number given by the collector to identify the specimen.,"Determiner name(s). 
Please separate names 
by a comma only. Include both first and last names, middle initial optional.","Determination date. 
Year is sufficient.","Anything important to add about collected specimen (i.e. abundance, flower colour, height, plot number, etc.) Please put associated species in the habitat field. Unless the first word is a proper noun, begin field with a lower case letter. Sentences can be separated with a semi-colon; do not end with a period.",If the specimen was originally housed at a herbarium other than UBC Herbarium,"Research Annotation, if applicable",Include the reference for any publication in which this specimen is cited.,"Input corresponding research number.
 Separate by a comma only.","Input corresponding research number.
Separate by a comma only.","Leave any georeferencing notes in this column including end range coordinates, geolocation name changes and other extra information",
,Y,Y,relabel,,1,Gentiana,,sceptrum,,,,,,,,,Canada,British Columbia,"Vancouver Island, Bowser Bog",,,,,,,,,,,"Bog; Growing with Spiraea douglasii, Dulichium sp, Carex retrorsa, Rhynchospora alba, Pinus contorta",,1996 08 07,Harvey Janszen,,,,,2 plants; page 125 HJ7  ,,,,,,,"no date or location on sheet, assuming it is this based on ordering and note of a collection crossed out"
,Y,Y,,,1,Ranunculus,,flammula,,,,,,,,,Canada,British Columbia,"Texada Island, Second Lake",49,38,15,124,20,46,,,,,"Wetland bog; At drain end of lake; Growing with Eleocharis palustris, Drosera rotundifolia, Hypericium anagalloides, Veronica scutellata, Potamogeton robbinsii, Sisyrinchium californicum, Viola palustris ",,1996 08 08,Harvey Janszen,,,,,page 130 HJ7 ,,,,,,,on same sheet as Potamogeton robbinsii and Sisyrinchium californicum 
,Y,Y,,,1,Potamogeton,,robbinsii,,,,,,,,,Canada,British Columbia,"Texada Island, Second Lake",49,38,15,124,20,46,,,,,"Wetland bog; At drain end of lake; Growing with Eleocharis palustris, Drosera rotundifolia, Hypericium anagalloides, Veronica scutellata, Ranninculus flammula, Sisyrinchium californicum, Viola palustris ",,1996 08 08,Harvey Janszen,,,,,page 130 HJ7 ,,,,,,,on same sheet as Sisyrinchium californicum and Ranunculus flammula
,Y,Y,,,1,Sisyrinchium,,californicum,,,,,,,,,Canada,British Columbia,"Texada Island, Second Lake",49,38,15,124,20,46,,,,,"Wetland bog; At drain end of lake; Growing with Eleocharis palustris, Drosera rotundifolia, Hypericium anagalloides, Veronica scutellata, Ranninculus flammula, Potamogeton robbinsii, Viola palustris ",,1996 08 08,Harvey Janszen,,,,,page 130 HJ7 ,,,,,,,on same sheet as Potamogeton robbinsii and Ranunculus flammula
,Y,Y,,,1,Epilobium,,ciliatum ,,ssp.,[ciliatum],,,,,,Canada,British Columbia,"Qualicum Beach, Hamilton Marsh ",,,,,,,,,,,"Shoreline of marsh; Growing with Spiraea douglasii, Menyanthes trifoliata, Juncus effusus, Cicuta douglasii, Brassica, Dulichium arundinaceum, Agrostis scabra, Comarum palustre, Carex lasiocarpa, Carex cusickii, Spirodela polyrhiza, Juncus ensifolius, Hypericum anagalloides, Sphagnum, Erythranthe guttata, Scutellaria galericulata, Carex echinata, Utricularia vulgaris, Myosotis laxa, Veronica scutellata",,1996 08 08,Harvey Janszen,,,,,verbatim name Epilobium ciliatum ssp. c; page 127 HJ7 ,,,,,,,
,Y,Y,,,1,Anemonoides,,grayi,,,,,,,,,Canada,British Columbia,"Texada Island, Angel Lake ",,,,,,,,,,,On dry hillock in slough,,1996 08 09,Harvey Janszen,,,,,seeds all gone; page 137 HJ7 ,,,,,,,"verbatim taxon name Anemone lyallii, in same sheet as Cicuta douglasii "
,Y,Y,,,1,Cicuta,,douglasii,,,,,,,,,Canada,British Columbia,"Powell River, Duck Lake Creek",,,,,,,,,,,On islets in creek; Growing with Aster ,,1996 08 09,Harvey Janszen,,,,,associated field notes on page 137 HJ7 ,,,,,,,in same sheet as Anemonoides grayi 
,Y,Y,,,1,Potamogeton,,gramineus,,,,,,,,,Canada,British Columbia,"Port Coquitlam, Colony Farm, slough off Coquitlam Road",49,13,40,128,48,38,,,,,"Aquatic; Slough; Growing with Myriophyllum spicatum, Elodea nuttallii, Ludwigia palustris, Callitriche heterophylla",,1996 09 01,Harvey Janszen,,,,,15 percent cover in slough; page 141 HJ7 ,,,,,,,
,Y,Y,,,1,Ludwigia ,,palustris,,,,,,,,,Canada,British Columbia,"Port Coquitlam, Colony Farm, slough off Coquitlam Road",49,13,40,128,48,38,,,,,"Aquatic; Slough; Growing with Myriophyllum spicatum, Elodea nuttallii, Potamogeton gramineus, Callitriche heterophylla",,1996 09 01,Harvey Janszen,,,,,page 141 HJ7 ,,,,,,,"specific epithet in notes but not on page with specimen,  with specimen only says Ludwigia and place and time"
