"pageNum","numPage","vName","vSciName","conf","sciName","date","locality","country","stateProvince","island","idQualifier","county","occStatus","habitat","assCollTaxa","assColl","locationRemarks","vTaxonRank","vElevM","vLat","vLon","vUTM","vCoordUncM","numPlantsCode","orgQuantity","orgQtype","occRemarks","phenology","recordedBy","idBy","dataEntryRemarks"
2,8,"Potamogeton natans","Potamogeton natans","h","Potamogeton natans",19960925,"Metchosin; Matheson Lake; north side of lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","on log, shoreline of lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA
2,9,"Drosera rotundifolia","Drosera rotundifolia","h","Drosera rotundifolia",19960925,"Metchosin; Matheson Lake; north side of lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","on log, shoreline of lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA
2,10,"Nuphar polysepala","Nuphar polysepala","h","Nuphar polysepala",19960925,"Metchosin; Blinkhorn Lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","aquatic in lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,"approx 30% lake cover with Nymphae odorata",NA,"Harvey Janszen",NA,NA
2,11,"Nymphae sp. odorata","Nymphae odorata","h","Nymphae odorata",19960925,"Metchosin; Blinkhorn Lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","aquatic in lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,"approx 30% lake cover with Nuphar polysepala",NA,"Harvey Janszen",NA,NA
2,12,"Sparganium emersum","Sparganium emersum","h","Sparganium emersum",19960925,"Metchosin; Blinkhorn Lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","aquatic in lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA
2,13,"Elodea densa","Elodea densa","h","Elodea densa",19960925,"Metchosin; Blinkhorn Lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","aquatic in lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA
2,15,"Myriopphyllum spicatum","Myriopphyllum spicatum","h","Myriopphyllum spicatum",19960925,"Metchosin; Blinkhorn Lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","aquatic in lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA
3,1,"Scirpus acutus","Scirpus acutus","h","Schoenoplectus acutus",19960925,"Metchosin; Blinkhorn Lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","edges of lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA
3,2,"Spiraea","Spiraea","h","Spiraea",19960925,"Metchosin; Blinkhorn Lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","edges of lake",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA
3,4,"Alder","Alder","h","Alnus",19960925,"Metchosin; Blinkhorn Lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","edges of lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA
