"archiveID","pageNum","numPage","vName","vSciName","conf","sciName","date","locality","country","stateProvince","island","idQualifier","county","occStatus","habitat","assColl","assCollTaxa","locationRemarks","vTaxonRank","vElevM","vLat","vLon","vUTM","vCoordUncM","numPlantsCode","orgQuantity","orgQtype","occRemarks","phenology","recordedBy","idBy","dataEntryRemarks","index"
27,1,1,"Groc nul","Iris pseudacorus","m","Iris pseudacorus",20040212,"Mount Sutil, Galiano Island","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present",NA,NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,"abunant","qualitative",NA,NA,"Harvey Janszen",NA,NA,1
27,1,2,"Clar amo","Clarkia amoena","h","Clarkia amoena",20040212,"Mount Sutil, Galiano Island","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","in shade",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,2
27,1,3,"Tori jap","Torilis japonica","h","Torilis japonica",20040212,"Mount Sutil, Galiano Island","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present",NA,NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,3
27,1,4,"Osmo chi","Osmorhiza chilensis","h","Osmorhiza berteroi",20040212,"Mount Sutil, Galiano Island","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","in shade",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,4
27,1,5,"Stel med","Stellaria media","h","Stellaria media",20040212,"Mount Sutil, Galiano Island","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","in shade",NA,NA,"M","species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,5
27,1,6,"Nemo par","Nemophila parviflora","h","Nemophila parviflora",20040212,"Mount Sutil, Galiano Island","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present",NA,NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,6
27,1,7,"Lact mur","Lactuca muralis","h","Lactuca muralis",20040212,"Mount Sutil, Galiano Island","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","in shade",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,7
27,1,8,"Clay par","Claytonia perfoliata","h","Claytonia perfoliata",20040212,"Mount Sutil, Galiano Island","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present",NA,NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,8
27,1,9,"Meli sub","Melica subulata","l","Melica subulata",20040212,"Mount Sutil, Galiano Island","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","in shade",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,9
27,1,10,"Mont fon","Montia fontana","m","Montia fontana",20040212,"Mount Sutil, Galiano Island","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","seep",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,10
27,1,11,"Saxi int","Saxifraga integrifolia","m","Micranthes integrifolia",20040212,"Mount Sutil, Galiano Island","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","seep",NA,NA,"poly 15.2","species",NA,NA,NA,NA,NA,NA,"abundant","qualitative",NA,NA,"Harvey Janszen",NA,NA,11
27,1,12,"Saxi ruf","Saxifraga rufidula","m","Micranthes rufidula",20040212,"Mount Sutil, Galiano Island","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","seep",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,"no usual travel off",NA,"Harvey Janszen",NA,NA,12
27,2,1,"Gera mol","Geranium molle","h","Geranium molle",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","seep",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,13
27,2,2,"Saxi int","Saxifraga integrifolia","m","Micranthes integrifolia",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","seep",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,14
27,2,3,"Saxi ruf","Saxifraga rufidula","m","Micranthes rufidula",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","seep",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,15
27,2,4,"Mimu gut","Mimulus guttata","h","Erythranthe guttata",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","seep",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,16
27,2,5,"Litho par","Lithophragma parviflorum","h","Lithophragma parviflorum",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","seep",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,17
27,2,6,"Tori jap","Torilis japonica","h","Torilis japonica",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","seep",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,18
27,2,7,"Clay par","Claytonia perfoliata","h","Claytonia perfoliata",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","seep",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,19
27,2,8,"Mont fon","Montia fontana","m","Montia fontana",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","seep",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,20
27,2,9,"Gera mol","Geranium molle","h","Geranium molle",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","seep",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,21
27,2,10,"Nemo par","Nemophila parviflora","h","Nemophila parviflora",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","seep",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,22
27,2,11,"Cama lei","Camassia leichtlinii","l","Camassia leichtlinii",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","ledges",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,"Unsure if Leichtlin's Camas or Suksdorf's Large Camas",23
27,2,12,"Alli sps","Allium","l","Allium",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","ledges",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,24
27,2,13,"Symp alb","Symphoricarpos albus","l","Symphoricarpos albus",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","base",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,25
27,2,14,"Sat doug","Satureja douglasii","h","Clinopodium douglasii",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present","shade",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,26
27,2,16,"Raco het","Racomitrium heterostichum","m","Racomitrium heterostichum",20040312,"Galiano","Canada","British Columbia","Galiano Island",NA,"Southern Gulf Islands","present",NA,NA,NA,"steep. poly 20, [plot confar cliff?]? 260 degrees","species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,"unable to decipher location remark",27
