"archiveID","pageNum","numPage","vName","vSciName","conf","sciName","date","locality","country","stateProvince","island","idQualifier","county","occStatus","habitat","assCollTaxa","assColl","locationRemarks","vTaxonRank","vElevM","vLat","vLon","vUTM","vCoordUncM","numPlantsCode","orgQuantity","orgQtype","occRemarks","phenology","recordedBy","idBy","dataEntryRemarks","index","datasetName","basisOfRecord","islandGroup","recordNumber"
8,3,6,"Potamogeton natans","Potamogeton natans","h","Potamogeton natans",19960925,"Metchosin; Blinkhorn Lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","edges of lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,1,"Harvey Janszen Observations","HumanObservation","","HJ8-3-6"
8,3,7,"Carex obnupta","Carex obnupta","h","Carex obnupta",19960925,"Metchosin; Blinkhorn Lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","edges of lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,2,"Harvey Janszen Observations","HumanObservation","","HJ8-3-7"
8,3,8,"Agrostis scabra","Agrostis scabra","h","Agrostis scabra",19960925,"Metchosin; Blinkhorn Lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","edges of lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,3,"Harvey Janszen Observations","HumanObservation","","HJ8-3-8"
8,3,9,"Lycopus uniflorus","Lycopus uniflorus","h","Lycopus uniflorus",19960925,"Metchosin; Blinkhorn Lake","Canada","British Columbia","Vancouver Island",NA,"Metchosin","present","edges of lake",NA,NA,NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,4,"Harvey Janszen Observations","HumanObservation","","HJ8-3-9"
8,3,10,"Sphagnum","Sphagnum","h","Sphagnum",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present","floating in lake",NA,NA,"mostly open water in lake with Sphagnum mats","genus",NA,NA,NA,NA,NA,NA,NA,NA,"2 Sphagnum mats in lake",NA,"Harvey Janszen",NA,NA,5,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-3-10"
8,3,12,"Carex interior","Carex interior","h","Carex interior",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,1,"1-5 plants","individuals","abundance code: '1'",NA,"Harvey Janszen",NA,NA,6,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-3-12"
8,4,2,"Ledum groenlandicum","Ledum groenlandicum","h","Rhododendron groenlandicum",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen",NA,NA,7,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-2"
8,4,3,"Agrostis scabra","Agrostis scabra","h","Agrostis scabra",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,1,"1-5 plants","individuals","abundance code: '1'",NA,"Harvey Janszen",NA,NA,8,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-3"
8,4,4,"Drosera rotundifolia","Drosera rotundifolia","h","Drosera rotundifolia",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,0,"1","individuals","abundance code: '0'",NA,"Harvey Janszen",NA,NA,9,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-4"
8,4,5,"Spiraea douglasii","Spiraea douglasii","h","Spiraea douglasii",19961030,"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Saltspring Island",NA,"Southern Gulf Islands","present",NA,"Carex acuta; Rhynchospora alba","HJC-2634; HJC-2635",NA,"species",NA,NA,NA,NA,NA,0,"1","individuals","abundance code: '0'",NA,"Harvey Janszen",NA,NA,10,"Harvey Janszen Observations","HumanObservation","Southern Gulf Islands","HJ8-4-5"
