locality string,country,state,county,latitude,longitude,"correction 
                 status",precision,error polygon,multiple results,uncertainty,uncertainty (circular polygon)
North Pender Island; log dump beach with navy channel,Canada,British Columbia,Southern Gulf Islands,48.783333,-123.283333,no,Low(49),,"48.783333,-123.283333,NORTH PENDER ISLAND|Unavailable|5421|Low(49),48.783333,-123.283333,PENDER ISLAND|Unavailable|5421|Low(43),48.823611,-123.296667,NAVY CHANNEL|Unavailable|301|Low(42),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",5421,
Prevost Island; at dock,Canada,British Columbia,Southern Gulf Islands,48.832203,-123.3799,yes,Low(44),,"48.833333,-123.383333,PREVOST ISLAND|Unavailable|5421|Low(44)",2955,
Prevost Island,Canada,British Columbia,Southern Gulf Islands,48.832203,-123.38093,yes,High(89),,"48.833333,-123.383333,PREVOST ISLAND|Unavailable|5421|High(89)",3303,
small island on east end of Prevost Island,Canada,British Columbia,Southern Gulf Islands,48.827231,-123.358614,yes,Low(44),,"48.833333,-123.383333,PREVOST ISLAND|Unavailable|5421|Low(44)",2416,
on islands to south of Prevost Island,Canada,British Columbia,Southern Gulf Islands,48.810213,-123.373387,yes,Low(44),,"48.833333,-123.383333,PREVOST ISLAND|Unavailable|5421|Low(44)",2381,
North East point of Prevost Island,Canada,British Columbia,Southern Gulf Islands,48.830169,-123.357584,yes,Medium(60),,"46.451624,-61.963471,(g3)East Point|Unavailable|9878|Medium(60),48.833333,-123.383333,PREVOST ISLAND|Unavailable|5421|Low(44),48.783333,-123.033333,EAST POINT|Unavailable|301|Low(40),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",3210,
Saturna Island; Monarch head,Canada,British Columbia,Southern Gulf Islands,48.769168,-123.091551,yes,Medium(64),,"48.798827,-123.130774,(g3)Saturna Island|Unavailable|6869|Medium(64),48.783333,-123.15,SATURNA ISLAND|Unavailable|5421|Low(44),48.764444,-123.093611,MONARCH HEAD|Unavailable|602|Low(42),48.8,-123.2,SATURNA|Unavailable|301|Low(37)",658,
Saturna Island; Cactus Point,Canada,British Columbia,Southern Gulf Islands,48.764836,-123.093867,yes,Medium(64),,"48.798827,-123.130774,(g3)Saturna Island|Unavailable|6869|Medium(64),48.783333,-123.15,SATURNA ISLAND|Unavailable|5421|Low(44),48.8,-123.2,SATURNA|Unavailable|301|Low(37)",648,
North Pender Island; Port Washington; George Hill area,Canada,British Columbia,Southern Gulf Islands,48.818301,-123.314201,yes,Low(49),,"48.783333,-123.283333,NORTH PENDER ISLAND|Unavailable|5421|Low(49),48.813056,-123.32,PORT WASHINGTON|Unavailable|301|Low(45),48.783333,-123.283333,PENDER ISLAND|Unavailable|5421|Low(43),54.570556,-130.366944,GEORGE HILL|Unavailable|301|Low(41),48.816945,-123.311111,GEORGE HILL|Unavailable|301|Low(41),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",728,
North Pender Island; Port Washington,Canada,British Columbia,Southern Gulf Islands,48.813056,-123.32,yes,Low(49),,"48.783333,-123.283333,NORTH PENDER ISLAND|Unavailable|5421|Low(49),48.813056,-123.32,PORT WASHINGTON|Unavailable|301|Low(45),48.783333,-123.283333,PENDER ISLAND|Unavailable|5421|Low(43),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",853,
North Pender Island; Magic Lake Horse,Canada,British Columbia,Southern Gulf Islands,48.76229,-123.284535,yes,Low(49),,"48.783333,-123.283333,NORTH PENDER ISLAND|Unavailable|5421|Low(49),48.783333,-123.283333,PENDER ISLAND|Unavailable|5421|Low(43),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",824,
North Pender Island; Ross Smith fields,Canada,British Columbia,Southern Gulf Islands,48.783333,-123.283333,no,Low(49),,"48.783333,-123.283333,NORTH PENDER ISLAND|Unavailable|5421|Low(49),48.783333,-123.283333,PENDER ISLAND|Unavailable|5421|Low(43),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",5421,
North Pender Island; fen below Magic Lake,Canada,British Columbia,Southern Gulf Islands,48.758471,-123.278441,yes,Low(49),,"48.783333,-123.283333,NORTH PENDER ISLAND|Unavailable|5421|Low(49),48.783333,-123.283333,PENDER ISLAND|Unavailable|5421|Low(43),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",1184,
Galiano Island; near G. lodge,Canada,British Columbia,Southern Gulf Islands,48.916216,-123.41598,yes,Low(44),,"48.916667,-123.416667,GALIANO ISLAND|Unavailable|5421|Low(44),50.883333,-127.75,GALIANO|Unavailable|5421|Low(37)",17339,
Galiano Island; Sturdies Bay,Canada,British Columbia,Southern Gulf Islands,48.883333,-123.316667,yes,Low(44),,"48.916667,-123.416667,GALIANO ISLAND|Unavailable|5421|Low(44),48.883333,-123.316667,STURDIES BAY|Unavailable|3036|Low(42),50.883333,-127.75,GALIANO|Unavailable|5421|Low(37)",2020,
Galiano Island; [lain penn.]?,Canada,British Columbia,Southern Gulf Islands,48.916667,-123.416667,yes,Low(44),,"48.916667,-123.416667,GALIANO ISLAND|Unavailable|5421|Low(44),50.883333,-127.75,GALIANO|Unavailable|5421|Low(37)",17151,
Galiano Island,Canada,British Columbia,Southern Gulf Islands,48.930202,-123.449626,yes,High(89),,"48.916667,-123.416667,GALIANO ISLAND|Unavailable|5421|High(89),50.883333,-127.75,GALIANO|Unavailable|5421|Low(37)",13867,
