ScientificName	Country	StateProvince	FPNW2ndEdition	FPNW1stEdition	AcceptedFamily	AcceptedScientificName	SpeciesAuthors	InfraspeciesAuthors	MisappliedTo/SeeAlso	Comments
Potamogeton natans	Canada	British Columbia	Potamogeton natans	Potamogeton natans	Potamogetonaceae	Potamogeton natans	L.			
Spiraea douglasii	Canada	British Columbia	Spiraea douglasii	Spiraea douglasii	Rosaceae	Spiraea douglasii	Hook.			
Bromus hordeaceus	Canada	British Columbia	Bromus hordeaceus	Bromus mollis	Poaceae	Bromus hordeaceus	L.			
Achillea millefolium	Canada	British Columbia	Achillea millefolium	Achillea millefolium	Asteraceae	Achillea millefolium	L.			
Rosa nutkana	Canada	British Columbia	Rosa nutkana	Rosa nutkana	Rosaceae	Rosa nutkana	C. Presl			
Rosa gymnocarpa	Canada	British Columbia	Rosa gymnocarpa	Rosa gymnocarpa	Rosaceae	Rosa gymnocarpa	Nutt.			
Pinus contorta	Canada	British Columbia	Pinus contorta	Pinus contorta	Pinaceae	Pinus contorta	Douglas ex Loudon			
Ranunculus occidentalis	Canada	British Columbia	Ranunculus occidentalis	Ranunculus occidentalis	Ranunculaceae	Ranunculus occidentalis	Nutt.			
Sanicula crassicaulis	Canada	British Columbia	Sanicula crassicaulis	Sanicula crassicaulis	Apiaceae	Sanicula crassicaulis	Poepp. ex DC.			
Ambrosia chamissonis	Canada	British Columbia	Ambrosia chamissonis	Ambrosia chamissonis	Asteraceae	Ambrosia chamissonis	(Less.) Greene			
Plantago maritima	Canada	British Columbia	Plantago maritima	Plantago maritima	Plantaginaceae	Plantago maritima	L.			
Leymus mollis	Canada	British Columbia	Leymus mollis	Elymus mollis	Poaceae	Leymus mollis	(Trin.) Pilg.			
Hypericum anagalloides	Canada	British Columbia	Hypericum anagalloides	Hypericum anagalloides	Hypericaceae	Hypericum anagalloides	Cham. & Schltdl.			
Lathyrus japonicus	Canada	British Columbia	Lathyrus japonicus	Lathyrus japonicus	Fabaceae	Lathyrus japonicus	Willd.			
Trifolium dubium	Canada	British Columbia	Trifolium dubium	Trifolium dubium	Fabaceae	Trifolium dubium	Sibth.			
Atriplex patula	Canada	British Columbia	Atriplex patula	Atriplex patula	Amaranthaceae	Atriplex patula	L.			
Anthoxanthum odoratum	Canada	British Columbia	Anthoxanthum odoratum	Anthoxanthum odoratum	Poaceae	Anthoxanthum odoratum	L.			
Danthonia	Canada	British Columbia	Danthonia	Danthonia	Poaceae	Danthonia				
Juncus effusus	Canada	British Columbia	Juncus effusus	Juncus effusus	Juncaceae	Juncus effusus	L.			
Carex echinata	Canada	British Columbia	Carex echinata	Carex muricata	Cyperaceae	Carex echinata	Murray		Carex echinata	Carex echinata has been misapplied to Carex echinata in Flora PNW 1st Edition.
Carex aurea	Canada	British Columbia	Carex aurea	Carex aurea	Cyperaceae	Carex aurea	Nutt.			
Poa trivialis	Canada	British Columbia	Poa trivialis	Poa trivialis	Poaceae	Poa trivialis	L.			
Geranium robertianum	Canada	British Columbia	Geranium robertianum	Geranium robertianum	Geraniaceae	Geranium robertianum	L.			
Viola palustris	Canada	British Columbia	Viola palustris	Viola palustris	Violaceae	Viola palustris	L.			
Ranunculus uncinatus	Canada	British Columbia	Ranunculus uncinatus	Ranunculus uncinatus	Ranunculaceae	Ranunculus uncinatus	D. Don			
Melica subulata	Canada	British Columbia	Melica subulata	Melica subulata	Poaceae	Melica subulata	(Griseb.) Scribn.			
Galium aparine	Canada	British Columbia	Galium aparine	Galium aparine	Rubiaceae	Galium aparine	L.			
Carex deweyana	Canada	British Columbia	Carex deweyana	Carex deweyana	Cyperaceae	Carex deweyana	Schwein.			
Opuntia fragilis	Canada	British Columbia	Opuntia fragilis	Opuntia fragilis	Cactaceae	Opuntia fragilis	(Nutt.) Haw.			
Dichanthelium scribnerianum	Canada	British Columbia	Dichanthelium oligosanthes ssp. scribnerianum	Panicum scribnerianum	Poaceae	Dichanthelium oligosanthes ssp. scribnerianum	(Schult.) Gould	(Nash) Freckmann & Lelong		
Rubus ursinus	Canada	British Columbia	Rubus ursinus	Rubus ursinus	Rosaceae	Rubus ursinus	Cham. & Schltdl.			
Berberis aquifolium	Canada	British Columbia	Berberis aquifolium	Berberis aquifolium	Berberidaceae	Mahonia aquifolium	(Pursh) Nutt.			
Festuca rubra	Canada	British Columbia	Festuca rubra	Festuca rubra	Poaceae	Festuca rubra	L.			
Dulichium arundinaceum	Canada	British Columbia	Dulichium arundinaceum	Dulichium arundinaceum	Cyperaceae	Dulichium arundinaceum	(L.) Britton			
Phleum pratense	Canada	British Columbia	Phleum pratense	Phleum pratense	Poaceae	Phleum pratense	L.			
Poa compressa	Canada	British Columbia	Poa compressa	Poa compressa	Poaceae	Poa compressa	L.			
Carex rostrata	Canada	British Columbia	Carex rostrata	Carex rostrata	Cyperaceae	Carex rostrata	Stokes		Carex utriculata	Carex rostrata has been misapplied to Carex utriculata in Flora PNW 1st Edition.
Carex canescens	Canada	British Columbia	Carex canescens	Carex canescens	Cyperaceae	Carex canescens	L.			
Lysichiton	Canada	British Columbia	Lysichiton	Lysichitum	Araceae	Lysichiton				
Typha	Canada	British Columbia	Typha	Typha	Typhaceae	Typha				
Conioselinum gmelinii	Canada	British Columbia	Conioselinum pacificum	Conioselinum pacificum	Apiaceae	Conioselinum pacificum	(S. Watson) J.M. Coult. & Rose			
Allium cernuum	Canada	British Columbia	Allium cernuum	Allium cernuum	Amaryllidaceae	Allium cernuum	Roth			
Sedum acre	Canada	British Columbia	Sedum acre	Sedum acre	Crassulaceae	Sedum acre	L.			
