"ScientificName"	"Country"	"StateProvince"
"Potamogeton natans"	"Canada"	"British Columbia"
"Spiraea douglasii"	"Canada"	"British Columbia"
"Bromus hordeaceus"	"Canada"	"British Columbia"
"Achillea millefolium"	"Canada"	"British Columbia"
"Rosa nutkana"	"Canada"	"British Columbia"
"Rosa gymnocarpa"	"Canada"	"British Columbia"
"Pinus contorta"	"Canada"	"British Columbia"
"Ranunculus occidentalis"	"Canada"	"British Columbia"
"Sanicula crassicaulis"	"Canada"	"British Columbia"
"Ambrosia chamissonis"	"Canada"	"British Columbia"
"Plantago maritima"	"Canada"	"British Columbia"
"Leymus mollis"	"Canada"	"British Columbia"
"Hypericum anagalloides"	"Canada"	"British Columbia"
"Lathyrus japonicus"	"Canada"	"British Columbia"
"Trifolium dubium"	"Canada"	"British Columbia"
"Atriplex patula"	"Canada"	"British Columbia"
"Anthoxanthum odoratum"	"Canada"	"British Columbia"
"Danthonia"	"Canada"	"British Columbia"
"Juncus effusus"	"Canada"	"British Columbia"
"Carex echinata"	"Canada"	"British Columbia"
"Carex aurea"	"Canada"	"British Columbia"
"Poa trivialis"	"Canada"	"British Columbia"
"Geranium robertianum"	"Canada"	"British Columbia"
"Viola palustris"	"Canada"	"British Columbia"
"Ranunculus uncinatus"	"Canada"	"British Columbia"
"Melica subulata"	"Canada"	"British Columbia"
"Galium aparine"	"Canada"	"British Columbia"
"Carex deweyana"	"Canada"	"British Columbia"
"Opuntia fragilis"	"Canada"	"British Columbia"
"Dichanthelium scribnerianum"	"Canada"	"British Columbia"
"Rubus ursinus"	"Canada"	"British Columbia"
"Berberis aquifolium"	"Canada"	"British Columbia"
"Festuca rubra"	"Canada"	"British Columbia"
"Dulichium arundinaceum"	"Canada"	"British Columbia"
"Phleum pratense"	"Canada"	"British Columbia"
"Poa compressa"	"Canada"	"British Columbia"
"Carex rostrata"	"Canada"	"British Columbia"
"Carex canescens"	"Canada"	"British Columbia"
"Lysichiton"	"Canada"	"British Columbia"
"Typha"	"Canada"	"British Columbia"
"Conioselinum gmelinii"	"Canada"	"British Columbia"
"Allium cernuum"	"Canada"	"British Columbia"
"Sedum acre"	"Canada"	"British Columbia"
"Cotoneaster horizontalis"	"Canada"	"British Columbia"
"Carex lenticularis"	"Canada"	"British Columbia"
"Packera macounii"	"Canada"	"British Columbia"
"Campanula medium"	"Canada"	"British Columbia"
"Lycopus americanus"	"Canada"	"British Columbia"
"Holcus lanatus"	"Canada"	"British Columbia"
"Pseudotsuga menziesii"	"Canada"	"British Columbia"
"Hypochaeris radicata"	"Canada"	"British Columbia"
"Bromus tectorum"	"Canada"	"British Columbia"
"Prunella vulgaris"	"Canada"	"British Columbia"
"Carex exsiccata"	"Canada"	"British Columbia"
"Tsuga heterophylla"	"Canada"	"British Columbia"
"Arbutus menziesii"	"Canada"	"British Columbia"
"Lonicera hispidula"	"Canada"	"British Columbia"
"Cichorium intybus"	"Canada"	"British Columbia"
"Tragopogon dubius"	"Canada"	"British Columbia"
"Melilotus albus"	"Canada"	"British Columbia"
"Picea sitchensis"	"Canada"	"British Columbia"
"Oplopanax horridus"	"Canada"	"British Columbia"
"Comarum palustre"	"Canada"	"British Columbia"
"Lysichiton americanus"	"Canada"	"British Columbia"
"Carex obnupta"	"Canada"	"British Columbia"
"Rubus spectabilis"	"Canada"	"British Columbia"
"Polystichum"	"Canada"	"British Columbia"
"Athyrium filix-femina"	"Canada"	"British Columbia"
"Dryopteris expansa"	"Canada"	"British Columbia"
"Lycopus uniflorus"	"Canada"	"British Columbia"
"Juncus ensifolius"	"Canada"	"British Columbia"
"Kalmia polifolia"	"Canada"	"British Columbia"
"Ranunculus flammula"	"Canada"	"British Columbia"
"Carex lasiocarpa"	"Canada"	"British Columbia"
"Torreyochloa pallida pauciflora"	"Canada"	"British Columbia"
"Salix scouleriana"	"Canada"	"British Columbia"
"Schoenoplectus acutus"	"Canada"	"British Columbia"
"Typha latifolia"	"Canada"	"British Columbia"
"Potamogeton amplifolius"	"Canada"	"British Columbia"
"Agrostis scabra"	"Canada"	"British Columbia"
"Elodea canadensis"	"Canada"	"British Columbia"
"Potamogeton robbinsii"	"Canada"	"British Columbia"
"Nuphar polysepala"	"Canada"	"British Columbia"
"Cicuta douglasii"	"Canada"	"British Columbia"
"Sium suave"	"Canada"	"British Columbia"
"Lysimachia thyrsiflora"	"Canada"	"British Columbia"
"Cornus sericea"	"Canada"	"British Columbia"
"Lemna minor"	"Canada"	"British Columbia"
"Oenanthe sarmentosa"	"Canada"	"British Columbia"
"Phalaris arundinacea"	"Canada"	"British Columbia"
"Sphagnum"	"Canada"	"British Columbia"
"Sparganium emersum"	"Canada"	"British Columbia"
"Scirpus acutus"	"Canada"	"British Columbia"
"Carex interior"	"Canada"	"British Columbia"
