occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"HJO1","Artemisia suksdorfii","Artemisia suksdorfii Piper","3121338","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","Artemisia suksdorfii","Artemisia suksdorfii","Piper"
"HJO10","Vulpia myuros megalura","Vulpia myuros f. megalura (Nutt.) Stace & R.Cotton","5678955","EXACT","97","SYNONYM","FORM","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Festuca","Festuca myuros","Vulpia myuros megalura","(Nutt.) Stace & R.Cotton"
"HJO100","Alopecurus","Alopecurus L.","2705236","EXACT","94","ACCEPTED","GENUS","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Alopecurus",,"Alopecurus","L."
"HJO101","Sagina procumbens","Sagina procumbens L.","3085402","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Sagina","Sagina procumbens","Sagina procumbens","L."
"HJO102","Triglochin maritima","Triglochin maritima L.","2865368","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Juncaginaceae","Triglochin","Triglochin maritima","Triglochin maritima","L."
"HJO103","Sagina maxima crassicaulis","Sagina maxima subsp. crassicaulis (S.Watson) G.E.Crow","6363740","EXACT","97","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Sagina","Sagina maxima","Sagina maxima crassicaulis","(S.Watson) G.E.Crow"
"HJO104","Centaurium erythraea","Centaurium erythraea Rafn","5414457","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","Centaurium","Centaurium erythraea","Centaurium erythraea","Rafn"
"HJO105","Quercus garryana","Quercus garryana Douglas ex Hook.","2879260","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus garryana","Quercus garryana","Douglas ex Hook."
"HJO106","Holodiscus discolor","Holodiscus discolor (Pursh) Maxim.","2987780","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Holodiscus","Holodiscus discolor","Holodiscus discolor","(Pursh) Maxim."
"HJO107","Pyrola aphylla","Pyrola aphylla Sm.","2888261","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Pyrola","Pyrola aphylla","Pyrola aphylla","Sm."
