"pageNum","numPage","vName","vSciName","conf","sciName","date","locality","country","stateProvince","island","idQualifier","county","occStatus","habitat","assCollTaxa","assColl","locationRemarks","vTaxonRank","vElevM","vLat","vLon","vUTM","vCoordUncM","numPlantsCode","orgQuantity","orgQtype","occRemarks","phenology","recordedBy","idBy","dataEntryRemarks","archiveID"
10,NA,"Ribes divaricatum (Common Gooseberry)","Ribes divaricatum","m","Ribes divaricatum",1973039,"Saturna Island","Canada","British Columbia","Saturna Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
10,NA,"Polystichum munitum (Sword fern)","Polystichum munitum","h","Polystichum munitum",19730311,"Saturna Island; Taylor Point","Canada","British Columbia","Saturna Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
10,NA,"Salix scouleriana (scouler's pussy willow)","Salix scouleriana","h","Salix scouleriana",19730315,"Saturna Island","Canada","British Columbia","Saturna Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
11,NA,"Juniperus scorpulorum","Juniperus scopulorum","h","Juniperus scopulorum",19730316,"Saturna Island","Canada","British Columbia","Saturna Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
11,NA,"Collinsia parviflora","Collinsia parviflora","l","Collinsia parviflora",19730316,"Saturna Island","Canada","British Columbia","Saturna Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"grandiflora looks crossed out?",5
11,NA,NA,NA,NA,NA,19730319,"Saturna Island; Breezy Bay; near bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collected up trail to Breezy Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1,1,"Artemisia suksdorfii","Artemisia suksdorfii","h","Artemisia suksdorfii",19810528,"North Pender Island; Navy Channel; Log Dump Beach","Canada","British Columbia","North Pender Island",NA,"Southern Gulf Islands",NA,"beach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,2,"Poa annua","Poa annua","h","Poa annua",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,3,"Lolium perenne","Lolium perenne","h","Lolium perenne",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,4,"Plantago lanceolata","Plantago lanceolata","h","Plantago lanceolata",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,5,"Bromus mollis","Bromus mollis","h","Bromus hordeaceus",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1,6,"Bromus tectorum","Bromus tectorum","h","Bromus tectorum",19810528,"Prevost Island; at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
