pageNum,numPage,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks
1,1,Elodea densa,Elodea densa,h,Egeria densa,19960925,Metchosin; Matheson Lake; south shore of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
1,2,Potamogeton richardsonii,Potamogeton richardsonii,h,Potamogeton richardsonii,19960925,Metchosin; Matheson Lake; south shore of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
1,3,P praelongus,Potamogeton praelongus,h,Potamogeton praelongus,19960925,Metchosin; Matheson Lake; south shore of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
1,4,Carex excissata,Carex excissata,h,Carex exsiccata,19960925,Metchosin; Matheson Lake; south shore of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
1,5,C. obnupta,Carex obnupta,h,Carex obnupta,19960925,Metchosin; Matheson Lake; south shore of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
1,6,Agrostis gigatea,Agrostis gigantea,h,Agrostis gigantea,19960925,Metchosin; Matheson Lake; south shore of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
1,7,Calieagon gig,NA,NA,NA,19960925,Metchosin; Matheson Lake; south shore of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,Cound not find taxon name
1,8,Nuphar polysepala,Nuphar polysepala,h,Nuphar polysepala,19960925,Metchosin; Matheson Lake; south shore of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
1,9,Spiraea douglassii,Spiraea douglassii,h,Spiraea douglassii,19960925,Metchosin; Matheson Lake; penninsula middle of south site of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
1,10,Salix lasiadra,Salix lasiandra,h,Salix lasiandra,19960925,Metchosin; Matheson Lake; penninsula middle of south site of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
1,11,Sparganium emersum,Sparganium emersum,m,Sparganium emersum,19960925,Metchosin; Matheson Lake; penninsula middle of south site of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
1,12,Lemna minor,Lemna minor,h,Lemna minor,19960925,Metchosin; Matheson Lake; penninsula middle of south site of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
1,13,Typha latifolia,Typha latifolia,h,Typha latifolia,19960925,Metchosin; Matheson Lake; penninsula middle of south site of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
1,14,Myriopphyllum spicatum,Myriopphyllum spicatum,h,Myriopphyllum spicatum,19960925,Metchosin; Matheson Lake; penninsula middle of south site of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA
1,15,Rubus spectabilis,Rubus spectabilis,h,Rubus spectabilis,19960925,Metchosin; Matheson Lake; west end of lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,NA,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,add,NA,Harvey Janszen,NA,NA
