[pageNum],[numPage],[vName],[vSciName],[conf],[sciName],[date],[locality],[country],[stateProvince],[island],idQualifier,county,occStatus,habitat,assColl,assCollTaxa,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks
1,1,Groc nul ,Iris pseudacorus,m,Iris pseudacorus,20040212,Galiano Island; Mount Sutil,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,abunant,qualitative,,,Harvey Janszen,,
1,2,Clar amo,Clarkia amoena,h,Clarkia amoena,20040212,Galiano Island; Mount Sutil,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,in shade,,,,species,,,,,,,,,,,Harvey Janszen,,
1,3,Tori jap,Torilis japonica,h,Torilis japonica,20040212,Galiano Island; Mount Sutil,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,,,,,Harvey Janszen,,
1,4,Osmo chi,Osmorhiza chilensis,h,Osmorhiza berteroi,20040212,Galiano Island; Mount Sutil,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,in shade,,,,species,,,,,,,,,,,Harvey Janszen,,
1,5,Stel med,Stellaria media,h,Stellaria media,20040212,Galiano Island; Mount Sutil,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,in shade,,,M,species,,,,,,,,,,,Harvey Janszen,,
1,6,Nemo par,Nemophila parviflora,h,Nemophila parviflora,20040212,Galiano Island; Mount Sutil,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,,,,,Harvey Janszen,,
1,7,Lact mur,Lactuca muralis,h,Lactuca muralis,20040212,Galiano Island; Mount Sutil,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,in shade,,,,species,,,,,,,,,,,Harvey Janszen,,
1,8,Clay par ,Claytonia perfoliata,h,Claytonia perfoliata,20040212,Galiano Island; Mount Sutil,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,,,,,species,,,,,,,,,,,Harvey Janszen,,
1,9,Meli sub,Melica subulata,l ,Melica subulata,20040212,Galiano Island; Mount Sutil,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,in shade,,,,species,,,,,,,,,,,Harvey Janszen,,
1,10,Mont fon,Montia fontana,m,Montia fontana,20040212,Galiano Island; Mount Sutil,Canada,British Columbia,Galiano Island,,Southern Gulf Islands,present,seep,,,,species,,,,,,,,,,,Harvey Janszen,,
