[pageNum],[numPage],[vName],[vSciName],[conf],[sciName],[date],[locality],[country],[stateProvince],[island],idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks
1,1,Artemisia suksdorfii,Artemisia suksdorfii,h,Artemisia suksdorfii,19810528,North Pender Island; Navy Channel; Log Dump Beach,Canada,British Columbia,North Pender Island,,Southern Gulf Islands,,beach,,,,,,,,,,,,,,,,,
1,2,Poa annua,Poa annua,h,Poa annua,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,3,Lolium perenne,Lolium perenne,h,Lolium perenne,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,4,Plantago lanceolata,Plantago lanceolata,h,Plantago lanceolata,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,5,Bromus mollis,Bromus mollis,h,Bromus hordeaceus,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,6,Bromus tectorum,Bromus tectorum,h,Bromus tectorum,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,7,Vicia sativa,Vicia sativa,h,Vicia sativa,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,8,Poa pratensis,Poa pratensis,h,Poa pratensis,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,9,Rumex acetosella,Rumex acetosella,h,Rumex acetosella,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,10,Festuca megalura,Festuca megalura,m,Vulpia myuros megalura,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,11,Arbutus menziesii,Arbutus menziesii,h,Arbutus menziesii,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,12,Lotus corniculatus,Lotus corniculatus,h,Lotus corniculatus,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,13,Trifolium dubium,Trifolium dubium,h,Trifolium dubium,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,14,Trifolium repens,Trifolium repens,h,Trifolium repens,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,15,Trifolium subterraneum,Trifolium subterraneum,h,Trifolium subterraneum,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,16,Aira caryophyllea,Aira caryophyllea,h,Aira caryophyllea,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,17,Hypochaeris radicata,Hypochaeris radicata,h,Hypochaeris radicata,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,18,Dactylis glomerata,Dactylis glomerata,h,Dactylis glomerata,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,19,Bromus pacificus,Bromus pacificus,h,Bromus pacificus,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,20,Bellis perennis,Bellis perennis,h,Bellis perennis,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,21,Matricaria matricarioides,Matricaria matricarioides,h,Matricaria discoidea,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
1,22,Pseudotsuga menziesii,Pseudotsuga menziesii,h,Pseudotsuga menziesii,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,,,,,,,at dock,,,,,,,,,,,,,,
2,1,Sedum spathulifolium,Sedum spathulifolium,h,Sedum spathulifolium,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,2,Juniperus scopulorum,Juniperus scopulorum,h,Juniperus scopulorum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,3,Lonicera ciliosa,Lonicera ciliosa,h,Lonicera ciliosa,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,4,Salix scouleriana,Salix scouleriana,h,Salix scouleriana,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,5,Filago germanica,Filago germanica,h,Filago germanica,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,6,Rubus ursinus,Rubus ursinus,h,Rubus ursinus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,7,Gaultheria shallon,Gaultheria shallon,h,Gaultheria shallon,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,8,Bromus pacificus,Bromus pacificus,h,Bromus pacificus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,asterisk next to taxon name,,,,has asterisk 
2,9,Bromus sterilis,Bromus sterilis,h,Bromus sterilis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,10,Daucus pusillus,Daucus pusillus,h,Daucus pusillus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,11,Heuchera micrantha,Heuchera micrantha,h,Heuchera micrantha,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,12,Achillea millefolium,Achillea millefolium,h,Achillea millefolium,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,13,Vaccinium parvifolium,Vaccinium parvifolium,h,Vaccinium parvifolium,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,14,,,,,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,15,Vicia gigantea,Vicia gigantea,h,Vicia gigantea,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,16,Ribes sanguineum,Ribes sanguineum,h,Ribes sanguineum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,17,Grindelia integrifolia,Grindelia integrifolia,h,Grindelia integrifolia,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,18,Conioselinum pacificum,Conioselinum pacificum,h,Conioselinum gmelinii,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,19,Plantago maritima,Plantago maritima,h,Plantago maritima,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
2,20,Elymus glaucus,Elymus glaucus,h,Elymus glaucus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,,,,,,,,,,,,,,,,,,,,,
