[pageNum],[numPage],[vName],[vSciName],[conf],[sciName],[date],[locality],[country],[stateProvince],[island],idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks
7,1,Gaultheria,Gaultheria shallon,m,Gaultheria shallon,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"forest, open Pseudotsuga menziesii and Tsuga heterophylla ",,,below road,,,,,,,,,,weland and forest survey for government,,,,
7,,Rosa gymnocarpa,Rosa gymnocarpa,h,Rosa gymnocarpa,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"forest, open Pseudotsuga menziesii and Tsuga heterophylla ",,,below road,,,,,,,,,,weland and forest survey for government,,,,
7,,Cytisus,Cytisus scoparius,m,Cytisus scoparius,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"forest, open Pseudotsuga menziesii and Tsuga heterophylla ",,,below road,,,,,,,,,,weland and forest survey for government,,,,
7,,Pteridium aq,Pteridium aquilinum,h,Pteridium aquilinum,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"forest, open Pseudotsuga menziesii and Tsuga heterophylla ",,,below road,,,,,,,,,,weland and forest survey for government,,,,
7,,Rubus u,Rubus ursinus,h,Rubus ursinus,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"forest, open Pseudotsuga menziesii and Tsuga heterophylla ",,,below road,,,,,,,,,,weland and forest survey for government,,,,
7,,Kindbergia o,Kindbergia oregana,h,Kindbergia oregana,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"forest, open Pseudotsuga menziesii and Tsuga heterophylla ",,,below road,,,,,,,,,,weland and forest survey for government,,,,
7,,Carex o,Carex obnupta,l,Carex obnupta,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",,,shore of small pond,,,,,,,,,,weland and forest survey for government,,,,
7,,Typha,Typha,h,Typha,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",,,shore of small pond,,,,,,,,,,weland and forest survey for government,,,,
7,,Typha,Typha,h,Typha,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",,,shore of small pond,,,,,,,,,,weland and forest survey for government,,,,
7,,Myosotis l,Myosotis latifolia,l ,Myosotis latifolia,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",,,shore of small pond,,,,,,,,,,weland and forest survey for government,,,,
7,,Juncus effusus,Juncus effusus,h,Juncus effusus,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",,,shore of small pond,,,,,,,,,,weland and forest survey for government,,,,
7,,Stellaria calyc,Stellaria calycantha,h,Stellaria calycantha,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",,,shore of small pond,,,,,,,,,,weland and forest survey for government,,,,
7,,Agrostis gig,Agrostis gigantea,h,Agrostis gigantea,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",,,shore of small pond,,,,,,,,,,weland and forest survey for government,,,,
7,,Equisetum h,Equisetum hyemale,l,Equisetum hyemale,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",,,shore of small pond,,,,,,,,,,weland and forest survey for government,,,,
7,,Scirpus m,Scirpus microcarpus,l,Scirpus microcarpus,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",,,shore of small pond,,,,,,,,,,weland and forest survey for government,,,,
7,,Lemna minor,Lemna minor,h,Lemna minor,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, open water of small pond",,,open water of small pond,,,,,,,,,,weland and forest survey for government,,,,
7,,Oenanthe,Oenanthe,h,Oenanthe,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, open water of small pond",,,open water of small pond,,,,,,,0,,,weland and forest survey for government,,,,
7,,Typha ,Typha ,h,Typha ,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, open water of small pond",,,open water of small pond,,,,,,,,,,weland and forest survey for government,,,,
7,,Carex ob,Carex obnupta,h,Carex obnupta,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, open water of small pond",,,open water of small pond,,,,,,,,,,weland and forest survey for government,,,,
7,,[Torreychloa p],,,,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, open water of small pond",,,open water of small pond,,,,,,,,,,weland and forest survey for government,,,,cannot decipher species name
7,,Epilobium watsonii,Epilobium watsonii,h,Epilobium ciliatum watsonii,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,"open Pseudotsuga menziesii and Tsuga heterophylla, open water of small pond",,,open water of small pond,,,,,,,,,,weland and forest survey for government,,,,
7,,Rubus spectabilis,Rubus spectabilis,h,Rubus spectabilis,20000310,Sidney Island; south east corner to west ,Canada,British Columbia,Sidney Island,,,,open Pseudotsuga menziesii and Tsuga heterophylla ,,,"in forest well above pool, below road",,,,,,,,1,count,weland and forest survey for government,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Psuedotsuga menziesii,Psuedotsuga menziesii,h,Psuedotsuga menziesii,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,,,,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge ",,,,,,,,,,,60,% cover,,,,,
24,,Quercus garryana,Quercus garryana,h,Quercus garryana,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,,,,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge ",,,,,,,,,,,15,count,,,,,
24,,Acer macrophyllum,Acer macrophyllum,h,Acer macrophyllum,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,,,,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge ",,,,,,,,,,,10,count,,,,,
24,,Acer glabrum,Acer glabrum,h,Acer glabrum,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,,,,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge ",,,,,,,,,,,5,count,,,,,
24,,Arbutus menziesii,Arbutus menziesii,h,Arbutus menziesii,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,,,,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge ",,,,,,,,,,,1,count,,,,,
24,,Salix scouleriana,Salix scouleriana,h,Salix scouleriana,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,,,,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge ",,,,,,,,,,,1,count,,,,,
24,,Cerastium viscosum,Cerastium viscosum,h,Cerastium holosteoides,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,,,,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge, very thin understory",,,slope 70 %,,,,,,,,,,,,,,
24,,Cardamine olig,Cardamine oligosperma,h,Cardamine oligosperma,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,,,,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge, very thin understory",,,slope 70 %,,,,,,,1,,,,,,,
24,,Montia parvifolia,Montia parvifolia,m,Montia parvifolia,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,,,,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge, very thin understory",,,slope 70 %,,,,,,,1,,,,,,,
24,,Poa pratensis,Poa pratensis,h,Poa pratensis,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,,,,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge, very thin understory",,,slope 70 %,,,,,,,1,,,,,,,
24,,Gold [bluff] moss,,,,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,,,,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge, very thin understory",,,slope 70 %,,,,,,,1,,,,,,,cannot decipher taxon name
