"D","ScientificName","QualifiedScientificName","CommonName","Family","Genus","Species","SpeciesAuthority","Subspecies","SubspeciesAuthority","Variety","VarietyAuthority","Forma","FormaAuthority","Identifier","IDDate","IDNotes","CDC","MuseumCollection","Collector","CollectorsFieldNumber","CollectionDate","Prov_State","District","LocationName","LocationDescription","Latitude","Longitude","UTMZone","UTMNorthing","UTMEasting","Elevation","Park_ER_IR","HabitatRemarks","SpecimenNotes","SpeciesAbundance"
NA,"Sagina decumbens subsp. occidentalis (S.Watson) G.E.Crow",NA,NA,"Caryophyllaceae","Sagina","decumbens","(S.Watson) G.E.Crow","occidentalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen",NA,"1981-05-21","British Columbia","Southern Gulf Islands","Wise Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Lupinus arboreus Sims",NA,NA,"Fabaceae","Lupinus","arboreus","Sims",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen",NA,"1981-05-21","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"salt marsh",NA,NA
NA,"Lotus corniculatus L.",NA,NA,"Fabaceae","Lotus","corniculatus","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen",NA,"1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Trifolium subterraneum L.",NA,NA,"Fabaceae","Trifolium","subterraneum","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen",NA,"1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Bromus pacificus Shear",NA,NA,"Poaceae","Bromus","pacificus","Shear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen",NA,"1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Bromus vulgaris (Hook.) Shear",NA,NA,"Poaceae","Bromus","vulgaris","(Hook.) Shear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen",NA,"1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Barbarea orthoceras Ledeb.",NA,NA,"Brassicaceae","Barbarea","orthoceras","Ledeb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen",NA,"1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Sagina maxima subsp. crassicaulis (S.Watson) G.E.Crow",NA,NA,"Caryophyllaceae","Sagina","maxima","(S.Watson) G.E.Crow","crassicaulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen",NA,"1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Alopecurus pratensis L.",NA,NA,"Poaceae","Alopecurus","pratensis","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen",NA,"1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Saxifraga cespitosa L.",NA,NA,"Saxifragaceae","Saxifraga","cespitosa","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen",NA,"1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
