checkStatus,toDelete,dataEntryRemarks,pageNum,numPage,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy
,n,has asterisk,2,8,Bromus pacificus,Bromus pacificus,h,Bromus pacificus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,asterisk next to taxon name,NA,NA,NA
,y,NA,2,14,NA,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,n,question mark,2,24,Galium triflorum,Galium triflorum,h,Galium triflorum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Galium triflorum cf.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,question mark beside taxon name,NA,NA,NA
,n,unsure if montanum or minutum,2,27,Epilobium minutum,Epilobium minutum,m,Epilobium minutum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,n,question mark in between genus and species. Check mark,2,33,Festuca occidentalis,Festuca occidentalis,h,Festuca occidentalis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Festuca cf . occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,question mark in between genus and species; check mark next to taxon name,NA,NA,NA
,n,NA,2,38,Festuca rubra lit,Festuca rubra litoralis,l,Festuca rubra litoralis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,n,asterisk,2,39,Bromus vulgaris,Bromus vulgaris,h,Bromus vulgaris,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,asterisk next to taxon name,NA,NA,NA
,n,asterisk,2,40,Barbarea orthoceras,Barbarea orthoceras,h,Barbarea orthoceras,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,asterisk next to taxon name,NA,NA,NA
,n,question mark and circled,3,3,Arenaria serpyllifolia,Arenaria serpyllifolia,m,Arenaria serpyllifolia,19810528,Prevost Island,Canada,British Columbia,Prevost Island,cf. Arenaria serpyllifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxon name circled with big question mark,NA,NA,NA
,n,inferrring absent from crossing out,3,5,Lenontodon Crepis capillaris,Crepis capillaris,l,Crepis capillaris,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,crossed out and has asterisk beside taxon name,NA,NA,NA
