checkStatus,toDelete,dataEntryRemarks,pageNum,numPage,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,idQualifier,county,occStatus,habitat,assColl,assCollTaxa,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy
y,y,Cound not find taxon name,1,7,Calieagon gig,NA,NA,NA,19960925,Metchosin; south shore of Matheson Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,shoreline of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA
y,n,not sure what add means,1,16,Lycopus uniflorus,Lycopus uniflorus,h,Lycopus uniflorus,19960925,Metchosin; west end of Matheson Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,NA,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,add,NA,Harvey Janszen,NA
y,n,not sure what add means,1,17,Veronica americana,Veronica americana,h,Veronica americana,19960925,Metchosin; west end of Matheson Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,NA,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,add,NA,Harvey Janszen,NA
y,n,not sure what add means,1,18,Aster subspicatum,Aster subspicatum,h,Symphyotricum subspicatum,19960925,Metchosin; west end of Matheson Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,NA,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,add,NA,Harvey Janszen,NA
y,y,renamed to macrorhiza?,2,5,Utricularia vulgaris,Utricularia vulgaris,h,NA,19960925,Metchosin; north side of Matheson Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,"shoreline of lake, behind Scirpus beds",NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA
y,y,renamed to macrorhiza?,2,14,Utricularia vulgaris,Utricularia vulgaris,h,NA,19960925,Metchosin; Blinkhorn Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,aquatic in lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA
y,n,could not decipher taxon name,3,3,Salix,Salix,Salix,Salix,19960925,Metchosin; Blinkhorn Lake,Canada,British Columbia,Vancouver Island,NA,Metchosin,present,edges of lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA
y,y,unsure what the status is of this taxon and what it is now considered. No clean answer on iNaturalist,3,11,Carex oederi,Carex oederi,h,NA,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,NA,"2634, 2635","Carex acuta, Rhynchospora alba",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,Harvey Janszen,NA
y,y,could not decipher first part. What type of mat with Ledum?,4,14,levger mat with 60% ledum,NA,NA,NA,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,NA,NA,"2634, 2635","Carex acuta, Rhynchospora alba",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,Harvey Janszen,NA
y,y,could not decipher genus name,4,15,Occycoeus o.,NA,NA,NA,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,NA,"2634, 2635","Carex acuta, Rhynchospora alba",NA,species,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Harvey Janszen,NA
y,y,could not decipher genus name,4,17,Eriophorum l,NA,NA,NA,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,NA,NA,NA,NA,species,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Harvey Janszen,NA
y,y,renamed to macrorhiza?,4,18,Utricularia vulgaris,Utricularia vulgaris,NA,NA,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,floating in lake,NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA
y,n,uncertain of the specific epiphet,5,15,Salix l,Salix,Salix,Salix,19961030,Saltspring Island; north end of Cusheon Lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,shore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA
y,n,uncertain of specific epiphet,6,1,Typha l,Typha latifolia,m,Typha latifolia,19961030,Saltspring Islandl; Bullocks Pond,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,shore,NA,NA,NA,species,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,Harvey Janszen,NA
y,n,uncertain of specific epiphet,6,3,Salix sarale,Salix scouleriana,l,Salix scouleriana,19961030,Saltspring Islandl; Bullocks Pond,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,"shore, behind Potentilla palustris (Comarum palustre)",NA,NA,NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA
y,n,NA,6,6,Nuphar,Nuphar,h,Nuphar,19961030,Saltspring Islandl; Bullocks Pond,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,floating,NA,NA,NA,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA
y,n,uncertain of specific epiphet,6,16,Lycopus d,Lycopus,Lycopus,Lycopus,19961030,Saltspring Island; Maxwell Lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,NA,"2637, 2638, 2640, 2641","Potamogeton obtusifolius, Carex acuta, Ranunculus aquatilis, Callitriche",NA,genus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA
