checkStatus,toDelete,dataEntryRemarks,pageNum,numPage,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy
C,n,NA,7,NA,Carex o,Carex obnupta,l,Carex obnupta,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",NA,NA,shore of small pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA
C,n,NA,7,NA,Myosotis l,Myosotis latifolia,l,Myosotis latifolia,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",NA,NA,shore of small pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA
C,n,NA,7,NA,Equisetum h,Equisetum hyemale,l,Equisetum hyemale,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",NA,NA,shore of small pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA
C,n,NA,7,NA,Scirpus m,Scirpus microcarpus,l,Scirpus microcarpus,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",NA,NA,shore of small pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA
C,y,cannot decipher species name,7,NA,[Torreychloa p],NA,NA,NA,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"open Pseudotsuga menziesii and Tsuga heterophylla, open water of small pond",NA,NA,open water of small pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA
C,y,cannot decipher taxon name,24,NA,Gold [bluff] moss,NA,NA,NA,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,NA,NA,NA,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge, very thin understory",NA,NA,slope 70 %,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
C,n,NA,24,NA,Lonicera [l]?,Lonicera ledebourii,l,Lonicera involucrata,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,NA,NA,NA,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge, very thin understory",NA,NA,slope 70 %,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
C,n,NA,24,NA,Luzula p,Luzula parviflora,l,Luzula parviflora,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,NA,NA,NA,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge, very thin understory",NA,NA,slope 70 %,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
C,y,not sure of species,24,NA,Festuca o,NA,NA,NA,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,NA,NA,NA,"sand bank shore, Quercys garryana and Psuedotsuga menziesii  grove includes top of ridge, very thin understory",NA,NA,slope 70 %,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
C,y,NA,24,NA,DR,NA,NA,NA,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,NA,NA,NA,gravel open bluff,NA,NA,slope 90 %,NA,NA,NA,NA,NA,NA,NA,5,% cover,NA,NA,NA,NA
C,y,NA,24,NA,NA,NA,NA,NA,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,NA,NA,NA,gravel open bluff,NA,NA,slope 90 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,y,NA,24,NA,NA,NA,NA,NA,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,NA,NA,NA,gravel open bluff,NA,NA,slope 90 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,y,NA,24,NA,NA,NA,NA,NA,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,NA,NA,NA,gravel open bluff,NA,NA,slope 90 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,y,NA,24,NA,NA,NA,NA,NA,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,NA,NA,NA,gravel open bluff,NA,NA,slope 90 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,y,NA,24,NA,NA,NA,NA,NA,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,NA,NA,NA,gravel open bluff,NA,NA,slope 90 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,y,NA,24,NA,NA,NA,NA,NA,20000411,Sidney Island; west end sand bank shore,Canada,British Columbia,Sidney Island,NA,NA,NA,gravel open bluff,NA,NA,slope 90 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
