pageNum,numPage,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks
1,1,Artemisia suksdorfii,Artemisia suksdorfii,h,Artemisia suksdorfii,19810528,North Pender Island; log dump beach with navy channel,Canada,British Columbia,North Pender Island,NA,Southern Gulf Islands,NA,beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,Poa annua,Poa annua,h,Poa annua,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,at dock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,Lolium perenne,Lolium perenne,h,Lolium perenne,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,at dock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,Plantago lanceolata,Plantago lanceolata,h,Plantago lanceolata,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,at dock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,Bromus mollis,Bromus mollis,h,Bromus hordeaceus,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,at dock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,Bromus tectorum,Bromus tectorum,h,Bromus tectorum,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,at dock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,Vicia sativa,Vicia sativa,h,Vicia sativa,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,at dock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,Poa pratensis,Poa pratensis,h,Poa pratensis,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,at dock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,Rumex acetosella,Rumex acetosella,h,Rumex acetosella,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,at dock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,Festuca megalura,Festuca megalura,m,Vulpia myuros megalura,19810528,Prevost Island; at dock,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,at dock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
