pageNum,numPage,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks
7,1,Gaultheria,Gaultheria shallon,m,Gaultheria shallon,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"forest, open Pseudotsuga menziesii and Tsuga heterophylla",NA,NA,below road,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
7,2,Rosa gymnocarpa,Rosa gymnocarpa,h,Rosa gymnocarpa,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"forest, open Pseudotsuga menziesii and Tsuga heterophylla",NA,NA,below road,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
7,3,Cytisus,Cytisus scoparius,m,Cytisus scoparius,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"forest, open Pseudotsuga menziesii and Tsuga heterophylla",NA,NA,below road,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
7,4,Pteridium aq,Pteridium aquilinum,h,Pteridium aquilinum,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"forest, open Pseudotsuga menziesii and Tsuga heterophylla",NA,NA,below road,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
7,5,Rubus u,Rubus ursinus,h,Rubus ursinus,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"forest, open Pseudotsuga menziesii and Tsuga heterophylla",NA,NA,below road,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
7,6,Kindbergia o,Kindbergia oregana,h,Kindbergia oregana,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"forest, open Pseudotsuga menziesii and Tsuga heterophylla",NA,NA,below road,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
7,7,Carex o,Carex obnupta,l,Carex obnupta,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",NA,NA,shore of small pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
7,8,Typha,Typha,h,Typha,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",NA,NA,shore of small pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
7,9,Typha,Typha,h,Typha,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",NA,NA,shore of small pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
7,10,Myosotis l,Myosotis latifolia,l,Myosotis latifolia,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",NA,NA,shore of small pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
7,11,Juncus effusus,Juncus effusus,h,Juncus effusus,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",NA,NA,shore of small pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
7,12,Stellaria calyc,Stellaria calycantha,h,Stellaria calycantha,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",NA,NA,shore of small pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
7,13,Agrostis gig,Agrostis gigantea,h,Agrostis gigantea,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",NA,NA,shore of small pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
7,14,Equisetum h,Equisetum hyemale,l,Equisetum hyemale,20000310,Sidney Island; south east corner to west,Canada,British Columbia,Sidney Island,NA,NA,NA,"open Pseudotsuga menziesii and Tsuga heterophylla, shore of small pond",NA,NA,shore of small pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,weland and forest survey for government,NA,NA,NA,NA
