"locality string","country","state","county","latitude","longitude","correction 
                 status","precision","error polygon","multiple results","uncertainty"
"North Pender Island; log dump beach with navy channel","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Prevost Island; at dock","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Prevost Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"small island on east end of Prevost Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"on islands to south of Prevost Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"North East point of Prevost Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saturna Island; Monarch head","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saturna Island; Cactus Point","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"North Pender Island; Port Washington; George Hill area","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"North Pender Island; Port Washington","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"North Pender Island; Magic Lake Horse","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"North Pender Island; Ross Smith fields","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"North Pender Island; fen below Magic Lake","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Galiano Island; near G. lodge","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Galiano Island; Sturdies Bay","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Galiano Island; [lain penn.]?","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saturna Island; free school","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Parker Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Metchosin; south shore of Matheson Lake","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA
"Metchosin; penninsula middle of south site of Matheson Lake","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA
"Metchosin; west end of Matheson Lake","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA
"Metchosin; north side of Matheson Lake","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA
"Metchosin; Blinkhorn Lake","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA
"Saltspring Island; 6.0 kilometer lake","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saltspring Island; 5.6 kilometer fen","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saltspring Island; Cusheon Lake","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saltspring Island; east end of Cusheon Lake","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saltspring Island; north end of Cusheon Lake","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saltspring Islandl; Bullocks Pond","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saltspring Island; Maxwell Lake","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saltspring Island; lower end of Maxwell Lake","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Saltspring Island; Blackburn Lake","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Texada Island; northwest point of Blubber Bay","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Texada Island; Gillies Bay; forest behind ball field","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Sidney Island; south east corner to west","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Sidney Island; west end sand bank shore","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Galiano Island; Mount Sutil","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
