page,obs_type,reported_id,estimated_id,estimate_cert,accepted_name,prevalence,year,month,day ,locality,island,position,poly,lat,lon,coord_unc,original_notes,digitizer_notes
1,survey,Groc nul ,Iris pseudacorus,m,Iris pseudacorus,abundant,2004,2,4,Mt. Sutil,Galiano,,,,,,,Lily Groc is the common name of yellow iris. Recent iNat observation on Mt. Sutil
1,survey,Clar amo,Clarkia amoena,h,Clarkia amoena,NA,2004,2,4,Mt. Sutil,Galiano,,,,,,,"not sure if ""n"" or ""m"" in Claramo/ Clarano"
1,survey,Clar amo + inshade,,,,NA,2004,2,4,Mt. Sutil,Galiano,,,,,,,
1,survey,Tori jap,Torilis japonica,h,Torilis japonica,NA,2004,2,4,Mt. Sutil,Galiano,,,,,,,
1,survey,Osmo chi,Osmorhiza chilensis,h,Osmorhiza berteroi,NA,2004,2,4,Mt. Sutil,Galiano,,,,,,,Osmorhiza berteroi was previously chilensis. Recent iNat observations on Mt. Sutil
1,survey,Stel med,Stellaria media,h,Stellaria media,NA,2004,2,4,Mt. Sutil,Galiano,,,,,,,Recent iNat observation on Mt. Sutil
1,survey,Nemo par,Nemophila parviflora,h,Nemophila parviflora,NA,2004,2,4,Mt. Sutil,Galiano,,,,,,,Recent iNat observation on Mt. Sutil
1,survey,Lact mur,,,,NA,2004,2,4,Mt. Sutil,Galiano,,,,,,,
1,survey,Clay par ,Claytonia perfoliata,h,Claytonia perfoliata,NA,2004,2,4,Mt. Sutil,Galiano,,,,,,,Recent iNat observation on Mt. Sutil
1,survey,Meli sub,Melica subulata,l ,Melica subulata,NA,2004,2,4,Mt. Sutil,Galiano,,,,,,,Recent iNat observation on Mt. Sutil
1,survey,Mont fon,Montia fontana,m,Montia fontana,NA,2004,2,4,Mt. Sutil,Galiano,seep,,,,,,Recent iNat observation on Mt. Sutil
1,survey,Saxi int,Saxifraga integrifolia,m,Micranthes integrifolia,abundant,2004,2,4,Mt. Sutil,Galiano,seep,,,,,,Recent iNat observation on Mt. Sutil
1,survey,Saxi ruf,Saxifraga rufidula,m,Micranthes rufidula,NA,2004,2,4,Mt. Sutil,Galiano,seep,15.2,,,,no usual travel off,
2,survey,Gera mol,Geranium molle,h,Geranium molle,NA,2004,3,12,,Galiano,seep,,,,,,Recent iNat observations on Galiano
2,survey,Saxi int,Saxifraga integrifolia,m,Micranthes integrifolia,NA,2004,3,12,,Galiano,seep,,,,,,Recent iNat observations on Galiano
2,survey,Saxi ruf,Saxifraga rufidula,m,Micranthes rufidula,NA,2004,3,12,,Galiano,seep,,,,,,Recent iNat observations on Galiano
2,survey,Mimu gut,Mimulus guttata,h,Erythranthe guttata,NA,2004,3,12,,Galiano,seep,,,,,,Mimulus guttata was changed to Erythranthe. Recent iNat observations on Galiano
2,survey,Litho par,Lithophragma parviflorum,h,Lithophragma parviflorum,NA,2004,3,12,,Galiano,seep,,,,,,Recent iNat observations on Galiano
