gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
1949654625																										RBCM:Botany:V206515									en	CC_BY_4_0											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PRESERVED_SPECIMEN			Conservation Status:CDC: Not Listed	RBCM:Botany:V206515	V206515	2416	Harvey Janszen		1											PRESENT	sheet, pressed							4 plants observed in a small clump											1985-06-06T00:00:00				1985	6	6	06/06/1985											NORTH_AMERICA				CA	British Columbia			Saturna Island, British Columbia: Saturna Island, East Point, 30 m SE of point, near shore trail	Saturna Island, East Point, 30 m SE of point, near shore trail	4 m							48.785556	-123.036389				UTM																																Harvey Janszen					Piperia maritima (Greene) Rydb. (= Piperia elegans (Lindl.) Rydb.)	https://www.gbif.org/species/2797006								Piperia maritima Rydb.	Platanthera elegans Lindl.							Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae		Platanthera	Piperia			maritima			SPECIES				SYNONYM			2d18c666-ee2b-40a3-a708-280ea19c0fbc	CA	2022-09-08T20:46:36.686Z	4.0						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION		true	false	2797006	7069730	6	7707728	196	1169	7689	2797839		2797001	Platanthera elegans	Platanthera elegans subsp. elegans	Piperia maritima Rydb.		DWC_ARCHIVE	2022-09-08T20:46:36.686Z	2022-04-25T07:53:32.309Z	false										NE
1949654606																										RBCM:Botany:V206530									en	CC_BY_4_0											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PRESERVED_SPECIMEN			Conservation Status:CDC: Not Listed	RBCM:Botany:V206530	V206530	2577A	Harvey Janszen		1											PRESENT	sheet, pressed																		1996-09-01T00:00:00				1996	9	1	01/09/1996											NORTH_AMERICA				CA	British Columbia			Port Coquitlam, British Columbia: Port Coquitlam, Colony Farm	Port Coquitlam, Colony Farm	2 m							49.227778	-122.810556				UTM																																Brenda Costanzo		2010-07-22T00:00:00				https://www.gbif.org/species/2867589								Lemna minor L.	Lemna minor L.							Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae		Lemna	Lemna			minor			SPECIES				ACCEPTED			2d18c666-ee2b-40a3-a708-280ea19c0fbc	CA	2022-09-08T20:46:40.342Z	2.0						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION		true	false	2867589	2867589	6	7707728	196	551	6979	2867567		2867589	Lemna minor	Lemna minor L.	Lemna minor L.		DWC_ARCHIVE	2022-09-08T20:46:40.342Z	2022-04-25T07:53:32.309Z	false		CAN	Canada	CAN.2_1	British Columbia	CAN.2.14_1	Greater Vancouver	CAN.2.14.8_1	Coquitlam	LC
1949647600																										RBCM:Botany:V199150									en	CC_BY_4_0											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PRESERVED_SPECIMEN			Conservation Status:CDC: Not Listed	RBCM:Botany:V199150	V199150	2911	Harvey Janszen		1											PRESENT	sheet, pressed																		1999-07-04T00:00:00				1999	7	4	04/07/1999											NORTH_AMERICA				CA	British Columbia	Gulf Islands		Texada Island: Anderson Bay Road	Anderson Bay Road	590 m			590	590		boggy creek bank, 10-12 large clumps with Carex viridula, Myosotis laxa, Ranunculus uncinatus, Fragaria vesca, Carex aurea, C. leptalea, & Ophioglossum pusillum, Botrychium ascendens, Malaxis monophylla.	49.591667	-124.281667				UTM								Source																								Jenifer Penny						https://www.gbif.org/species/2705503								Glyceria striata (Lam.) Hitchc.	Glyceria striata (Lam.) A.S. Hitchc.							Plantae	Tracheophyta	Liliopsida	Poales	Poaceae		Glyceria	Glyceria			striata			SPECIES				ACCEPTED			2d18c666-ee2b-40a3-a708-280ea19c0fbc	CA	2022-09-08T20:46:40.413Z	590.0						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION		true	false	2705503	2705503	6	7707728	196	1369	3073	2705475		2705503	Glyceria striata	Glyceria striata (Lam.) Hitchc.	Glyceria striata (Lam.) A.S. Hitchc.		DWC_ARCHIVE	2022-09-08T20:46:40.413Z	2022-04-25T07:53:32.309Z	false		CAN	Canada	CAN.2_1	British Columbia	CAN.2.23_1	Powell River	CAN.2.23.6_1	Powell River D	LC
1949641671																										RBCM:Botany:V193435									en	CC_BY_4_0											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PRESERVED_SPECIMEN			Conservation Status:CDC: Blue	RBCM:Botany:V193435	V193435	2808	Harvey Janszen		1											PRESENT	sheet, pressed																		1997-07-18T00:00:00				1997	7	18	18/07/1997											NORTH_AMERICA				CA	British Columbia	Gulf Islands		Texada Island: 1200 m S of Hydro cut on Anderson Bay Road	1200 m S of Hydro cut on Anderson Bay Road							Pinder-Moss, John H. 20051212	49.666667	-124.4												British Columbia Digital Gazetteer, 1996																								George Douglas; Harvey Janszen						https://www.gbif.org/species/2650180								Botrychium simplex E.Hitchc.	Botrychium simplex E. Hitchc.							Plantae	Tracheophyta	Polypodiopsida	Ophioglossales	Ophioglossaceae		Botrychium	Botrychium			simplex			SPECIES				ACCEPTED		CDC Status updated 2016 Feb 11 (JC). CDC Name:Botrychium simplex var. compositum	2d18c666-ee2b-40a3-a708-280ea19c0fbc	CA	2022-09-08T20:46:40.292Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION		true	false	2650180	2650180	6	7707728	7228684	393	6627	2650152		2650180	Botrychium simplex	Botrychium simplex E.Hitchc.	Botrychium simplex E. Hitchc.		DWC_ARCHIVE	2022-09-08T20:46:40.292Z	2022-04-25T07:53:32.309Z	false		CAN	Canada	CAN.2_1	British Columbia	CAN.2.23_1	Powell River	CAN.2.23.6_1	Powell River D	NE
1949641650																										RBCM:Botany:V193434									en	CC_BY_4_0											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PRESERVED_SPECIMEN			Conservation Status:CDC: Blue	RBCM:Botany:V193434	V193434	2820J	Harvey Janszen		1											PRESENT	sheet, pressed																		1997-07-18T00:00:00				1997	7	18	18/07/1997											NORTH_AMERICA				CA	British Columbia	Gulf Islands										Pinder-Moss, John H. 20051212	49.666667	-124.4												British Columbia Digital Gazetteer, 1996																								George Douglas; Harvey Janszen						https://www.gbif.org/species/2650180								Botrychium simplex E.Hitchc.	Botrychium simplex E. Hitchc.							Plantae	Tracheophyta	Polypodiopsida	Ophioglossales	Ophioglossaceae		Botrychium	Botrychium			simplex			SPECIES				ACCEPTED		CDC Status updated 2016 Feb 11 (JC). CDC Name:Botrychium simplex var. compositum	2d18c666-ee2b-40a3-a708-280ea19c0fbc	CA	2022-09-08T20:46:36.060Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION		true	false	2650180	2650180	6	7707728	7228684	393	6627	2650152		2650180	Botrychium simplex	Botrychium simplex E.Hitchc.	Botrychium simplex E. Hitchc.		DWC_ARCHIVE	2022-09-08T20:46:36.060Z	2022-04-25T07:53:32.309Z	false		CAN	Canada	CAN.2_1	British Columbia	CAN.2.23_1	Powell River	CAN.2.23.6_1	Powell River D	NE
1949641578																										RBCM:Botany:V193436									en	CC_BY_4_0											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PRESERVED_SPECIMEN			Conservation Status:CDC: Blue	RBCM:Botany:V193436	V193436	2823	Harvey Janszen		1											PRESENT	sheet, pressed																		1997-07-18T00:00:00				1997	7	18	18/07/1997											NORTH_AMERICA				CA	British Columbia	Gulf Islands										Pinder-Moss, John H. 20051212	49.666667	-124.4												British Columbia Digital Gazetteer, 1996																								Harvey Janszen					Jansen states: keys to B. ascendens more closely than to B. minganense or B. caeruleum by pinna margins entire.	https://www.gbif.org/species/2650158								Botrychium ascendens Wagner	Botrychium ascendens W.H. Wagner							Plantae	Tracheophyta	Polypodiopsida	Ophioglossales	Ophioglossaceae		Botrychium	Botrychium			ascendens			SPECIES				ACCEPTED		CDC Status + Synonymy updated 2016 Jan 25 (JC)	2d18c666-ee2b-40a3-a708-280ea19c0fbc	CA	2022-09-08T20:46:40.178Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION		true	false	2650158	2650158	6	7707728	7228684	393	6627	2650152		2650158	Botrychium ascendens	Botrychium ascendens Wagner	Botrychium ascendens W.H. Wagner		DWC_ARCHIVE	2022-09-08T20:46:40.178Z	2022-04-25T07:53:32.309Z	false		CAN	Canada	CAN.2_1	British Columbia	CAN.2.23_1	Powell River	CAN.2.23.6_1	Powell River D	NE
1949635104																										RBCM:Botany:V186598									en	CC_BY_4_0											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PRESERVED_SPECIMEN			Conservation Status:CDC: Not Listed	RBCM:Botany:V186598	V186598	2904	Harvey Janszen		1											PRESENT	sheet, pressed							HJ: also with Adenocaulon bicolor, Galium triflorum, Kindbergia oregana and Melica subulata; 30 plants.											1999-06-22T00:00:00				1999	6	22	22/06/1999											NORTH_AMERICA				CA	British Columbia	Gulf Islands		Saturna Island: Brown Ridge, 200m N of ridge crest, 3.2km E of summit (Mt. Warburton Pyke)	Brown Ridge, 200m N of ridge crest, 3.2km E of summit (Mt. Warburton Pyke)	310 m			310	310		In mature Douglas-fir, Cedar with W. hemlock understorey (structural stage 7 forest), open parkland with Gaultheria shallon, Tiarella trifoliata, Festuca subulata; slope 10%, aspect S45E.	48.766667	-123.166667				UTM								Source																								Harvey Janszen						https://www.gbif.org/species/2888276								Pyrola chlorantha Sw.	Pyrola chlorantha Sw.							Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae		Pyrola	Pyrola			chlorantha			SPECIES				ACCEPTED			2d18c666-ee2b-40a3-a708-280ea19c0fbc	CA	2022-09-08T20:46:40.019Z	310.0						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION		true	false	2888276	2888276	6	7707728	220	1353	2505	2888249		2888276	Pyrola chlorantha	Pyrola chlorantha Sw.	Pyrola chlorantha Sw.		DWC_ARCHIVE	2022-09-08T20:46:40.019Z	2022-04-25T07:53:32.309Z	false		CAN	Canada	CAN.2_1	British Columbia	CAN.2.3_1	Capital	CAN.2.3.3_1	Capital G	NE
1949634994																										RBCM:Botany:V186604									en	CC_BY_4_0											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PRESERVED_SPECIMEN			Conservation Status:CDC: Not Listed	RBCM:Botany:V186604	V186604	2899	Harvey Janszen		1											PRESENT	sheet, pressed							HJ: Many plants observed along 400m of ridge slope; both forms in collection, growing intermixed, no habitat difference.											1999-04-01T00:00:00				1999	4	1	01/04/1999											NORTH_AMERICA				CA	British Columbia			Saturna Island: Brown Ridge, E of Summit	Brown Ridge, E of Summit	320 m			320	320		On ledges and in pockets of soil on steep S-facing cliffs with Montia perfoliata; 60% slope; S aspect.	48.766667	-123.166667				UTM								Source																								Harvey Janszen						https://www.gbif.org/species/7219454								Claytonia parviflora subsp. parviflora								Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Montiaceae		Claytonia	Claytonia			parviflora	parviflora		SUBSPECIES				ACCEPTED			2d18c666-ee2b-40a3-a708-280ea19c0fbc	CA	2022-09-08T20:46:40.183Z	320.0						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION		true	false	7219454	7219454	6	7707728	220	422	4898338	3084729		3084736	Claytonia parviflora	Claytonia parviflora subsp. parviflora	Claytonia parviflora Dougl. ex Hook. ssp. parviflora		DWC_ARCHIVE	2022-09-08T20:46:40.183Z	2022-04-25T07:53:32.309Z	false		CAN	Canada	CAN.2_1	British Columbia	CAN.2.3_1	Capital	CAN.2.3.3_1	Capital G	
1949634969																										RBCM:Botany:V186588									en	CC_BY_4_0											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PRESERVED_SPECIMEN			Conservation Status:CDC: Not Listed	RBCM:Botany:V186588	V186588	2915	Harvey Janszen		1											PRESENT	sheet, pressed							HJ: also with Ophioglossum pusillum, Malaxis monophyllos, and Botrychium virginianum; 10 plants.											1999-07-06T00:00:00				1999	7	6	06/07/1999											NORTH_AMERICA				CA	British Columbia	Gulf Islands		Texada Island: between Anderson Bay Road and Cook Bay Road	between Anderson Bay Road and Cook Bay Road	650 m			650	650		On drying shore of small pothole, flat with Carex exsiccata, C. kelloggii, Veronica scutellata, Alopecurus geniculatus, Equisetum arvense.	49.593333	-124.292222				UTM								Source																								Harvey Janszen						https://www.gbif.org/species/5359148								Trifolium wormskioldii Lehm.	Trifolium wormskioldii Lehm.							Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae		Trifolium	Trifolium			wormskioldii			SPECIES				ACCEPTED			2d18c666-ee2b-40a3-a708-280ea19c0fbc	CA	2022-09-08T20:46:39.927Z	650.0						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION		true	false	5359148	5359148	6	7707728	220	1370	5386	2973363		5359148	Trifolium wormskioldii	Trifolium wormskioldii Lehm.	Trifolium wormskjoldii Lehm.		DWC_ARCHIVE	2022-09-08T20:46:39.927Z	2022-04-25T07:53:32.309Z	false		CAN	Canada	CAN.2_1	British Columbia	CAN.2.23_1	Powell River	CAN.2.23.6_1	Powell River D	NE
1949634961																										RBCM:Botany:V186590									en	CC_BY_4_0											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PRESERVED_SPECIMEN			Conservation Status:CDC: Blue	RBCM:Botany:V186590	V186590	2913	Harvey Janszen		1											PRESENT	sheet, pressed							HJ: aspect S45W; also with Drosera rotundifolia, Hypericum anagalloides, Veronica scutellata, Sisyrinchium californicum & Equisetum arvense; > 1000 plants.											1999-07-06T00:00:00				1999	7	6	06/07/1999											NORTH_AMERICA				CA	British Columbia	Gulf Islands		Texada Island: between Anderson Bay Road and Cook Bay Road	between Anderson Bay Road and Cook Bay Road	580 m			580	580		In cranberry bog below Typha latifolia marsh with Oxycoccus oxycoccus dominating with Senecio indecorus, Ophioglossum pusillum, Botrychium multifidum, B. virginianum; 10% slope.	49.594722	-124.292222				UTM								Source																								Harvey Janszen						https://www.gbif.org/species/2650180								Botrychium simplex E.Hitchc.	Botrychium simplex E. Hitchc.							Plantae	Tracheophyta	Polypodiopsida	Ophioglossales	Ophioglossaceae		Botrychium	Botrychium			simplex			SPECIES				ACCEPTED		CDC Status updated 2016 Feb 11 (JC). CDC Name:Botrychium simplex var. compositum	2d18c666-ee2b-40a3-a708-280ea19c0fbc	CA	2022-09-08T20:46:35.858Z	580.0						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;DIFFERENT_OWNER_INSTITUTION		true	false	2650180	2650180	6	7707728	7228684	393	6627	2650152		2650180	Botrychium simplex	Botrychium simplex E.Hitchc.	Botrychium simplex E. Hitchc.		DWC_ARCHIVE	2022-09-08T20:46:35.858Z	2022-04-25T07:53:32.309Z	false		CAN	Canada	CAN.2_1	British Columbia	CAN.2.23_1	Powell River	CAN.2.23.6_1	Powell River D	NE
