gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1949654625																										RBCM:Botany:V206515									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V206515	V206515	2416	Harvey Janszen		1												sheet, pressed								4 plants observed in a small clump											1985-06-06				1985	06	06	06/06/1985											North America				Canada	CA	British Columbia			Saturna Island, British Columbia: Saturna Island, East Point, 30 m SE of point, near shore trail	Saturna Island, East Point, 30 m SE of point, near shore trail	4		4 m									48.78555556	-123.0363889					10U 540364N 49670E			UTM																																Harvey Janszen					Piperia maritima (Greene) Rydb. (= Piperia elegans (Lindl.) Rydb.)	https://www.gbif.org/species/2797006								Piperia maritima Rydb.	Platanthera elegans Lindl.							Plantae	Spermatophyta	Monocotyledonae	Asparagales	Orchidaceae		Piperia				maritima			species		Rydb.			synonym		
1949654606																										RBCM:Botany:V206530									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V206530	V206530	2577A	Harvey Janszen		1												sheet, pressed																			1996-09-01				1996	09	01	01/09/1996											North America				Canada	CA	British Columbia			Port Coquitlam, British Columbia: Port Coquitlam, Colony Farm	Port Coquitlam, Colony Farm	2		2 m									49.22777778	-122.8105556					10U 545257N 51379E			UTM																																Brenda Costanzo		2010-07-22				https://www.gbif.org/species/2867589								Lemna minor L.	Lemna minor L.							Plantae	Spermatophyta	Monocotyledonae	Alismatales	Araceae		Lemna				minor			species		L.			accepted		
1949647600																										RBCM:Botany:V199150									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V199150	V199150	2911	Harvey Janszen		1												sheet, pressed																			1999-07-04				1999	07	04	04/07/1999											North America				Canada	CA	British Columbia	Gulf Islands		Texada Island: Anderson Bay Road	Anderson Bay Road	590		590 m					590	590		boggy creek bank, 10-12 large clumps with Carex viridula, Myosotis laxa, Ranunculus uncinatus, Fragaria vesca, Carex aurea, C. leptalea, & Ophioglossum pusillum, Botrychium ascendens, Malaxis monophylla.	49.59166667	-124.2816667					10U 5494030N 407366E			UTM								Source																								Jenifer Penny						https://www.gbif.org/species/2705503								Glyceria striata (Lam.) A.S. Hitchc.	Glyceria striata (Lam.) A.S. Hitchc.							Plantae	Spermatophyta	Monocotyledonae	Poales	Poaceae		Glyceria				striata			species		(Lam.) A.S. Hitchc.			accepted		
1949641671																										RBCM:Botany:V193435									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Blue	RBCM:Botany:V193435	V193435	2808	Harvey Janszen		1												sheet, pressed																			1997-07-18				1997	07	18	18/07/1997											North America				Canada	CA	British Columbia	Gulf Islands		Texada Island: 1200 m S of Hydro cut on Anderson Bay Road	1200 m S of Hydro cut on Anderson Bay Road											Pinder-Moss, John H. 20051212	49.66666667	-124.4																British Columbia Digital Gazetteer, 1996																								George Douglas; Harvey Janszen						https://www.gbif.org/species/2650180								Botrychium simplex E. Hitchc.	Botrychium simplex E. Hitchc.							Plantae	Polypodiophyta	Polypodiopsida	Ophioglossales	Ophioglossaceae		Botrychium				simplex			species		E. Hitchc.			accepted		CDC Status updated 2016 Feb 11 (JC). CDC Name:Botrychium simplex var. compositum
1949641650																										RBCM:Botany:V193434									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Blue	RBCM:Botany:V193434	V193434	2820J	Harvey Janszen		1												sheet, pressed																			1997-07-18				1997	07	18	18/07/1997											North America				Canada	CA	British Columbia	Gulf Islands														Pinder-Moss, John H. 20051212	49.66666667	-124.4																British Columbia Digital Gazetteer, 1996																								George Douglas; Harvey Janszen						https://www.gbif.org/species/2650180								Botrychium simplex E. Hitchc.	Botrychium simplex E. Hitchc.							Plantae	Polypodiophyta	Polypodiopsida	Ophioglossales	Ophioglossaceae		Botrychium				simplex			species		E. Hitchc.			accepted		CDC Status updated 2016 Feb 11 (JC). CDC Name:Botrychium simplex var. compositum
1949641578																										RBCM:Botany:V193436									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Blue	RBCM:Botany:V193436	V193436	2823	Harvey Janszen		1												sheet, pressed																			1997-07-18				1997	07	18	18/07/1997											North America				Canada	CA	British Columbia	Gulf Islands														Pinder-Moss, John H. 20051212	49.66666667	-124.4																British Columbia Digital Gazetteer, 1996																								Harvey Janszen					Jansen states: keys to B. ascendens more closely than to B. minganense or B. caeruleum by pinna margins entire.	https://www.gbif.org/species/2650158								Botrychium ascendens W.H. Wagner	Botrychium ascendens W.H. Wagner							Plantae	Polypodiophyta	Polypodiopsida	Ophioglossales	Ophioglossaceae		Botrychium				ascendens			species		W.H. Wagner			accepted		CDC Status + Synonymy updated 2016 Jan 25 (JC)
1949635104																										RBCM:Botany:V186598									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V186598	V186598	2904	Harvey Janszen		1												sheet, pressed								HJ: also with Adenocaulon bicolor, Galium triflorum, Kindbergia oregana and Melica subulata; 30 plants.											1999-06-22				1999	06	22	22/06/1999											North America				Canada	CA	British Columbia	Gulf Islands		Saturna Island: Brown Ridge, 200m N of ridge crest, 3.2km E of summit (Mt. Warburton Pyke)	Brown Ridge, 200m N of ridge crest, 3.2km E of summit (Mt. Warburton Pyke)	310		310 m					310	310		In mature Douglas-fir, Cedar with W. hemlock understorey (structural stage 7 forest), open parkland with Gaultheria shallon, Tiarella trifoliata, Festuca subulata; slope 10%, aspect S45E.	48.76666667	-123.1666667					10U 5402146N 488858E			UTM								Source																								Harvey Janszen						https://www.gbif.org/species/2888276								Pyrola chlorantha Sw.	Pyrola chlorantha Sw.							Plantae	Spermatophyta	Dicotyledonae	Ericales	Ericaceae		Pyrola				chlorantha			species		Sw.			accepted		
1949634994																										RBCM:Botany:V186604									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V186604	V186604	2899	Harvey Janszen		1												sheet, pressed								HJ: Many plants observed along 400m of ridge slope; both forms in collection, growing intermixed, no habitat difference.											1999-04-01				1999	04	01	01/04/1999											North America				Canada	CA	British Columbia			Saturna Island: Brown Ridge, E of Summit	Brown Ridge, E of Summit	320		320 m					320	320		On ledges and in pockets of soil on steep S-facing cliffs with Montia perfoliata; 60% slope; S aspect.	48.76666667	-123.1666667					10U 5401990N 488680E			UTM								Source																								Harvey Janszen						https://www.gbif.org/species/7219454								Claytonia parviflora Dougl. ex Hook. ssp. parviflora								Plantae	Spermatophyta	Dicotyledonae	Caryophyllales	Montiaceae		Claytonia				parviflora	parviflora		subspecies					accepted		
1949634969																										RBCM:Botany:V186588									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V186588	V186588	2915	Harvey Janszen		1												sheet, pressed								HJ: also with Ophioglossum pusillum, Malaxis monophyllos, and Botrychium virginianum; 10 plants.											1999-07-06				1999	07	06	06/07/1999											North America				Canada	CA	British Columbia	Gulf Islands		Texada Island: between Anderson Bay Road and Cook Bay Road	between Anderson Bay Road and Cook Bay Road	650		650 m					650	650		On drying shore of small pothole, flat with Carex exsiccata, C. kelloggii, Veronica scutellata, Alopecurus geniculatus, Equisetum arvense.	49.59333333	-124.2922222					10U 5494230N 406610E			UTM								Source																								Harvey Janszen						https://www.gbif.org/species/5359148								Trifolium wormskjoldii Lehm.	Trifolium wormskioldii Lehm.							Plantae	Spermatophyta	Dicotyledonae	Fabales	Fabaceae		Trifolium				wormskjoldii			species		Lehm.			accepted		
1949634961																										RBCM:Botany:V186590									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Blue	RBCM:Botany:V186590	V186590	2913	Harvey Janszen		1												sheet, pressed								HJ: aspect S45W; also with Drosera rotundifolia, Hypericum anagalloides, Veronica scutellata, Sisyrinchium californicum & Equisetum arvense; > 1000 plants.											1999-07-06				1999	07	06	06/07/1999											North America				Canada	CA	British Columbia	Gulf Islands		Texada Island: between Anderson Bay Road and Cook Bay Road	between Anderson Bay Road and Cook Bay Road	580		580 m					580	580		In cranberry bog below Typha latifolia marsh with Oxycoccus oxycoccus dominating with Senecio indecorus, Ophioglossum pusillum, Botrychium multifidum, B. virginianum; 10% slope.	49.59472222	-124.2922222					10U 5494353N 406580E			UTM								Source																								Harvey Janszen						https://www.gbif.org/species/2650180								Botrychium simplex E. Hitchc.	Botrychium simplex E. Hitchc.							Plantae	Polypodiophyta	Polypodiopsida	Ophioglossales	Ophioglossaceae		Botrychium				simplex			species		E. Hitchc.			accepted		CDC Status updated 2016 Feb 11 (JC). CDC Name:Botrychium simplex var. compositum
