island,district,islandGroup
Brethour Island,Southern Gulf Islands,Southern Gulf Islands
Cabbage Island,Southern Gulf Islands,Southern Gulf Islands
Curlew Island,Southern Gulf Islands,Southern Gulf Islands
De Courcy Islands,Southern Gulf Islands,Southern Gulf Islands
Mudge Island,Southern Gulf Islands,Southern Gulf Islands
Link Island,Southern Gulf Islands,Southern Gulf Islands
Ruxton Island,Southern Gulf Islands,Southern Gulf Islands
Pylades Island,Southern Gulf Islands,Southern Gulf Islands
Gabriola Island,Southern Gulf Islands,Southern Gulf Islands
Galiano Island,Southern Gulf Islands,Southern Gulf Islands
Halibut Island,Southern Gulf Islands,Southern Gulf Islands
Hudson Island,Southern Gulf Islands,Southern Gulf Islands
James Island,Southern Gulf Islands,Southern Gulf Islands
Leech Island,Southern Gulf Islands,Southern Gulf Islands
Mayne Island,Southern Gulf Islands,Southern Gulf Islands
Moresby Island,Southern Gulf Islands,Southern Gulf Islands
Parker Island,Southern Gulf Islands,Southern Gulf Islands
Kuper Island,Southern Gulf Islands,Southern Gulf Islands
Penelakut Island,Southern Gulf Islands,Southern Gulf Islands
South Pender Island,Southern Gulf Islands,Southern Gulf Islands
North Pender Island,Southern Gulf Islands,Southern Gulf Islands
Pender Island,Southern Gulf Islands,Southern Gulf Islands
Piers Island,Southern Gulf Islands,Southern Gulf Islands
Portland Island,Southern Gulf Islands,Southern Gulf Islands
Prevost Island,Southern Gulf Islands,Southern Gulf Islands
Reid Island,Southern Gulf Islands,Southern Gulf Islands
Russell Island,Southern Gulf Islands,Southern Gulf Islands
Saltspring Island,Southern Gulf Islands,Southern Gulf Islands
Samuel Island,Southern Gulf Islands,Southern Gulf Islands
Isabella Islets,Southern Gulf Islands,Southern Gulf Islands
Saturna Island,Southern Gulf Islands,Southern Gulf Islands
Secret Island,Southern Gulf Islands,Southern Gulf Islands
Secretary Islands,Southern Gulf Islands,Southern Gulf Islands
Sidney Island,Southern Gulf Islands,Southern Gulf Islands
Tent Island,Southern Gulf Islands,Southern Gulf Islands
Tree Island,Southern Gulf Islands,Southern Gulf Islands
Tumbo Island,Southern Gulf Islands,Southern Gulf Islands
Thetis Island,Southern Gulf Islands,Southern Gulf Islands
Valdes Island,Southern Gulf Islands,Southern Gulf Islands
Wallace Island,Southern Gulf Islands,Southern Gulf Islands
Whaleboat Island,Southern Gulf Islands,Southern Gulf Islands
Georgeson Island,Southern Gulf Islands,Southern Gulf Islands
Ballingall Islets,Southern Gulf Islands,Southern Gulf Islands
Wise Island,Southern Gulf Islands,Southern Gulf Islands
Ballenas Islands,Northern Gulf Islands,Northern Gulf Islands
Denman Island,Northern Gulf Islands,Northern Gulf Islands
Hornby Island,Northern Gulf Islands,Northern Gulf Islands
Harwood Island,Northern Gulf Islands,Northern Gulf Islands
Jedediah Island,Northern Gulf Islands,Northern Gulf Islands
Lasqueti Island,Northern Gulf Islands,Northern Gulf Islands
Sandy Island,Northern Gulf Islands,Northern Gulf Islands
Savary Island,Northern Gulf Islands,Northern Gulf Islands
Texada Island,Northern Gulf Islands,Northern Gulf Islands
Cortes Island,Discovery Islands,Discovery Islands
East Redonda Island,Discovery Islands,Discovery Islands
East Thurlow Island,Discovery Islands,Discovery Islands
Hernando Island,Discovery Islands,Discovery Islands
Maurelle Island,Discovery Islands,Discovery Islands
Quadra Island,Discovery Islands,Discovery Islands
Read Island,Discovery Islands,Discovery Islands
Rendezvous Islands,Discovery Islands,Discovery Islands
Sonora Island,Discovery Islands,Discovery Islands
Stuart Island,Discovery Islands,Discovery Islands
West Redonda Island,Discovery Islands,Discovery Islands
West Thurlow Island,Discovery Islands,Discovery Islands
Edgecombe Island,Sunshine Coast,Sunshine Coast Islands
Grant Island,Sunshine Coast,Sunshine Coast Islands
Merry Island,Sunshine Coast,Sunshine Coast Islands
Nelson Island,Sunshine Coast,Sunshine Coast Islands
Thormanby Islands,Sunshine Coast,Sunshine Coast Islands
Anvil Island,Howe Sound,Howe Sound Islands
Bowen Island,Howe Sound,Howe Sound Islands
Pasley Island,Howe Sound,Howe Sound Islands
Bowyer Island,Howe Sound,Howe Sound Islands
Defence Islands,Howe Sound,Howe Sound Islands
Gambier Island,Howe Sound,Howe Sound Islands
Keats Island,Howe Sound,Howe Sound Islands
Aleck Rocks,San Juan Islands,San Juan Islands
Alegria Island,San Juan Islands,San Juan Islands
Little Double Island,San Juan Islands,San Juan Islands
Armitage Island,San Juan Islands,San Juan Islands
Bare Island,San Juan Islands,San Juan Islands
Barnes Island,San Juan Islands,San Juan Islands
Barren Island,San Juan Islands,San Juan Islands
Battleship Island,San Juan Islands,San Juan Islands
Bell Island,San Juan Islands,San Juan Islands
Big Rock,San Juan Islands,San Juan Islands
Bird Rock,San Juan Islands,San Juan Islands
Bird Rocks,San Juan Islands,San Juan Islands
Black Rock,San Juan Islands,San Juan Islands
Blakely Island,San Juan Islands,San Juan Islands
Blind Island ,San Juan Islands,San Juan Islands
Lopez Island,San Juan Islands,San Juan Islands
Boulder Island,San Juan Islands,San Juan Islands
Brown Island,San Juan Islands,San Juan Islands
Buck Island,San Juan Islands,San Juan Islands
Cactus Island,San Juan Islands,San Juan Islands
Canoe Island,San Juan Islands,San Juan Islands
Castle Island,San Juan Islands,San Juan Islands
Cayou Island,San Juan Islands,San Juan Islands
Rum Island,San Juan Islands,San Juan Islands
Cemetery Island,San Juan Islands,San Juan Islands
Center Island,San Juan Islands,San Juan Islands
Charles Island,San Juan Islands,San Juan Islands
Clark Island,San Juan Islands,San Juan Islands
Colville Island,San Juan Islands,San Juan Islands
Crane Island,San Juan Islands,San Juan Islands
Deadman Island,San Juan Islands,San Juan Islands
Decatur Island,San Juan Islands,San Juan Islands
Dinner Island,San Juan Islands,San Juan Islands
Doe Island,San Juan Islands,San Juan Islands
Flattop Island,San Juan Islands,San Juan Islands
Flower Island,San Juan Islands,San Juan Islands
Fortress Island,San Juan Islands,San Juan Islands
Freeman Island,San Juan Islands,San Juan Islands
Frost Island,San Juan Islands,San Juan Islands
Goose Island,San Juan Islands,San Juan Islands
Guss Island,San Juan Islands,San Juan Islands
Henry Island,San Juan Islands,San Juan Islands
Iceberg Island,San Juan Islands,San Juan Islands
James Island,San Juan Islands,San Juan Islands
Johns Island,San Juan Islands,San Juan Islands
Jones Island,San Juan Islands,San Juan Islands
Matia Island,San Juan Islands,San Juan Islands
McConnell Island,San Juan Islands,San Juan Islands
O'Neal Island,San Juan Islands,San Juan Islands
Obstruction Island,San Juan Islands,San Juan Islands
Orcas Island,San Juan Islands,San Juan Islands
Patos Island,San Juan Islands,San Juan Islands
Pearl Island,San Juan Islands,San Juan Islands
Picnic Island (aka Sheep Island),San Juan Islands,San Juan Islands
Posey Island,San Juan Islands,San Juan Islands
Saddlebag Island,San Juan Islands,San Juan Islands
San Juan Island,San Juan Islands,San Juan Islands
Satellite Island,San Juan Islands,San Juan Islands
Shaw Island,San Juan Islands,San Juan Islands
Skipjack Island,San Juan Islands,San Juan Islands
Skull Island,San Juan Islands,San Juan Islands
Spieden Island,San Juan Islands,San Juan Islands
Stuart Island,San Juan Islands,San Juan Islands
Sucia Island,San Juan Islands,San Juan Islands
Turn Island,San Juan Islands,San Juan Islands
Vendovi Island,San Juan Islands,San Juan Islands
Victim Island,San Juan Islands,San Juan Islands
Waldron Island,San Juan Islands,San Juan Islands
Wasp Islands,San Juan Islands,San Juan Islands
Yellow Island,San Juan Islands,San Juan Islands
,Lions Bay,
,Vancouver,
,North Vancouver,
,West Vancouver,
,Belcarra,
,Anmore,
,New Westminister,
,Burnaby,
,Delta,
,Richmond,
,Surrey,
,White Rock,
,Langley,
,Abbotsford ,
,Aldergrove,
,Port Moody,
,Port Coquitlam,
,Pit Meadows,
,Maple Ridge,
,Coquitlam,
,Mission,
,Chilliwack,
,Hope,
,Agassiz,
,Tsawwassen,
,Squamish,
,Porteau Cove,
,Britania Beach,
Vancouver Island,Victoria ,
Vancouver Island,Metchosin,
Vancouver Island,Sooke,
Vancouver Island,Saanich,
Vancouver Island,Oak Bay,
Vancouver Island,View Royal,
Vancouver Island,Colwood,
Vancouver Island,Langford,
Vancouver Island,Highlands,
Vancouver Island,Central Saanich,
Vancouver Island,North Saanich,
Vancouver Island,West Saanich,
Vancouver Island,Sidney,
Vancouver Island,Qualicum Beach,
Vancouver Island,Powell River,
Vancouver Island,Malahat,
Vancouver Island,North Cowichan,
Vancouver Island,Cowichan,
Vancouver Island,Nanaimo,
Vancouver Island,Parksville,
Vancouver Island,Courtenay,
Vancouver Island,Comox,
Vancouver Island,Duncan,
Vancouver Island,Campbell River,
Vancouver Island,Ladysmith,
Vancouver Island,Chemainus,
Vancouver Island,Jordan River,
Vancouver Island,Shirley,
Vancouver Island,Port Renfrew,
Vancouver Island,Strathcona Provincial Park,
