occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"HJ-27-1-1","Iris pseudacorus","Iris pseudacorus L.","5298231","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","Iris","Iris pseudacorus","Iris pseudacorus","L."
"HJ-27-1-10","Montia fontana","Montia fontana L.","9004024","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Montiaceae","Montia","Montia fontana","Montia fontana","L."
"HJ-27-1-11","Micranthes integrifolia","Micranthes integrifolia (Hook.) Small","5567654","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","Micranthes integrifolia","(Hook.) Small"
"HJ-27-1-12","Micranthes rufidula","Micranthes rufidula Small","5567585","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes rufidula","Micranthes rufidula","Small"
"HJ-27-1-2","Clarkia amoena","Clarkia amoena (Lehm.) A.Nelson & J.F.Macbr.","5420978","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Clarkia","Clarkia amoena","Clarkia amoena","(Lehm.) A.Nelson & J.F.Macbr."
"HJ-27-1-3","Torilis japonica","Torilis japonica (Houtt.) DC.","3034820","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Torilis","Torilis japonica","Torilis japonica","(Houtt.) DC."
"HJ-27-1-4","Osmorhiza berteroi","Osmorhiza berteroi DC.","3034148","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Osmorhiza","Osmorhiza berteroi","Osmorhiza berteroi","DC."
"HJ-27-1-5","Stellaria media","Stellaria media (L.) Vill.","5384604","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria media","Stellaria media","(L.) Vill."
"HJ-27-1-6","Nemophila parviflora","Nemophila parviflora Douglas ex Benth.","2928037","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Hydrophyllaceae","Nemophila","Nemophila parviflora","Nemophila parviflora","Douglas ex Benth."
"HJ-27-1-7","Lactuca muralis","Lactuca muralis (L.) Gaertn.","3140320","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Lactuca","Lactuca muralis","Lactuca muralis","(L.) Gaertn."
"HJ-27-1-8","Claytonia perfoliata","Claytonia perfoliata Donn.","7736011","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Montiaceae","Claytonia","Claytonia perfoliata","Claytonia perfoliata","Donn."
"HJ-27-1-9","Melica subulata","Melica subulata (Griseb.) Scribn.","2703098","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Melica","Melica subulata","Melica subulata","(Griseb.) Scribn."
"HJ-27-2-1","Geranium molle","Geranium molle L.","2891488","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","Geranium","Geranium molle","Geranium molle","L."
"HJ-27-2-10","Nemophila parviflora","Nemophila parviflora Douglas ex Benth.","2928037","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Hydrophyllaceae","Nemophila","Nemophila parviflora","Nemophila parviflora","Douglas ex Benth."
"HJ-27-2-11","Camassia leichtlinii","Camassia leichtlinii (Baker) S.Watson","2769069","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia leichtlinii","Camassia leichtlinii","(Baker) S.Watson"
"HJ-27-2-12","Allium","Allium L.","9624496","EXACT","94","ACCEPTED","GENUS","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium",,"Allium","L."
"HJ-27-2-13","Symphoricarpos albus","Symphoricarpos albus (L.) C.Koch","7523753","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Symphoricarpos","Symphoricarpos albus","Symphoricarpos albus","(L.) C.Koch"
"HJ-27-2-14","Clinopodium douglasii","Clinopodium douglasii (Benth.) Kuntze","2926908","EXACT","98","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Micromeria","Micromeria douglasii","Clinopodium douglasii","(Benth.) Kuntze"
"HJ-27-2-15","Selaginella wallacei","Selaginella wallacei Hieron.","2688237","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Lycopodiopsida","Selaginellales","Selaginellaceae","Selaginella","Selaginella wallacei","Selaginella wallacei","Hieron."
"HJ-27-2-16","Racomitrium heterostichum","Racomitrium heterostichum Bridel, 1819","2674275","EXACT","99","ACCEPTED","SPECIES","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae","Racomitrium","Racomitrium heterostichum","Racomitrium heterostichum","Bridel, 1819"
"HJ-27-2-17","Brachythecium","Brachythecium Schimp.","9479232","EXACT","94","ACCEPTED","GENUS","Plantae","Bryophyta","Bryopsida","Hypnales","Brachytheciaceae","Brachythecium",,"Brachythecium","Schimp."
"HJ-27-2-18","Umbilicaria","Umbilicaria Hoffman, 1789","2600611","EXACT","92","ACCEPTED","GENUS","Fungi","Ascomycota","Lecanoromycetes","Umbilicariales","Umbilicariaceae","Umbilicaria",,"Umbilicaria","Hoffman, 1789"
"HJ-27-2-19","Mimulus","Mimulus L.","6008574","EXACT","92","ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus",,"Mimulus","L."
"HJ-27-2-2","Micranthes integrifolia","Micranthes integrifolia (Hook.) Small","5567654","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","Micranthes integrifolia","(Hook.) Small"
"HJ-27-2-20","Collinsia","Collinsia Nutt.","3171755","EDITED","99","ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Collinsia",,"Collinsia",
