"locality string","country","state","county","latitude","longitude","correction status","precision","error polygon","multiple results","uncertainty","occurrenceID"
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-1-1"
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-1-10"
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-1-11"
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-1-12"
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-1-2"
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-1-3"
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-1-4"
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-1-5"
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-1-6"
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-1-7"
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-1-8"
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-1-9"
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-2-1"
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-2-10"
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-2-11"
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-2-12"
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-2-13"
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-2-14"
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,"HJ-27-2-15"
