Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
PGPIN01010,Abies amabilis,amabilis fir,,S5 (2019),Yellow,G5 (2015),,,,,,
PGPIN01060,Abies grandis,grand fir,,S5 (2019),Yellow,G5 (2016),,,,,,
PGPIN010E0,Abies lasiocarpa,subalpine fir,,S5 (2019),Yellow,G5 (2016),,,,,,
NBMUS8A010,Abietinella abietina,,,S5 (2015),Yellow,G5 (2015),,,,,,
PDNYC010C0,Abronia latifolia,yellow sand-verbena,CDFmm; CWHvm; CWHxm,S3 (2019),Blue,G5 (1988),,,,,Y,
PDNYC010N2,Abronia umbellata var. breviflora,pink sand-verbena,CWHvh,S1 (2019),Red,G4G5T2 (2014),E,1-E (2005),,,Y,
PDMAL020N0,Abutilon theophrasti,velvet-leaf,,SNA (2019),Exotic,GNR,,,,,,
NBMUS01010,Acaulon muticum,,,S1 (2015),Red,G4G5 (1991),,,,,,
NBMUS01030,Acaulon triquetrum,,,SU,Unknown,G2G4 (1999),,,,,,
PDACE01020,Acer circinatum,vine maple,,S5 (2019),Yellow,G5 (2016),,,,,,
PDACE01052,Acer glabrum var. douglasii,Douglas maple,,S5 (2019),Yellow,G5T5 (2016),,,,,,
PDACE01080,Acer macrophyllum,bigleaf maple,,S5 (2019),Yellow,G5 (2016),,,,,,
PDACE01090,Acer negundo,box-elder,,SNA (2019),Exotic,G5 (2016),,,,,,
PDACE010D0,Acer platanoides,Norway maple,,SNA (2019),Exotic,GNR,,,,,,
PDACE010E0,Acer pseudoplatanus,sycamore maple,,SNA (2019),Exotic,GNR,,,,,,
PDACE010F2,Acer rubrum var. rubrum,red maple,,SNA (2019),Exotic,G5T5 (1994),,,,,,
PDAST03060,Achillea alpina ssp. multiflora,Siberian yarrow,,S5 (2019),Yellow,G5 (2015),,,,,,
PDAST03090,Achillea borealis,woolly yarrow,,S5 (2019),Yellow,G5 (2017),,,,,,
PDAST03010,Achillea filipendulina,fernleaf yarrow,,SNA (2019),Exotic,GNR,,,,,,
PDAST0303G,Achillea millefolium,yarrow,,SNA (2019),Exotic,G5T5? (2003),,,,,,
PDAST03050,Achillea ptarmica,sneezeweed,,SNA (2019),Exotic,GNR,,,,,,
PDBER01010,Achlys triphylla,vanilla-leaf,,S5 (2019),Yellow,G5 (2016),,,,,,
PDLAM02010,Acinos arvensis,basil-thyme,,SNA (2019),Exotic,G5 (1988),,,,,,
PDFAB2A1H1,Acmispon americanus var. americanus,Spanish-clover,,S4 (2019),Yellow,G5T5 (2015),,,,,,
