locality string,country,state,county,latitude,longitude,"correction 
                 status",precision,error polygon,multiple results,uncertainty,uncertainty (circular polygon)
"log dump beach with navy channel, North Pender Island",Canada,British Columbia,Southern Gulf Islands,48.783333,-123.283333,no,Low(49),,"48.783333,-123.283333,NORTH PENDER ISLAND|Unavailable|5421|Low(49),48.783333,-123.283333,PENDER ISLAND|Unavailable|5421|Low(43),48.823611,-123.296667,NAVY CHANNEL|Unavailable|301|Low(42),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",5421,
"Prevost Island, at dock",Canada,British Columbia,Southern Gulf Islands,48.833333,-123.383333,no,Low(44),,"48.833333,-123.383333,PREVOST ISLAND|Unavailable|5421|Low(44)",5421,
Prevost Island,Canada,British Columbia,Southern Gulf Islands,48.833333,-123.383333,no,High(89),,"48.833333,-123.383333,PREVOST ISLAND|Unavailable|5421|High(89)",5421,
"south shore of Matheson Lake, Metchosin",Canada,British Columbia,Metchosin,48.364722,-123.603889,yes,High(73),,"56.39941,-101.7885,(g3)Matheson Lake|Unavailable|4208|High(73),48.364722,-123.603889,MATHESON LAKE|Unavailable|587|Low(43),48.366667,-123.533333,METCHOSIN|CAN:muni:361@PPL|8635|Low(40)",761,
"penninsula middle of south site, Matheson Lake, Metchosin",Canada,British Columbia,Metchosin,48.364152,-123.603846,yes,High(73),,"56.39941,-101.7885,(g3)Matheson Lake|Unavailable|4208|High(73),48.364722,-123.603889,MATHESON LAKE|Unavailable|587|Low(43),48.366667,-123.533333,METCHOSIN|CAN:muni:361@PPL|8635|Low(40)",352,
"west end of Matheson Lake, Metchosin",Canada,British Columbia,Metchosin,48.361072,-123.596422,yes,High(73),,"56.39941,-101.7885,(g3)Matheson Lake|Unavailable|4208|High(73),48.364722,-123.603889,MATHESON LAKE|Unavailable|587|Low(43),48.366667,-123.533333,METCHOSIN|CAN:muni:361@PPL|8635|Low(40),49.283333,-123.13333,WEST END|Unavailable|301|Low(38),49.2,-122.93333,WEST END|Unavailable|301|Low(38)",587 m,
"north side of Matheson Lake, Metchosin",Canada,British Columbia,Metchosin,48.365691,-123.601743,yes,High(73),,"56.39941,-101.7885,(g3)Matheson Lake|Unavailable|4208|High(73),48.364722,-123.603889,MATHESON LAKE|Unavailable|587|Low(43),48.366667,-123.533333,METCHOSIN|CAN:muni:361@PPL|8635|Low(40),59.866667,-132.5,NORTH|Unavailable|1189|Low(35)",805,
"Blinkhorn Lake, Metchosin",Canada,British Columbia,Metchosin,48.3875,-123.576111,yes,High(69),,"67.751663,-136.039356,(g3)Horn Lake|Unavailable|1260|High(69),48.3875,-123.576111,BLINKHORN LAKE|Unavailable|587|Low(44),48.366667,-123.533333,METCHOSIN|CAN:muni:361@PPL|8635|Low(40),51.81,-124.697222,HORN LAKE|Unavailable|587|Low(26),49.319444,-119.72222,HORN LAKE|Unavailable|587|Low(26)",167,
"6 km lake, Saltspring Island",Canada,British Columbia,Southern Gulf Islands,48.833333,-123.5,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",14906,
"5.6 km fen, Saltspring Island",Canada,British Columbia,Southern Gulf Islands,48.833333,-123.5,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",15254,
"Cusheon Lake, Saltspring Island",Canada,British Columbia,Southern Gulf Islands,48.815833,-123.467222,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),48.815833,-123.467222,CUSHEON LAKE|Unavailable|587|Low(42),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",810,
"east end of Cusheon Lake, Saltspring Island",Canada,British Columbia,Southern Gulf Islands,48.81928,-123.475633,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),48.815833,-123.467222,CUSHEON LAKE|Unavailable|587|Low(42),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",844,
"north end of Cusheon Lake, Saltspring Island",Canada,British Columbia,Southern Gulf Islands,48.819167,-123.470569,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),48.815833,-123.467222,CUSHEON LAKE|Unavailable|587|Low(42),59.866667,-132.5,NORTH|Unavailable|1189|Low(35),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",587 m,
"Bullocks Pond, Saltspring Island",Canada,British Columbia,Southern Gulf Islands,48.873544,-123.50824,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",410,
"Maxwell Lake, Saltspring Island",Canada,British Columbia,Southern Gulf Islands,48.823388,-123.543087,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",682,
"lower end of Maxwell Lake, Saltspring Island",Canada,British Columbia,Southern Gulf Islands,48.822371,-123.543602,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28)",686,
"Blackburn Lake, Saltspring Island",Canada,British Columbia,Southern Gulf Islands,48.821944,-123.484444,yes,Low(47),,"48.833333,-123.5,SALTSPRING ISLAND|Unavailable|5421|Low(47),48.821944,-123.484444,BLACKBURN LAKE|Unavailable|587|Low(44),50.004167,-127.419722,SPRING ISLAND|Unavailable|5421|Low(30),50.094722,-124.997778,RING ISLAND|Unavailable|5421|Low(28),51.464722,-120.728056,BURN LAKE|Unavailable|587|Low(26),54.334167,-123.340833,URN LAKE|Unavailable|587|Low(25)",284,
"east end of Dick Island, Harwood Point, Texada Island",Canada,British Columbia,Northern Gulf Islands,49.652612,-124.471888,yes,Medium(63),,"49.619424,-124.434005,(g3)Texada Island|Unavailable|26982|Medium(63),49.666667,-124.416667,TEXADA ISLAND|Unavailable|5421|Low(43),49.653611,-124.467778,HARWOOD POINT|Unavailable|602|Low(43),49.651389,-124.47,DICK ISLAND|Unavailable|5421|Low(41),49.516667,-124.3,ADA ISLAND|Unavailable|5421|Low(27),50.856111,-126.881389,WOOD POINT|Unavailable|602|Low(27)",497,
"Dick Island, Texada Island",Canada,British Columbia,Northern Gulf Islands,49.651389,-124.47,yes,Medium(63),,"49.619424,-124.434005,(g3)Texada Island|Unavailable|26982|Medium(63),49.666667,-124.416667,TEXADA ISLAND|Unavailable|5421|Low(43),49.651389,-124.47,DICK ISLAND|Unavailable|5421|Low(41),49.516667,-124.3,ADA ISLAND|Unavailable|5421|Low(27)",522,
"west end of islet, Dick Island, Texada Island",Canada,British Columbia,Northern Gulf Islands,49.651056,-124.468455,yes,Medium(63),,"49.619424,-124.434005,(g3)Texada Island|Unavailable|26982|Medium(63),49.666667,-124.416667,TEXADA ISLAND|Unavailable|5421|Low(43),49.651389,-124.47,DICK ISLAND|Unavailable|5421|Low(41),49.283333,-123.13333,WEST END|Unavailable|301|Low(38),49.2,-122.93333,WEST END|Unavailable|301|Low(38),49.516667,-124.3,ADA ISLAND|Unavailable|5421|Low(27)",416,
"interior of islet, Dick Island, Texada Island",Canada,British Columbia,Northern Gulf Islands,49.651389,-124.47,yes,Medium(63),,"49.619424,-124.434005,(g3)Texada Island|Unavailable|26982|Medium(63),49.666667,-124.416667,TEXADA ISLAND|Unavailable|5421|Low(43),49.651389,-124.47,DICK ISLAND|Unavailable|5421|Low(41),49.516667,-124.3,ADA ISLAND|Unavailable|5421|Low(27)",271,
"Harwood Point, Texada Island",Canada,British Columbia,Northern Gulf Islands,49.653611,-124.467778,yes,Medium(63),,"49.619424,-124.434005,(g3)Texada Island|Unavailable|26982|Medium(63),49.666667,-124.416667,TEXADA ISLAND|Unavailable|5421|Low(43),49.653611,-124.467778,HARWOOD POINT|Unavailable|602|Low(43),50.856111,-126.881389,WOOD POINT|Unavailable|602|Low(27),49.516667,-124.3,ADA ISLAND|Unavailable|5421|Low(27)",602 m,
Texada Island,Canada,British Columbia,Northern Gulf Islands,49.646219,-124.365855,yes,High(88),,"49.666667,-124.416667,TEXADA ISLAND|Unavailable|5421|High(88),49.619424,-124.434005,(g3)Texada Island|Unavailable|26982|Medium(63),49.516667,-124.3,ADA ISLAND|Unavailable|5421|Low(27)",27297,
"Mount Sutil, Galiano Island",Canada,British Columbia,Southern Gulf Islands,48.868474,-123.378266,yes,Low(44),,"48.916667,-123.416667,GALIANO ISLAND|Unavailable|5421|Low(44),48.866667,-123.38333,MOUNT SUTIL|Unavailable|301|Low(41),50.883333,-127.75,GALIANO|Unavailable|5421|Low(37)",955,
Galiano,Canada,British Columbia,Southern Gulf Islands,48.932439,-123.456062,yes,High(82),,"50.883333,-127.75,GALIANO|Unavailable|5421|High(82)",13682,
