"locality string","country","state","county","latitude","longitude","correction 
                 status","precision","error polygon","multiple results","uncertainty"
"log dump beach with navy channel, North Pender Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Prevost Island, at dock","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Prevost Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"south shore of Matheson Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA
"penninsula middle of south site, Matheson Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA
"west end of Matheson Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA
"north side of Matheson Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"5.6 km fen, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"east end of Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"north end of Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Bullocks Pond, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"lower end of Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Blackburn Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA
