"","island","district","islandGroup"
"1","Brethour Island","Southern Gulf Islands","Southern Gulf Islands"
"2","Cabbage Island","Southern Gulf Islands","Southern Gulf Islands"
"3","Curlew Island","Southern Gulf Islands","Southern Gulf Islands"
"4","De Courcy Islands","Southern Gulf Islands","Southern Gulf Islands"
"5","Mudge Island","Southern Gulf Islands","Southern Gulf Islands"
"6","Link Island","Southern Gulf Islands","Southern Gulf Islands"
"7","Ruxton Island","Southern Gulf Islands","Southern Gulf Islands"
"8","Pylades Island","Southern Gulf Islands","Southern Gulf Islands"
"9","Gabriola Island","Southern Gulf Islands","Southern Gulf Islands"
"10","Galiano Island","Southern Gulf Islands","Southern Gulf Islands"
"11","Halibut Island","Southern Gulf Islands","Southern Gulf Islands"
"12","Hudson Island","Southern Gulf Islands","Southern Gulf Islands"
"13","James Island","Southern Gulf Islands","Southern Gulf Islands"
"14","Leech Island","Southern Gulf Islands","Southern Gulf Islands"
"15","Mayne Island","Southern Gulf Islands","Southern Gulf Islands"
"16","Moresby Island","Southern Gulf Islands","Southern Gulf Islands"
"17","Parker Island","Southern Gulf Islands","Southern Gulf Islands"
"18","Kuper Island","Southern Gulf Islands","Southern Gulf Islands"
"19","Penelakut Island","Southern Gulf Islands","Southern Gulf Islands"
"20","South Pender Island","Southern Gulf Islands","Southern Gulf Islands"
"21","North Pender Island","Southern Gulf Islands","Southern Gulf Islands"
"22","Pender Island","Southern Gulf Islands","Southern Gulf Islands"
"23","Piers Island","Southern Gulf Islands","Southern Gulf Islands"
"24","Portland Island","Southern Gulf Islands","Southern Gulf Islands"
"25","Prevost Island","Southern Gulf Islands","Southern Gulf Islands"
"26","Reid Island","Southern Gulf Islands","Southern Gulf Islands"
"27","Russell Island","Southern Gulf Islands","Southern Gulf Islands"
"28","Saltspring Island","Southern Gulf Islands","Southern Gulf Islands"
"29","Samuel Island","Southern Gulf Islands","Southern Gulf Islands"
"30","Isabella Islets","Southern Gulf Islands","Southern Gulf Islands"
"31","Saturna Island","Southern Gulf Islands","Southern Gulf Islands"
"32","Secret Island","Southern Gulf Islands","Southern Gulf Islands"
"33","Secretary Islands","Southern Gulf Islands","Southern Gulf Islands"
"34","Sidney Island","Southern Gulf Islands","Southern Gulf Islands"
"35","Tent Island","Southern Gulf Islands","Southern Gulf Islands"
"36","Tree Island","Southern Gulf Islands","Southern Gulf Islands"
"37","Tumbo Island","Southern Gulf Islands","Southern Gulf Islands"
"38","Thetis Island","Southern Gulf Islands","Southern Gulf Islands"
"39","Valdes Island","Southern Gulf Islands","Southern Gulf Islands"
"40","Wallace Island","Southern Gulf Islands","Southern Gulf Islands"
"41","Whaleboat Island","Southern Gulf Islands","Southern Gulf Islands"
"42","Georgeson Island","Southern Gulf Islands","Southern Gulf Islands"
"43","Ballingall Islets","Southern Gulf Islands","Southern Gulf Islands"
"44","Wise Island","Southern Gulf Islands","Southern Gulf Islands"
"45","Ballenas Islands","Northern Gulf Islands","Northern Gulf Islands"
"46","Denman Island","Northern Gulf Islands","Northern Gulf Islands"
"47","Hornby Island","Northern Gulf Islands","Northern Gulf Islands"
"48","Harwood Island","Northern Gulf Islands","Northern Gulf Islands"
"49","Jedediah Island","Northern Gulf Islands","Northern Gulf Islands"
"50","Lasqueti Island","Northern Gulf Islands","Northern Gulf Islands"
"51","Sandy Island","Northern Gulf Islands","Northern Gulf Islands"
"52","Savary Island","Northern Gulf Islands","Northern Gulf Islands"
"53","Texada Island","Northern Gulf Islands","Northern Gulf Islands"
"54","Cortes Island","Discovery Islands","Discovery Islands"
"55","East Redonda Island","Discovery Islands","Discovery Islands"
"56","East Thurlow Island","Discovery Islands","Discovery Islands"
"57","Hernando Island","Discovery Islands","Discovery Islands"
"58","Maurelle Island","Discovery Islands","Discovery Islands"
"59","Quadra Island","Discovery Islands","Discovery Islands"
"60","Read Island","Discovery Islands","Discovery Islands"
"61","Rendezvous Islands","Discovery Islands","Discovery Islands"
"62","Sonora Island","Discovery Islands","Discovery Islands"
"63","Stuart Island","Discovery Islands","Discovery Islands"
"64","West Redonda Island","Discovery Islands","Discovery Islands"
"65","West Thurlow Island","Discovery Islands","Discovery Islands"
"66","Edgecombe Island","Sunshine Coast","Sunshine Coast Islands"
"67","Grant Island","Sunshine Coast","Sunshine Coast Islands"
"68","Merry Island","Sunshine Coast","Sunshine Coast Islands"
"69","Nelson Island","Sunshine Coast","Sunshine Coast Islands"
"70","Thormanby Islands","Sunshine Coast","Sunshine Coast Islands"
"71","Anvil Island","Howe Sound","Howe Sound Islands"
"72","Bowen Island","Howe Sound","Howe Sound Islands"
"73","Pasley Island","Howe Sound","Howe Sound Islands"
"74","Bowyer Island","Howe Sound","Howe Sound Islands"
"75","Defence Islands","Howe Sound","Howe Sound Islands"
"76","Gambier Island","Howe Sound","Howe Sound Islands"
"77","Keats Island","Howe Sound","Howe Sound Islands"
"78","Aleck Rocks","San Juan Islands","San Juan Islands"
"79","Alegria Island","San Juan Islands","San Juan Islands"
"80","Little Double Island","San Juan Islands","San Juan Islands"
"81","Armitage Island","San Juan Islands","San Juan Islands"
"82","Bare Island","San Juan Islands","San Juan Islands"
"83","Barnes Island","San Juan Islands","San Juan Islands"
"84","Barren Island","San Juan Islands","San Juan Islands"
"85","Battleship Island","San Juan Islands","San Juan Islands"
"86","Bell Island","San Juan Islands","San Juan Islands"
"87","Big Rock","San Juan Islands","San Juan Islands"
"88","Bird Rock","San Juan Islands","San Juan Islands"
"89","Bird Rocks","San Juan Islands","San Juan Islands"
"90","Black Rock","San Juan Islands","San Juan Islands"
"91","Blakely Island","San Juan Islands","San Juan Islands"
"92","Blind Island ","San Juan Islands","San Juan Islands"
"93","Lopez Island","San Juan Islands","San Juan Islands"
"94","Boulder Island","San Juan Islands","San Juan Islands"
"95","Brown Island","San Juan Islands","San Juan Islands"
"96","Buck Island","San Juan Islands","San Juan Islands"
"97","Cactus Island","San Juan Islands","San Juan Islands"
"98","Canoe Island","San Juan Islands","San Juan Islands"
"99","Castle Island","San Juan Islands","San Juan Islands"
"100","Cayou Island","San Juan Islands","San Juan Islands"
"101","Rum Island","San Juan Islands","San Juan Islands"
"102","Cemetery Island","San Juan Islands","San Juan Islands"
"103","Center Island","San Juan Islands","San Juan Islands"
"104","Charles Island","San Juan Islands","San Juan Islands"
"105","Clark Island","San Juan Islands","San Juan Islands"
"106","Colville Island","San Juan Islands","San Juan Islands"
"107","Crane Island","San Juan Islands","San Juan Islands"
"108","Deadman Island","San Juan Islands","San Juan Islands"
"109","Decatur Island","San Juan Islands","San Juan Islands"
"110","Dinner Island","San Juan Islands","San Juan Islands"
"111","Doe Island","San Juan Islands","San Juan Islands"
"112","Flattop Island","San Juan Islands","San Juan Islands"
"113","Flower Island","San Juan Islands","San Juan Islands"
"114","Fortress Island","San Juan Islands","San Juan Islands"
"115","Freeman Island","San Juan Islands","San Juan Islands"
"116","Frost Island","San Juan Islands","San Juan Islands"
"117","Goose Island","San Juan Islands","San Juan Islands"
"118","Guss Island","San Juan Islands","San Juan Islands"
"119","Henry Island","San Juan Islands","San Juan Islands"
"120","Iceberg Island","San Juan Islands","San Juan Islands"
"121","James Island","San Juan Islands","San Juan Islands"
"122","Johns Island","San Juan Islands","San Juan Islands"
"123","Jones Island","San Juan Islands","San Juan Islands"
"124","Matia Island","San Juan Islands","San Juan Islands"
"125","McConnell Island","San Juan Islands","San Juan Islands"
"126","O'Neal Island","San Juan Islands","San Juan Islands"
"127","Obstruction Island","San Juan Islands","San Juan Islands"
"128","Orcas Island","San Juan Islands","San Juan Islands"
"129","Patos Island","San Juan Islands","San Juan Islands"
"130","Pearl Island","San Juan Islands","San Juan Islands"
"131","Picnic Island (aka Sheep Island)","San Juan Islands","San Juan Islands"
"132","Posey Island","San Juan Islands","San Juan Islands"
"133","Saddlebag Island","San Juan Islands","San Juan Islands"
"134","San Juan Island","San Juan Islands","San Juan Islands"
"135","Satellite Island","San Juan Islands","San Juan Islands"
"136","Shaw Island","San Juan Islands","San Juan Islands"
"137","Skipjack Island","San Juan Islands","San Juan Islands"
"138","Skull Island","San Juan Islands","San Juan Islands"
"139","Spieden Island","San Juan Islands","San Juan Islands"
