"occurrenceID","scientificName"
1,"Artemisia suksdorfii"
2,"Poa annua"
3,"Lolium perenne"
4,"Plantago lanceolata"
5,"Bromus hordeaceus"
6,"Bromus tectorum"
7,"Vicia sativa"
8,"Poa pratensis"
9,"Rumex acetosella"
10,"Vulpia myuros megalura"
11,"Arbutus menziesii"
12,"Lotus corniculatus"
13,"Trifolium dubium"
14,"Trifolium repens"
15,"Trifolium subterraneum"
16,"Aira caryophyllea"
17,"Hypochaeris radicata"
18,"Dactylis glomerata"
19,"Bromus pacificus"
20,"Bellis perennis"
21,"Matricaria discoidea"
22,"Pseudotsuga menziesii"
23,"Sedum spathulifolium"
24,"Juniperus scopulorum"
25,"Lonicera ciliosa"
26,"Salix scouleriana"
27,"Filago germanica"
28,"Rubus ursinus"
29,"Gaultheria shallon"
31,"Bromus sterilis"
32,"Daucus pusillus"
33,"Heuchera micrantha"
34,"Achillea millefolium"
35,"Vaccinium parvifolium"
36,"Vicia gigantea"
37,"Ribes sanguineum"
38,"Grindelia integrifolia"
39,"Conioselinum gmelinii"
40,"Plantago maritima"
41,"Elymus glaucus"
42,"Thuja plicata"
43,"Lonicera hispidula"
44,"Acer macrophyllum"
45,"Galium triflorum"
46,"Lactuca muralis"
47,"Verbascum thapsus"
48,"Epilobium minutum"
49,"Cerastium holosteoides"
50,"Berberis nervosa"
51,"Galium aparine"
52,"Hieracium albiflorum"
53,"Lysimachia latifolia"
54,"Festuca occidentalis"
55,"Amelanchier alnifolia"
56,"Rosa gymnocarpa"
57,"Anthoxanthum odoratum"
58,"Madia madioides"
59,"Festuca rubra litoralis"
60,"Bromus vulgaris"
61,"Barbarea orthoceras"
62,"Symphoricarpos albus"
63,"Collinsia grandiflora"
64,"Arenaria serpyllifolia"
65,"Sisymbrium officinale"
66,"Crepis capillaris"
67,"Collinsia parviflora"
68,"Veronica arvensis"
69,"Atriplex patula"
70,"Polypodium glycyrrhiza"
71,"Cardamine oligosperma"
72,"Veronica serpyllifolia"
73,"Osmorhiza berteroi"
74,"Pteridium aquilinum"
75,"Crataegus monogyna"
76,"Epilobium ciliatum watsonii"
77,"Plantago major"
78,"Spergularia rubra"
79,"Geranium dissectum"
80,"Geranium molle"
81,"Cerastium arvense"
82,"Salicornia depressa"
84,"Allium acuminatum"
85,"Trifolium willdenovii"
86,"Puccinellia"
87,"Spergularia canadensis"
88,"Polystichum munitum"
89,"Sanicula crassicaulis"
90,"Fragaria vesca"
91,"Ranunculus repens"
92,"Athyrium filix-femina"
93,"Poa trivialis"
94,"Alopecurus geniculatus"
95,"Juncus bufonius"
96,"Cirsium vulgare"
97,"Polygonum aviculare"
98,"Rumex crispus"
99,"Juncus effusus"
100,"Alopecurus"
101,"Sagina procumbens"
102,"Triglochin maritima"
103,"Sagina maxima crassicaulis"
104,"Centaurium erythraea"
105,"Quercus garryana"
106,"Holodiscus discolor"
107,"Pyrola aphylla"
108,"Poa howellii"
109,"Taraxacum officinale"
110,"Linnaea borealis"
111,"Montia parvifolia"
112,"Zostera marina"
113,"Digitalis purpurea"
114,"Holcus lanatus"
115,"Callitriche heterophylla"
116,"Festuca pratense"
117,"Carex pachystachya"
118,"Triphysaria pusilla"
119,"Abies grandis"
120,"Distichlis spicata"
