"occurrenceID","scientificName"
1,"Artemisia suksdorfii"
2,NA
3,"Egeria densa"
4,"Potamogeton richardsonii"
5,"Potamogeton praelongus"
6,"Carex exsiccata"
7,"Carex obnupta"
8,"Agrostis gigantea"
9,NA
10,"Nuphar polysepala"
11,"Spiraea douglassii"
12,"Salix lasiandra"
13,"Sparganium emersum"
14,"Lemna minor"
15,"Typha latifolia"
16,"Myriopphyllum spicatum"
17,"Rubus spectabilis"
18,"Lycopus uniflorus"
19,"Veronica americana"
20,"Symphyotricum subspicatum"
21,"Carex lasiocarpa"
22,"Scirpus acutus"
23,"Potamogeton robbinsii"
24,"Potamogeton amplifolius"
25,"Eleocharis palustris"
26,NA
27,"Carex cusickii"
28,"Comarum palustre"
29,"Potamogeton natans"
30,"Drosera rotundifolia"
31,"Nuphar polysepala"
32,"Nymphae odorata"
33,"Sparganium emersum"
34,"Elodea densa"
35,NA
36,"Myriopphyllum spicatum"
37,"Schoenoplectus acutus"
38,"Spiraea"
39,NA
40,"Alnus"
41,"Comarum palustre"
42,"Potamogeton natans"
43,"Carex obnupta"
44,"Agrostis scabra"
45,"Lycopus uniflorus"
46,"Sphagnum"
47,NA
48,"Carex interior"
49,"Rhododendron groenlandicum"
50,"Agrostis scabra"
51,"Drosera rotundifolia"
52,"Spiraea douglasii"
53,"Hypericum anagalloides"
54,"Viola palustris"
55,"Dulichium arundinaceum"
56,"Carex lenticularis"
57,"Carex exsiccata"
58,"Comarum palustre"
59,"Lycopus uniflorus"
60,"Juncus ensifolius"
61,NA
62,NA
63,"Kalmia polifolia"
64,NA
65,NA
66,"Ranunculus flammula"
67,"Carex lasiocarpa"
68,"Carex exsiccata"
69,"Juncus effusus"
70,"Torreyochloa pallida pauciflora"
71,"Salix scouleriana"
72,"Schoenoplectus acutus"
73,"Typha latifolia"
74,"Comarum palustre"
75,"Potamogeton amplifolius"
76,"Elodea canadensis"
77,"Potamogeton robbinsii"
78,"Nuphar polysepala"
79,"Cicuta douglasii"
80,"Sium suave"
81,"Lysimachia thyrsiflora"
82,NA
83,"Salix scouleriana"
84,"Cornus sericea"
85,"Spiraea douglasii"
86,"Typha latifolia"
87,"Spiraea douglasii"
88,"Salix scouleriana"
89,"Comarum palustre"
90,"Lemna minor"
91,NA
92,"Oenanthe sarmentosa"
93,"Lycopus uniflorus"
94,"Phalaris arundinacea"
95,"Nuphar polysepala"
96,"Ranunculus flammula"
97,"Spiraea douglasii"
98,"Potamogeton robbinsii"
99,"Sparganium emersum"
100,"Sium suave"
101,NA
102,NA
103,"Carex lasiocarpa"
104,"Agrostis scabra"
105,"Juncus ensifolius"
106,"Lysimachia thyrsiflora"
107,"Torreyochloa pallida pauciflora"
108,"Hypericum anagalloides"
109,"Scirpus acutus"
110,"Spiraea"
111,"Eleocharis palustris"
112,NA
113,"Sparganium e"
114,"Typha latifolia"
115,"Carex exsiccata"
116,"Myosotis laxa"
117,"Typha"
118,"Nuphar polysepala"
119,"Potamogeton robinsii"
120,"Comarum palustre"
121,"Carex exsiccata"
122,"Spiraea"
123,"Salix"
124,"Cornus"
125,"Veronica arvensis"
126,"Grindelia integrifolia"
127,"Allium cernuum"
128,"Holcus lanatus"
129,"Erythranthe guttata"
130,"Juncus bufonius"
131,"Plantago elongata"
132,"Festuca rubra"
133,"Grindelia integrifolia"
134,"Sedum oreganum"
135,"Montia parvifolia"
136,"Prunella vulgaris"
137,"Fragaria virginiana"
138,"Opuntia fragilis"
139,"Veronica scutellata"
140,"Malus fusca"
141,"Grindellia"
142,"Festuca rubra"
143,"Eriophyllum lanatum"
144,"Senecio sylvaticus"
145,"Toxicoscordion venenosum"
146,"Melica subulata"
147,"Berberis aquifolium"
148,"Holodiscus discolor"
149,"Arbutus menziesii"
150,"Juniperus scopulorum"
151,"Bromus hordeaceus"
152,"Achillea millefolium"
153,"Rosa nutkana"
154,"Rosa gymnocarpa"
155,"Pinus contorta"
156,"Ranunculus occidentalis"
157,"Sanicula crassicaulis"
158,"Ambrosia chamissonis"
159,"Plantago maritima"
160,"Leymus mollis"
161,"Lathyrus japonicus"
162,"Trifolium dubium"
163,"Atriplex patula"
164,"Anthoxanthum odoratum"
165,"Danthonia"
166,"Juncus effusus"
167,"Carex echinata"
168,"Carex aurea"
169,"Poa trivialis"
170,"Geranium robertianum"
171,"Ranunculus uncinatus"
172,"Melica subulata"
173,"Galium aparine"
174,"Carex deweyana"
175,"Iris pseudacorus"
176,"Clarkia amoena"
177,"Torilis japonica"
178,"Osmorhiza berteroi"
179,"Stellaria media"
180,"Nemophila parviflora"
181,"Lactuca muralis"
182,"Claytonia perfoliata"
183,"Melica subulata"
184,"Montia fontana"
185,"Micranthes integrifolia"
186,"Micranthes rufidula"
187,"Geranium molle"
188,"Micranthes integrifolia"
189,"Micranthes rufidula"
190,"Erythranthe guttata"
191,"Lithophragma parviflorum"
192,"Torilis japonica"
193,"Claytonia perfoliata"
194,"Montia fontana"
195,"Geranium molle"
196,"Nemophila parviflora"
197,"Camassia leichtlinii"
198,"Allium"
199,"Symphoricarpos albus"
200,"Clinopodium douglasii"
201,"Selaginella wallacei"
202,"Racomitrium heterostichum"
203,"Brachythecium"
204,"Umbilicaria"
205,"Mimulus"
206,"Collinsia"
207,"Collinsia parviflora"
208,"Trifolium"
209,"Bromus"
210,"Aira praecox"
211,"Montia parvifolia"
212,"Madia gracilis"
213,"Lithophragma parviflorum"
214,"Galium aparine"
215,"Torilis japonica"
216,"Alchemilla arvensis"
217,"Racomitrium canenscens"
218,"Erodium cicutarium"
219,"Clarkia amoena"
220,"Nemophila parviflora"
221,"Bryum"
222,"Collinsia grandiflora"
223,"Erythranthe alsinoides"
224,"Cardamine oligosperma"
225,"Micranthes integrifolia"
226,"Sedum lanceolatum"
227,"Sedum spathulifolium"
228,"Erythranthe guttata"
229,"Lithophragma parviflorum"
230,"Racomitrium canenscens"
231,"Aphyllon purpureum"
232,"Sinapis arvensis"
233,"Pentagramma triangularis"
234,"Delphinium menziesii"
235,"Agoseris grandiflora"
236,"Plectritis congesta"
237,"Rumex"
